quad_id,scale,manual_excluded_50m,n_available_pixels,sample_index,mean_reflectance,pc1
sub50_1,50m,FALSE,175140,80413,0.25066078523527985,9.429870432345066
sub50_1,50m,FALSE,175140,57093,0.23760212039621162,4.072737489353148
sub50_1,50m,FALSE,175140,127001,0.2686834470099531,4.054442717648766
sub50_1,50m,FALSE,175140,40546,0.16943980086871907,-12.84135551425054
sub50_1,50m,FALSE,175140,73183,0.19610011852,-7.8769448008272676
sub50_1,50m,FALSE,175140,88942,0.2765640543681408,9.372830088378159
sub50_1,50m,FALSE,175140,53314,0.2592904727890595,3.2898000045168825
sub50_1,50m,FALSE,175140,25463,0.21462270500492459,0.5653223734881568
sub50_1,50m,FALSE,175140,74476,0.1697176473815579,-5.98739841105358
sub50_1,50m,FALSE,175140,72356,0.23495752894712135,-0.4798772863989723
sub50_1,50m,FALSE,175140,105701,0.2437714391718965,-2.5378358636414875
sub50_1,50m,FALSE,175140,109382,0.26649421934915846,1.0571705896867296
sub50_1,50m,FALSE,175140,49302,0.22807584251931384,4.8538204994419125
sub50_1,50m,FALSE,175140,51832,0.2887607926179555,11.999164227177555
sub50_1,50m,FALSE,175140,106444,0.2698469068547172,4.808776676604998
sub50_1,50m,FALSE,175140,87995,0.15511004575181844,-15.629070272536673
sub50_1,50m,FALSE,175140,27791,0.28702755164632127,14.635962924285613
sub50_1,50m,FALSE,175140,156669,0.23872324216279608,12.546505865998538
sub50_1,50m,FALSE,175140,23293,0.2779848965362084,13.79328776359366
sub50_1,50m,FALSE,175140,167659,0.17805444391459718,-11.67721982706144
sub50_1,50m,FALSE,175140,99858,0.24997587715976002,5.974441667427585
sub50_1,50m,FALSE,175140,119821,0.2551334563427228,4.754309550141862
sub50_1,50m,FALSE,175140,4277,0.29910546575080266,9.287152121271145
sub50_1,50m,FALSE,175140,67786,0.19551873581737958,-10.715230136157894
sub50_1,50m,FALSE,175140,4843,0.26053664513117025,4.330726727657408
sub50_1,50m,FALSE,175140,150891,0.2670353405054443,4.079013088679585
sub50_1,50m,FALSE,175140,53709,0.17190904515960892,-13.146961353384917
sub50_1,50m,FALSE,175140,7509,0.2290599057681797,-3.9682917354558285
sub50_1,50m,FALSE,175140,147277,0.20168907776444164,-9.274473720675555
sub50_1,50m,FALSE,175140,52467,0.26220526683244333,6.285338996569641
sub50_1,50m,FALSE,175140,27213,0.25172667676382815,9.393308230748625
sub50_1,50m,FALSE,175140,3984,0.23060543611953574,-3.479995138302722
sub50_1,50m,FALSE,175140,166420,0.22936402191985245,-3.519304390413154
sub50_1,50m,FALSE,175140,34098,0.24157278391355572,5.067445627901683
sub50_1,50m,FALSE,175140,170160,0.2461412511304144,-2.295669550621746
sub50_1,50m,FALSE,175140,54388,0.18632863317269924,-8.543374869949217
sub50_1,50m,FALSE,175140,22184,0.2729364129106614,11.07532777257343
sub50_1,50m,FALSE,175140,96430,0.2665892484143746,10.436034199712644
sub50_1,50m,FALSE,175140,148063,0.30346516347374797,11.937717614853828
sub50_1,50m,FALSE,175140,93257,0.3159210766427034,16.168171414161343
sub50_1,50m,FALSE,175140,84626,0.1902080738593724,-7.432449368455735
sub50_1,50m,FALSE,175140,35084,0.24907826572225605,18.194380822391423
sub50_1,50m,FALSE,175140,23212,0.2060071200840483,-3.179358627392151
sub50_1,50m,FALSE,175140,47595,0.22832337679141315,1.705492714760072
sub50_1,50m,FALSE,175140,103666,0.27866875558845267,9.76280534636284
sub50_1,50m,FALSE,175140,3222,0.2673744415433323,2.7100916390053778
sub50_1,50m,FALSE,175140,34887,0.259214450582123,7.386815154031338
sub50_1,50m,FALSE,175140,95225,0.3000731501297271,13.079709357201866
sub50_1,50m,FALSE,175140,66155,0.2632395982249709,5.529051986544168
sub50_1,50m,FALSE,175140,34889,0.2274639062614234,1.1904750988464816
sub50_1,50m,FALSE,175140,57576,0.21904140958670248,-5.286666721990865
sub50_1,50m,FALSE,175140,132693,0.23126741751166416,7.7848450679290675
sub50_1,50m,FALSE,175140,132832,0.20442681338576493,-7.0156614721293415
sub50_1,50m,FALSE,175140,16806,0.2322466083656042,-4.646460605687421
sub50_1,50m,FALSE,175140,123874,0.30095491980102435,23.024027630611517
sub50_1,50m,FALSE,175140,127908,0.19540330980450285,-2.2376773322542762
