"scale","x_metric","x_label","y_metric","y_label","n","base_r2","elevation_adjusted_r2","elevation_incremental_r2_after_metric","elevation_partial_f","elevation_partial_p_value","elevation_slope"
"50m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",74,0.498800285216631,0.534941209175113,0.0361409239584822,5.51759401537351,0.021613367043224,-0.0119038196812332
"50m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",74,0.638055309917204,0.638055314321175,4.40397140977211e-09,8.63894362454672e-07,0.999261005574004,0.000174755250851328
"50m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",74,0.767357844852472,0.768723435113493,0.00136559026102112,0.419224959433607,0.519412150801445,0.00180158277561834
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",74,0.734198648266292,0.790905337438058,0.0567066891717659,19.2552735773572,3.89854472147045e-05,-1.64097071365015
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",74,0.351297173689062,0.372732378790244,0.0214352051011819,2.42623644314488,0.123765669622032,-0.592341541723313
"50m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",74,0.628520803450989,0.693441951952191,0.0649211485012022,15.0359828193664,0.000233044954941295,-0.0150195077283592
"50m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",74,0.882913651241003,0.8829210636428,7.41240179713554e-06,0.00449509146544304,0.946733969797322,-0.000130390439242091
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",74,0.495362939595102,0.601321434577715,0.105958494982614,18.8699714412714,4.57042097849333e-05,-2.20355467782594
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",74,0.697512826825892,0.712096204322933,0.0145833774970411,3.59640900132943,0.0619733995642343,-0.47996512827319
"50m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",74,0.654043522586816,0.741634030980769,0.087590508393953,24.0702214752894,5.70250065863597e-06,-0.0171381279754028
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",74,0.513204408918044,0.622234040684716,0.109029631766672,20.4917983331922,2.3530882413973e-05,-2.22866356953712
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",74,0.422940646351437,0.453240344438053,0.0302996980866161,3.93459638483881,0.0511702740755532,-0.689788702532368
"50m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",74,0.546356968059989,0.649604360959395,0.103247392899406,20.9208222908513,1.97868803892563e-05,-0.0185519987147474
"50m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",74,0.520727791177062,0.522065036656338,0.00133724547927583,0.198655541675256,0.657164418497938,0.161347160879369
"50m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",74,0.863650716997707,0.864898076214657,0.00124735921694974,0.655523636688836,0.420849922205382,-0.00227041768381503
"50m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",74,0.809958645315842,0.852492815661803,0.0425341703459605,20.4730780274354,2.37100033735852e-05,-0.0122273271200337
