"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"50m","red","Red illum.","mean_red_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",74,0.283779661264692,0.0805308961475031,6.30605693908165,0.0142775493950981,1836.54575778153,-7.40616119089832,0.381266197704554,0.000803777926175233
"50m","red","Red illum.","mean_red_pixel_brightness","spec_pca_mean","Raw PCA mean distance",74,0.395774901358064,0.156637772544986,13.3725690528872,0.000482488629665409,47.4192594959517,3.29524897620866,0.392610144390966,0.000540380805956246
"50m","red","Red illum.","mean_red_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",74,-0.0580348390330173,0.00336804254158824,0.243318570290249,0.623320689942686,-982.844861491127,800.794811274276,-0.147426878933728,0.210029141899711
"50m","red","Red illum.","mean_red_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",74,-0.113579427041091,0.0129002862469825,0.940959253499636,0.335278697456988,-1129.32917024952,287.575417126086,-0.0341947426878934,0.772404613820242
"50m","red","Red illum.","mean_red_pixel_brightness","spec_spca_mean","Std PCA mean distance",74,-0.120174865331041,0.0144419982573339,1.05506106458414,0.307782839167815,-17.4095982176207,9.22757448713869,-0.187530544242873,0.109606481682006
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_sa","Spectral angle entropy",80,-0.752566474973493,0.566356299254029,101.871170423602,8.35757893920653e-16,-1.56347801130454,3.57952468666746,-0.692967651195499,1.06065058998463e-12
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_alpha","Raw PCA alpha hull",74,-0.0224428956969983,0.000503683567266359,0.0362834922419832,0.849467302946896,-79.1641702820194,766.944804039828,0.0255164753794891,0.829144280914552
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",74,-0.0629282704668451,0.00395996722394845,0.286251185436433,0.594281526173603,-84.8795908213062,232.629166687757,0.0498630136986301,0.673099519220546
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_pca_mean","Raw PCA mean distance",74,0.0356109017402794,0.0012681363227558,0.0914217504808924,0.763249164070921,0.889255343832181,8.0393257607561,0.0776453165494261,0.510825584423163
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",74,-0.420856080582313,0.177119840563107,15.4975525588932,0.000188691851693148,-1485.47992751415,1394.64486002666,-0.457860051832654,4.10132860064826e-05
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",74,-0.388684593045416,0.151075712870881,12.8132172581475,0.000620966485627049,-805.480800191293,544.638847832243,-0.355261014439097,0.00189613275000662
"50m","nir","NIR illum.","mean_nir_pixel_brightness","spec_spca_mean","Std PCA mean distance",74,-0.466016817183147,0.217171673897511,19.9741884641175,2.85933301340206e-05,-14.0706346981253,13.9705555227105,-0.502969270640503,4.94674992452369e-06
