"scale","region","region_label","brightness_column","metric","metric_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.591928594177683,0.350379460605168,234.082324497163,1.43223178932108e-42,34254.5701721784,-15.7724385049479,0.556968401361849,6.85446893063914e-37
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.461857894705945,0.213312714902208,117.680455781168,2.01325959278023e-24,12257.5045002628,-63.9730011779832,0.550572227165027,6.36552164664932e-36
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.52402524217535,0.274602454436934,164.292622651655,4.0365448627502e-32,249.92504840386,3.14658517274955,0.503376751990977,2.18651644850719e-29
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_convex","Raw PCA convex hull",436,0.537025350620519,0.288396227209092,175.88996488573,6.11258076501538e-34,133027.737931606,-1134.729459573,0.617665672233898,3.23332192677772e-47
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",436,0.471354700313942,0.222175253508046,123.966305337251,1.68856599398504e-25,1345068.16679494,-13898.6911694757,0.566241022414915,2.4836619733277e-38
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",436,0.514687001844221,0.264902709867393,156.398040947354,7.33679649109415e-31,313351.211547141,-2493.52338301865,0.5971229740031,1.78631613544587e-43
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,0.244519523662078,0.0597897974519295,27.5989050361435,2.34417033675575e-07,13220.8053509327,391.639686231457,0.173765652181152,0.000266676450521233
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.229511661978794,0.0526756029842681,24.1324004397964,1.27642633288513e-06,9498.37332357886,-31.6785441682278,0.219204159388196,3.83206850992079e-06
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,0.205269075029587,0.042135393163502,19.091174788632,1.56081439794655e-05,110.035113769787,4.93433537558934,0.111662372580006,0.0196910610251922
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_convex","Std PCA convex hull",436,0.359968851282265,0.129577573893473,64.6084767384945,8.74285900337066e-15,175323.567831737,-862.71600158533,0.407261699908134,7.53032042828567e-19
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",436,0.303699202282295,0.0922332054669024,44.0963597850308,9.3673531771491e-11,3374879.8217024,-22437.150457374,0.353031547963343,3.04683180623616e-14
"20m","blue","Blue illum.","mean_blue_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",436,0.341368501929319,0.116532454109468,57.246115399213,2.32183800193998e-13,443200.865144287,-1448.06988455322,0.384149499369099,8.82510890882773e-17
"20m","green","Green illum.","mean_green_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.0931176813044546,0.00867090257151804,4.22467771087024,0.0403772922355577,-1.83612854083852,2.91855804376617,-0.109043890955793,0.0162872800399256
"20m","green","Green illum.","mean_green_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.719597562957299,0.517820652614084,466.080026971054,9.57634836212489e-71,22435.7099255494,-368.392815944307,0.715096821458899,1.72815116709357e-69
"20m","green","Green illum.","mean_green_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.596730117999815,0.356086833728074,240.003922784708,2.09367517109718e-43,8532.4269298894,-213.087043634,0.750215186950224,5.36613389794704e-80
"20m","green","Green illum.","mean_green_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.701701321692371,0.49238474486482,420.978245057715,6.86742882545852e-66,180.306258724989,-0.181924227593873,0.724812485114275,3.12066483835943e-72
"20m","green","Green illum.","mean_green_pixel_brightness","spec_convex","Raw PCA convex hull",436,0.542756206346578,0.294584299527729,181.240063000355,9.09029734006924e-35,72435.7810097143,-1835.70156775742,0.60200353710156,2.4399055274875e-44
"20m","green","Green illum.","mean_green_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",436,0.552873651442055,0.305669274458871,191.062357224305,2.87071743619544e-36,850008.513175858,-26336.0623408718,0.673144596219515,7.50908468934634e-59
"20m","green","Green illum.","mean_green_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",436,0.548293812048543,0.300626104330723,186.555046002506,1.39183608313039e-35,179846.691233495,-4564.20518154632,0.63690805490543,5.55004134687124e-51
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,0.332393102247155,0.110485174421488,53.9064266497641,1.04677815179052e-12,9682.71842948395,208.982682577334,0.30793010061845,4.97552572379599e-11
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.272050529089888,0.0740114903780882,34.6883211728032,7.76305020923463e-09,6065.89630724162,-122.393161285414,0.31303059238126,2.28919835167418e-11
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,0.297752611296299,0.0886566175337652,42.220059694217,2.240755369421e-10,85.9932336775502,3.16821188832227,0.265207907876096,1.87882162740294e-08
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_convex","Std PCA convex hull",436,0.306017324346498,0.0936466028001896,44.8419189919166,6.6315096201558e-11,80301.2528917923,-1096.66124449225,0.30761533767158,5.21715449136888e-11
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",436,0.252971895070644,0.063994779695633,29.67262765786,8.58501493549397e-08,1514564.8214912,-25521.6150509064,0.263867921181852,2.22740888181745e-08
"20m","green","Green illum.","mean_green_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",436,0.27700436288881,0.0767314170594356,36.0690655125853,4.03079257090567e-09,193760.252850779,-1619.4117452759,0.282086383172489,2.02971163758323e-09
"20m","red","Red illum.","mean_red_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.370232247382671,0.137071917002023,76.722194139245,3.33939819814493e-17,-3.61083220043526,3.22457350098377,-0.386415440461051,1.01543627941139e-18
"20m","red","Red illum.","mean_red_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.489481776086679,0.23959240912097,136.746538048491,1.19448501392246e-27,7469.88258709325,-156.117381978453,0.441184139943548,3.41771334280656e-22
"20m","red","Red illum.","mean_red_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.417669586021977,0.174447883087769,91.7087845928704,7.78170476770851e-20,2923.17346336399,-141.267554954013,0.510693180691161,2.46826411851961e-30
"20m","red","Red illum.","mean_red_pixel_brightness","spec_pca_mean","Raw PCA mean distance",436,0.52156786969513,0.272033042698316,162.180905804687,8.73453684260679e-32,65.5988842959884,0.921640330891333,0.472897013588812,1.12075738291905e-25
"20m","red","Red illum.","mean_red_pixel_brightness","spec_convex","Raw PCA convex hull",436,0.426407643276457,0.181823478244582,96.4478782510678,1.08780040162485e-20,27854.825714394,-1554.824159877,0.473497727234886,9.5485019714815e-26
"20m","red","Red illum.","mean_red_pixel_brightness","spec_hull3d_v","Raw PCA 3D hull volume",436,0.389261627817028,0.151524614890762,77.5057049582226,3.17694962518771e-17,292931.511585603,-19367.7058107124,0.471062875129311,1.82430548883479e-25
"20m","red","Red illum.","mean_red_pixel_brightness","spec_hull3d_a","Raw PCA 3D hull area",436,0.412933967470329,0.170514461490787,89.215872792675,2.20729379671733e-19,66297.4512233893,-3557.14412202093,0.470516021564302,2.10831609346239e-25
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_alpha","Std PCA alpha hull",436,-0.0659715812962014,0.00435224953872131,1.89713309644896,0.169109477197876,-940.652707607306,751.263176995727,-0.0765786107429144,0.110318457463156
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_rao","Std PCA Rao's Q",436,0.045244401391675,0.00204705585729101,0.890244622533275,0.345935964896499,493.784405039889,100.120420265639,-0.0334678146199715,0.485791780850975
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_mean","Std PCA mean distance",436,-0.0600070845885922,0.00360085020082246,1.5684166204597,0.211111544857812,-8.48278275217443,7.99819430976108,-0.127683140563953,0.00759908524512861
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_convex","Std PCA convex hull",436,0.201069255355936,0.0404288454493905,18.2853755470096,2.34034001732064e-05,25825.5210920584,-238.362708574487,0.242777645460225,2.8703245021815e-07
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_hull3d_v","Std PCA 3D hull volume",436,0.145530895658,0.0211792415910197,9.39067829481193,0.00231688794627076,426479.253402116,-2773.43902424639,0.180899941144831,0.000145964442444826
"20m","red","Red illum.","mean_red_pixel_brightness","spec_spca_hull3d_a","Std PCA 3D hull area",436,0.167939397798539,0.0282036413329358,12.5956227653325,0.000428863789597146,57498.6688689409,972.783005385491,0.207960867465833,1.19862437464735e-05
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_sa","Spectral angle entropy",485,-0.519650558345293,0.270036702788575,178.677103280585,6.74279176249426e-35,-1.12492805672646,3.3609188874699,-0.546806290542623,3.64053996712632e-39
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_alpha","Raw PCA alpha hull",436,0.202247097182432,0.0409038883187203,18.5093937032078,2.0907660850403e-05,693.859800451192,326.63517457999,0.133263450360768,0.00531861008008372
"20m","nir","NIR illum.","mean_nir_pixel_brightness","spec_rao_q","Raw PCA Rao's Q",436,0.147743263914565,0.0218280720321288,9.68478341187385,0.00198074152562497,232.456452799812,65.9819761341502,0.197561093909829,3.26184722432154e-05
