"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",1744,0.800975837422949,0.641562292135394,3117.97974481527,0,0.00990610835952653,1.41664840442772,0.872790784976496,0
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.907006581593872,0.8226609390546,8080.99100217034,0,0.0111881598482905,5.23858771748134,0.971403473949047,0
"20m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",436,0.252707086184284,0.0638608714077513,29.6063024655773,8.86439935438469e-08,441.577563399634,-598.313095904035,0.224253831558388,2.25090978971009e-06
"20m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",436,0.274461311675405,0.075329011606584,35.356133638474,5.65227244632605e-09,219.945560514107,-447.824523329886,0.139738242901726,0.00345784819206897
"20m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",436,0.179196162425499,0.0321112646280257,14.3986476329919,0.000168914864163807,2.58063544730307,0.712101531499474,0.148380903705559,0.00189249946284611
"20m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",436,0.636529091250138,0.405169284007727,295.619349390891,6.62279559299362e-51,1039.20924857014,-2293.61200606828,0.632357457196076,4.55830433870541e-50
"20m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",436,0.524968066381707,0.275591470720549,165.109456140291,2.99683933698162e-32,656.020996414362,-1704.32032127014,0.618152295170618,2.6159646630129e-47
"20m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",436,0.646754346449845,0.418291184651766,312.077742934307,5.15176766122951e-53,10.4685734278766,-22.5671895699022,0.654927002939863,9.2709962455562e-55
"20m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",436,0.814037811960992,0.662657559302239,852.526531029753,1.83315035684326e-104,0.373326712196543,-68.4331659380987,0.882425035671445,3.22884345302814e-144
"20m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",436,0.88732398407637,0.787343852717161,1606.85330024703,5.50436820125737e-148,0.00731291617930465,3.25069952326797,0.86436873306466,1.18411280907261e-131
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",436,0.748367129465571,0.560053360464538,552.483270921807,2.11764110986375e-79,0.69921360711465,193.405349021833,0.725785151847061,1.6334524912656e-72
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",436,0.639556271025138,0.40903222380758,300.388603717521,1.60318461920856e-51,0.457376699663889,-144.768318558243,0.728189309497834,3.25818530352033e-73
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",436,0.74410138666455,0.553686873636106,538.411462633401,4.81193609750164e-78,0.00689272073284654,2.584424750939,0.705663488873622,6.21418758093193e-67
"20m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",436,0.926341281702938,0.858108170187041,2624.66800486044,3.89729195790598e-186,0.0166469588594319,5.10618129597636,0.985057736703835,0
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",436,0.561589285704132,0.315382525817677,199.930649401479,1.32923486348409e-37,1.1441145108488,449.16864555169,0.539022569835314,3.1592801429139e-34
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",436,0.83315515623033,0.694147514353186,984.984707880273,1.04204975738831e-113,1.29920198021084,-73.8946362129238,0.595329809745055,3.68051883315119e-43
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",436,0.755037162931938,0.57008111740831,575.492761480278,1.40962509761833e-81,0.0152504412595214,4.4103213912145,0.571597928703442,3.48103544193967e-39
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",436,0.582652924537992,0.339484430472675,223.062482736897,5.37331067332665e-41,66.0536351440299,119.68132833912,0.542137767427247,1.11855984463751e-34
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",436,0.64268573623146,0.413044955555374,305.409268405979,3.63741057622535e-52,55.7680630779911,-293.734779201766,0.574249813770083,1.29845371267578e-39
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",436,0.672940353854951,0.452848719846426,359.199277315381,8.37689724135393e-59,0.756356887743547,1.01380635906297,0.573851220213167,1.50677572052074e-39
