"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"1002_c","10m",7501,0.0702875317607625,0.0700144395232201,0.0192387372807365,7501,0.0222446023540343,7501,0.0560323004340124,7501,0.119188310312227,7501,0.479615946797146
"1002_d","10m",8618,0.0602205479837458,0.0594923663884401,0.0152954420739856,8618,0.0210736306934304,8618,0.0491461062792934,8618,0.113237361862393,8618,0.494388679057536
"1003_a","10m",9162,0.0649738040191801,0.0635394267737865,0.0175528835656177,9162,0.0239889342682329,9162,0.0541759395850669,9162,0.108068126443147,9162,0.445347816368748
"1003_b","10m",8560,0.0618049627531181,0.0615604650229216,0.0167058268789809,8560,0.0200886924110396,8560,0.0499930199848374,8560,0.109024968263607,8560,0.464159110479544
"1003_c","10m",7175,0.0570658325793332,0.0571763888001442,0.0139616882305667,7175,0.0209304484741296,7175,0.0463092643319782,7175,0.106719961887469,7175,0.467343955870663
"1003_d","10m",9306,0.0675886719636323,0.0661980248987675,0.0169235772320495,9306,0.0218564691210796,9306,0.0542938807467086,9306,0.119625039330462,9306,0.494792545245632
"1004_a","10m",9158,0.0653764157911726,0.0662573836743832,0.0110226060327357,9158,0.0216530849521774,9158,0.0527300660836097,9158,0.115880185944035,9158,0.479057055839752
"1004_b","10m",5435,0.0543480114995912,0.0531829781830311,0.0149563044600655,5435,0.0173441718883,5435,0.0435593270059621,5435,0.0993073091865829,5435,0.428944766032642
"1004_c","10m",6893,0.0590027499515398,0.0585617087781429,0.0160899897111874,6893,0.0181336651637501,6893,0.0464587675262805,6893,0.110065014794645,6893,0.454335593484806
"1004_d","10m",8100,0.0615346370366069,0.0625369399785995,0.0126383899374644,8100,0.0206894685531007,8100,0.049509110377019,8100,0.111418410884796,8100,0.464611316793587
"1005_a","10m",7610,0.0603320166402534,0.0602211821824312,0.0151728206925827,7610,0.0187455854754216,7610,0.0478713322445622,7610,0.112634957466421,7610,0.478643544986296
"1005_b","10m",8322,0.0640879869917656,0.0636700503528118,0.018974389506531,8322,0.0188611430406058,8322,0.0498542445007392,8322,0.11584795911596,8322,0.469126646421139
"1005_c","10m",7573,0.0587540354926981,0.0571653060615063,0.0176929787285613,7573,0.018034787391136,7573,0.046263362347161,7573,0.10401918587488,7573,0.430760046007488
"1005_d","10m",7128,0.0574800334951823,0.0560551062226295,0.0161437840594471,7128,0.0167925050907297,7128,0.0449908223488987,7128,0.104641839493525,7128,0.437841283875098
"1006_a","10m",7391,0.0594381529045511,0.059274822473526,0.0155071663601479,7391,0.0188805191060187,7391,0.046922017120963,7391,0.112753601020787,7391,0.468457606396153
"1006_b","10m",8041,0.0624381988133854,0.0637026429176331,0.0144553682740249,8041,0.0193380193482757,8041,0.0489535820855079,8041,0.114683702073189,8041,0.471877020206425
"1006_c","10m",8559,0.0679343688511858,0.0665536448359489,0.0204061617579211,8559,0.0194389951461412,8559,0.0532795970275285,8559,0.11812554541163,8559,0.485315972053551
