"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_pca_mean","Raw PCA mean distance","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.743063000263819,0.552142622361068,2147.63113476814,3.57135940627556e-306,2409.9832648621,-10590.918975175,0.702389398140542,1.71625671367722e-259
"10m","spec_pca_mean","Raw PCA mean distance","spec_hull3d_a","Raw PCA 3D hull area",1744,0.735994731054112,0.541688244139414,2058.90621225501,1.92973233496498e-297,568.279102086543,-1689.42209985403,0.681587987704724,1.42271796808646e-238
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",1744,0.642206131332417,0.41242871512095,1222.74665258461,2.11385786882049e-203,60.8260659338687,84.9838568618371,0.580914495687935,6.18804051883538e-158
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",1744,0.649112754926468,0.42134736860823,1268.44168037421,3.42540012923792e-209,61.641167921877,-325.580310928569,0.572017805682165,4.07068601796113e-152
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",1744,0.699832036471367,0.489764879271661,1672.1122969218,8.01815864689436e-257,0.819771393716843,0.606145481977129,0.568108670774232,1.28887223350947e-149
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_convex","Std PCA convex hull",1744,0.514946444673719,0.265169840882103,628.615819703327,1.04173493167733e-118,361.130114701389,-860.854896923944,0.429427016443577,3.47151045847294e-79
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.513178379525784,0.26335204921271,622.765962001581,8.99163156762948e-118,7660.8320600594,-29134.1798071368,0.433153302164559,1.10431581345498e-80
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.517355494539495,0.267656707730205,636.665877584426,5.41248410864832e-120,953.756683078682,-1909.17412936684,0.425811902557712,9.4497806188964e-78
"10m","spec_convex","Raw PCA convex hull","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.948993099312902,0.900587902543508,15781.0182701093,0,9.53040485492683,-2425.95178056993,0.936822119770131,0
"10m","spec_convex","Raw PCA convex hull","spec_hull3d_a","Raw PCA 3D hull area",1744,0.991316596750572,0.982708594993135,99001.6931416755,0,2.37005957689378,104.919829456698,0.985330493808632,0
"10m","spec_convex","Raw PCA convex hull","spec_spca_alpha","Std PCA alpha hull",1744,0.586152889954527,0.343575210402043,911.769369476327,1.90976664380252e-161,0.171904045358911,364.283651419619,0.606652019758915,8.06487550581258e-176
"10m","spec_convex","Raw PCA convex hull","spec_spca_rao","Std PCA Rao's Q",1744,0.65866321062085,0.433837225025366,1334.85364880806,1.88039016824047e-217,0.193675206669272,-63.3062506672044,0.626916843186813,4.22376186396706e-191
"10m","spec_convex","Raw PCA convex hull","spec_spca_mean","Std PCA mean distance",1744,0.638976033248116,0.408290371065497,1202.01158070866,9.59691079318266e-201,0.00231762632054747,4.36947555490565,0.522661325055524,7.37821222391732e-123
"10m","spec_convex","Raw PCA convex hull","spec_spca_convex","Std PCA convex hull",1744,0.831813474586283,0.691913656503304,3912.25906331574,0,1.80629008749346,-40.8091999344145,0.78090477024495,0
"10m","spec_convex","Raw PCA convex hull","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.777111621715411,0.603902472605155,2655.90677679113,0,35.9212052792169,-9181.47181407333,0.73607581248622,1.53788537394294e-297
"10m","spec_convex","Raw PCA convex hull","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.817562358373234,0.668408209828804,3511.44731575119,0,4.66690888125072,367.078210543503,0.756169317451263,3.95252516672997e-323
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_hull3d_a","Raw PCA 3D hull area",1744,0.978014160626052,0.956511698385081,38314.7494087282,0,0.232832570724377,830.926862270302,0.978362255761641,0
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_alpha","Std PCA alpha hull",1744,0.622673636874044,0.387722458057949,1103.11496938895,8.29270572667981e-188,0.0181839140297998,406.907642010464,0.655199453927348,2.01823160217467e-214
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_rao","Std PCA Rao's Q",1744,0.698270337128914,0.487581463714127,1657.5647632625,3.3135768888571e-255,0.0204449437069474,-14.9596002334629,0.652173746226612,8.31378413435944e-212
