quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
8_d,10m,233.1078834525312,2.387258504493286,11.11095269093924,39.39714149243917,8,8_d
107_a,10m,223.8987305583011,2.0777126269642783,9.753051677090973,32.795473102136874,107,107_a
107_b,10m,224.5224510435618,1.9633226059297266,9.381242441145805,32.81639553026022,107,107_b
107_c,10m,226.87241796387354,1.6390986082629952,7.682455765865898,28.109247785444854,107,107_c
107_d,10m,226.4250194555545,1.5121358763429364,7.529455488430953,28.562607396619683,107,107_d
206_a,10m,219.49379517216806,1.013831312307526,4.867590394956437,17.66216235624574,206,206_a
206_b,10m,219.59390067122246,1.028501621167001,4.976569359730246,18.587394531987396,206,206_b
206_c,10m,221.05039879762126,1.3457066999522627,6.384641793039578,23.580316977008053,206,206_c
206_d,10m,220.7870794245967,1.0186848957573877,5.0296325573864475,19.55975417685969,206,206_d
305_a,10m,216.59036490943612,1.0838970497206901,5.115944420812314,20.13142089227344,305,305_a
305_b,10m,216.97165612202173,0.9878940602857056,4.466534706095879,16.053050383623518,305,305_b
305_c,10m,217.9707314183673,0.7927228047984402,3.776466725123255,14.423432166043044,305,305_c
305_d,10m,217.76897712585117,1.0136863169794117,4.477818494404898,15.642602657593791,305,305_d
404_a,10m,209.01246003535556,2.799169265591675,12.030180331612824,38.9141015895043,404,404_a
404_b,10m,210.39335294162913,2.3825648618085307,11.067624550104169,37.7492774254435,404,404_b
404_c,10m,213.39000156454173,2.7867683804293737,12.832207362701144,41.01407712046242,404,404_c
404_d,10m,212.24700421264848,2.501769920912582,11.823875555077592,40.38922184532226,404,404_d
503_a,10m,211.24562018405587,1.6364559483181964,8.3185294530753,33.50024423835289,503,503_a
503_b,10m,212.6231424347251,2.081541892976333,10.346670826682535,37.47308183635775,503,503_b
503_c,10m,209.89651008413358,2.3897951525690035,10.822710043990325,34.79076881557389,503,503_c
503_d,10m,208.93468396017718,2.257994148844501,10.44558184563521,31.92398226319568,503,503_d
602_a,10m,212.16062769330244,2.357015756669203,11.26118768125704,40.4859649577353,602,602_a
602_b,10m,214.33960765509056,2.549742326195153,11.967836981448059,40.43731285702842,602,602_b
602_c,10m,212.15949769353506,1.9161767092980155,9.328443110217682,35.06562209022601,602,602_c
602_d,10m,210.21108768578833,2.192609860424948,10.20470386774479,36.38095000836898,602,602_d
701_a,10m,212.08045880716512,2.6666037754774843,12.159992499550457,39.79782711220912,701,701_a
701_b,10m,213.75334893646928,1.7594343508470731,9.119334519555897,36.48295204550922,701,701_b
701_c,10m,211.84588184182184,2.6109523200028115,11.991530783004672,41.50977860551377,701,701_c
701_d,10m,209.8206908197885,2.7710952017473747,12.896270693716621,40.461868078246255,701,701_d
800_a,10m,209.29029690081833,1.6705983925394783,8.80700977818007,38.45950556708434,800,800_a
800_b,10m,212.06087112595216,2.441413258342361,11.016882400236067,34.93256694909565,800,800_b
800_c,10m,211.44650891840985,2.588964357272588,11.855811075312827,38.57142003503712,800,800_c
800_d,10m,208.7364717836383,1.9851090187334741,10.50403903944808,42.42779822615043,800,800_d
9_a,10m,234.95295727530998,1.3746513681550845,6.331101184198204,24.90339830256033,9,9_a
9_b,10m,235.9003661153226,1.3811461849859195,6.862475531373381,26.703124971626373,9,9_b
9_c,10m,237.72173476357148,2.0908486218999602,9.2651548630024,30.01470327756658,9,9_c
9_d,10m,236.26138753334249,1.4766497506346652,6.834674522149051,25.249980324908673,9,9_d
108_a,10m,228.12867204301457,1.1349078159317854,5.6112928645241285,22.248073816961814,108,108_a
108_b,10m,228.75892250504134,1.4646072428130066,7.455626480927479,31.7569369929983,108,108_b
108_c,10m,231.3136416415911,3.3440634655084955,14.48424811320291,42.51934955424224,108,108_c
108_d,10m,229.56663887306436,1.5572827985576163,7.876251960630056,30.86354379621214,108,108_d
207_a,10m,222.4356173485656,1.5235404130396581,7.194037308451963,25.80308111736086,207,207_a
207_b,10m,223.17524604215106,1.8691492176216098,8.914390500947096,30.983862897990615,207,207_b
207_c,10m,225.63970176743786,1.8671926780441093,8.765310470787337,30.431925990023174,207,207_c
207_d,10m,224.46183930996202,1.7443026939491788,8.32953160061832,29.55561902102811,207,207_d
306_a,10m,218.71195006469233,0.6974651092612157,3.450429052783531,14.244725741674312,306,306_a
306_b,10m,219.09320492111942,0.9616901851327825,4.463822434604669,15.928226666726305,306,306_b
306_c,10m,220.34192812601316,1.0799599711383876,5.171282144889405,18.648789358892614,306,306_c
306_d,10m,219.54069748609317,1.0105427753109388,4.747617977291637,16.979822846741506,306,306_d
405_a,10m,214.30842067377964,1.9407880621058402,9.004499285535422,32.41328234750084,405,405_a
405_b,10m,215.85180263148206,1.3121866791464034,6.775496453507301,28.20328123298515,405,405_b
405_c,10m,217.0280030913357,1.1060489905573117,5.358644035193211,20.185378832137637,405,405_c
405_d,10m,215.60315872401992,1.7371100920160638,8.081498016267245,27.14132063278953,405,405_d
504_a,10m,207.95128210234066,1.795429032868026,7.870646015773218,23.03796540926363,504,504_a
504_b,10m,208.27122313398112,1.966766105124719,8.8128925515031,30.647495370657623,504,504_b
504_c,10m,210.37565382584185,2.1142069981633647,9.921341769658943,32.88747656247967,504,504_c
504_d,10m,209.30809197691377,1.0183361317721684,5.197506218652121,20.937426239063967,504,504_d
603_a,10m,208.34149956586847,2.2528815865160694,9.891238940620013,30.28479350196532,603,603_a
603_b,10m,210.15391898108865,1.791977666283981,9.393219198184292,33.96180676633807,603,603_b
603_c,10m,207.7603060283097,2.535640231765764,10.180046189084317,28.66326851861871,603,603_c
603_d,10m,207.29962807076757,1.1603140814611232,5.171108632873961,17.071309581563153,603,603_d
702_a,10m,207.07995401280604,2.3336357091070603,11.248518145712168,37.49043664853336,702,702_a
702_b,10m,209.91628177423328,2.348784157637696,11.70022912827018,41.18066429033266,702,702_b
702_c,10m,207.99277309374835,2.4229839463470797,10.913605896245778,33.22113158112079,702,702_c
702_d,10m,206.81510101635186,0.9269408566800053,5.0856625746385395,20.26085926280323,702,702_d
801_a,10m,207.6883172645025,2.7154880134926094,12.390562017974451,36.9703927210196,801,801_a
801_b,10m,209.48150457721903,2.64840932636035,12.009885835805246,38.88426778480336,801,801_b
801_c,10m,208.08363196011064,1.2968796667879539,6.6991675246169855,27.898600691421834,801,801_c
801_d,10m,206.43735573545138,2.6323172508404524,11.230844502393596,30.451410808442525,801,801_d
900_a,10m,204.1108604396583,3.5147244493433547,15.342893732336929,46.17291475617459,900,900_a
900_b,10m,206.09487525922864,4.399388269694397,17.542660219365622,48.49960038715037,900,900_b
900_c,10m,204.91035502235349,4.44580602246933,18.691113810052826,51.48699182973476,900,900_c
900_d,10m,206.0271555418937,3.18407422055099,13.641839893420594,40.70530474499024,900,900_d
