"pc_axis","variance","pct_variance","cumulative_pct_variance"
76,0.00173220549301669,1.4315747876171e-05,0.999798673051019
77,0.00162917097614094,1.34642229433137e-05,0.999812137273962
78,0.00160915838634631,1.32988296392258e-05,0.999825436103602
79,0.00159307359285318,1.31658974615966e-05,0.999838602001063
80,0.00138908085488098,1.14800070651322e-05,0.999850082008128
81,0.00127694482106722,1.05532629840267e-05,0.999860635271112
82,0.00113123594044642,9.34905735906136e-06,0.999869984328471
83,0.00107126026728742,8.85339063873908e-06,0.99987883771911
84,0.0010438865295748,8.62716140144467e-06,0.999887464880512
85,0.000962717796511962,7.95634542571874e-06,0.999895421225937
86,0.000946351350946451,7.82108554501203e-06,0.999903242311482
87,0.000883977217545032,7.30559683921518e-06,0.999910547908322
88,0.000860082627803638,7.10812089093919e-06,0.999917656029213
89,0.000794056632056599,6.56245150460003e-06,0.999924218480717
90,0.00072985399713931,6.03185121602739e-06,0.999930250331933
91,0.000659100819184825,5.44711420813908e-06,0.999935697446141
92,0.000629680012124412,5.20396704235054e-06,0.999940901413184
93,0.000580779253760541,4.79982854347557e-06,0.999945701241727
94,0.00053259264595341,4.40159211531746e-06,0.999950102833842
95,0.000519331814321243,4.29199846546484e-06,0.999954394832308
96,0.000481990950968398,3.98339628899504e-06,0.999958378228597
97,0.000454532866836736,3.75646997385734e-06,0.999962134698571
98,0.000417535248441376,3.45070453257338e-06,0.999965585403103
99,0.000393680316652149,3.25355633596819e-06,0.999968838959439
100,0.000366285436075298,3.02715236425868e-06,0.999971866111803
101,0.00034547720183461,2.85518348623647e-06,0.99997472129529
102,0.000316842690882344,2.61853463539129e-06,0.999977339829925
103,0.0003111815927889,2.57174870073472e-06,0.999979911578626
104,0.00028681527190959,2.37037414801316e-06,0.999982281952774
105,0.000270724613878774,2.23739350313037e-06,0.999984519346277
106,0.000240302152647461,1.98596820369804e-06,0.999986505314481
107,0.000227473625158327,1.87994731535809e-06,0.999988385261796
108,0.000202941978126682,1.67720643079903e-06,0.999990062468227
109,0.000165631526941008,1.3688555945538e-06,0.999991431323821
110,0.000162928174822547,1.34651384150866e-06,0.999992777837663
111,0.000150765159669656,1.24599305512113e-06,0.999994023830718
112,0.000132643324796025,1.09622582476055e-06,0.999995120056543
113,0.000124995948433751,1.03302436722109e-06,0.99999615308091
114,0.00011711487320181,9.67891514064551e-07,0.999997120972424
115,8.96719610357875e-05,7.41090587072628e-07,0.999997862063011
116,5.8374077522421e-05,4.82430392747283e-07,0.999998344493404
117,5.68447715805102e-05,4.69791500665376e-07,0.999998814284905
118,4.04219938875345e-05,3.34066065186237e-07,0.99999914835097
119,3.78978127904615e-05,3.13205064383981e-07,0.999999461556034
120,3.39957742435003e-05,2.80956811929756e-07,0.999999742512846
121,3.1155945630989e-05,2.57487153975117e-07,1
