"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"1001_a",6928,FALSE,"all_pixels",6.4743577452165,6.05224447477582,3.26972956163238,105.213792884183,"squared_euclidean_pc1_pc3",425.281783072351,"all_pixels",6912,1,806.250322604032,5043.51439411197,2022.70302289335,"all_pixels",6912,6928,FALSE,"all_pixels",6.1428469831252,5.50797301557661,3.39896818880763,98.5717724559731,"squared_euclidean_pc1_pc3",488.501859561055,"all_pixels",6912,1,1175.00262829017,13909.3391361517,3311.91361817211,"all_pixels",6912,6928,23995128,"bootstrap_mean",2.79682679332404,NA,2.79682679332404,0.0104675821029022,0.00374266369583133,2.79527802576206,2.76639153620766,2.8249934205551,"10m"
"1001_b",7555,FALSE,"all_pixels",7.82754419931451,7.1422778603902,4.18345026849862,157.538775656332,"squared_euclidean_pc1_pc3",602.899918210417,"all_pixels",7544,1,961.783640199732,7367.42173872668,2484.77967873994,"all_pixels",7544,7555,FALSE,"all_pixels",7.18264370211934,6.13894489171665,4.43456814405605,142.506324423318,"squared_euclidean_pc1_pc3",696.599989210191,"all_pixels",7544,1,1791.03876803769,28752.0446415453,5318.15377280088,"all_pixels",7544,7555,28535235,"bootstrap_mean",2.87798981203083,NA,2.87798981203083,0.00983045271907761,0.00341573576041981,2.87735602716019,2.86096565033404,2.90857196659839,"10m"
"1001_c",8660,FALSE,"all_pixels",9.25312473221513,8.76505002097874,4.27015711504862,207.704907052973,"squared_euclidean_pc1_pc3",732.59960689593,"all_pixels",8641,1,1145.04829524396,9433.30776001576,2820.1954113946,"all_pixels",8641,8660,FALSE,"all_pixels",8.33417733995596,7.42190158539768,4.72936222730491,183.645592463571,"squared_euclidean_pc1_pc3",843.768469915635,"all_pixels",8641,1,2623.26671931875,44156.6368835042,7382.74909428468,"all_pixels",8641,8660,37493470,"bootstrap_mean",2.91120599007606,NA,2.91120599007606,0.0113424461590152,0.00389613314814556,2.91018752436052,2.88757417243793,2.93406645919422,"10m"
"1001_d",8740,FALSE,"all_pixels",5.957665648671,5.31932424189881,3.4720131560177,95.0945521211159,"squared_euclidean_pc1_pc3",480.619811009598,"all_pixels",8740,1,880.151774941523,5297.72030041124,2112.90539300183,"all_pixels",8740,8740,FALSE,"all_pixels",6.23434257712819,5.39680118294402,4.01570756722532,109.982179129966,"squared_euclidean_pc1_pc3",561.546566714283,"all_pixels",8740,1,1790.35826876985,23049.9053946181,4856.67710033842,"all_pixels",8740,8740,38189430,"bootstrap_mean",2.85367248172176,NA,2.85367248172176,0.0102462456696373,0.00359054717570647,2.85274731279189,2.82721286632701,2.87279449092711,"10m"
"1002_a",9024,FALSE,"all_pixels",8.74313821648917,7.86737589594185,4.59679045446983,195.141213535568,"squared_euclidean_pc1_pc3",694.510788693479,"all_pixels",9023,1,1097.65980975536,7828.17415117323,2680.92581278455,"all_pixels",9023,9024,FALSE,"all_pixels",6.76745796274337,6.0031655096239,3.72758287185488,119.383643150397,"squared_euclidean_pc1_pc3",632.666651472616,"all_pixels",9023,1,1358.70782052506,19521.3253305898,4017.75842482928,"all_pixels",9023,9024,40711776,"bootstrap_mean",2.77518747844706,NA,2.77518747844706,0.0832363061897824,0.0299930389698788,2.76665618153166,2.73949701671123,3.45568922751764,"10m"
"1002_b",8827,FALSE,"all_pixels",8.53418738426658,7.56189653674908,5.17267633400842,199.171807092028,"squared_euclidean_pc1_pc3",676.359052804891,"all_pixels",8789,1,1009.81494853839,9366.31575477213,2782.63421268294,"all_pixels",8789,8827,FALSE,"all_pixels",6.08644655561421,5.15116247893701,3.77733261884906,102.622913912343,"squared_euclidean_pc1_pc3",557.712034149914,"all_pixels",8789,1,1552.7055553501,21595.101573681,4340.27961889353,"all_pixels",8789,8827,38953551,"bootstrap_mean",2.75123454046596,NA,2.75123454046596,0.0112061924981955,0.00407315055600369,2.75061532009661,2.72629824845589,2.77512829274483,"10m"
"1002_c",7501,FALSE,"all_pixels",9.92403857105824,8.9683826285732,5.28936680233576,252.920425813314,"squared_euclidean_pc1_pc3",874.51463609814,"all_pixels",7490,1,1692.71268892029,17322.0000955387,4298.97795085086,"all_pixels",7490,7501,FALSE,"all_pixels",8.84331557551622,7.37032849038966,6.42554790914814,238.972784025413,"squared_euclidean_pc1_pc3",779.191001086748,"all_pixels",7490,1,4456.96700212313,113632.389769836,13556.3902424631,"all_pixels",7490,7501,28128750,"bootstrap_mean",2.95626842070185,NA,2.95626842070185,0.162933939960066,0.0551147314022939,2.9953920538012,2.29133529652417,3.0245890440373,"10m"
"1002_d",8618,FALSE,"all_pixels",8.77799718852005,7.9456916514444,4.66055403935866,197.542956400933,"squared_euclidean_pc1_pc3",787.544641209776,"all_pixels",8580,1,1286.69793277157,10160.6218103461,3114.8461317842,"all_pixels",8580,8618,FALSE,"all_pixels",7.85689942179074,6.88838312976445,4.64221995106839,166.55714798828,"squared_euclidean_pc1_pc3",780.064601647395,"all_pixels",8580,1,1908.1030813702,30255.0574260339,5359.18700778095,"all_pixels",8580,8618,37130653,"bootstrap_mean",2.86247437923713,NA,2.86247437923713,0.0114827701112247,0.00401148397851685,2.86220668029722,2.83886571121284,2.88804224667603,"10m"
"1003_a",9162,FALSE,"all_pixels",8.34277241974515,7.53240124055181,4.55233743960843,180.646731769226,"squared_euclidean_pc1_pc3",680.334248486874,"all_pixels",8949,1,1426.74660420231,15474.2765770735,3776.70719665128,"all_pixels",8949,9162,FALSE,"all_pixels",8.5923132325457,7.70415539682425,4.97899120556861,197.230988663259,"squared_euclidean_pc1_pc3",779.606341648537,"all_pixels",8949,1,3008.29356271958,57080.8069558648,8435.22354595868,"all_pixels",8949,9162,41966541,"bootstrap_mean",2.86382297942568,NA,2.86382297942568,0.010233308452129,0.00357330342191096,2.86388682607838,2.84238230810968,2.88468555853625,"10m"
"1003_b",8560,FALSE,"all_pixels",8.22219119810142,7.28686498906616,4.59509727305829,177.433760701731,"squared_euclidean_pc1_pc3",624.143488583675,"all_pixels",8504,1,948.547309783883,10037.0420011978,2921.12797343644,"all_pixels",8504,8560,FALSE,"all_pixels",7.55959926451948,6.89110220817259,3.9563744167711,145.597221912327,"squared_euclidean_pc1_pc3",662.581056407692,"all_pixels",8504,1,1307.2733687879,20113.340836115,4055.98144488915,"all_pixels",8504,8560,36632520,"bootstrap_mean",2.80129208964044,NA,2.80129208964044,0.0819755530542893,0.0292634792913763,2.79107584109195,2.76994486042733,3.47350897185714,"10m"
"1003_c",7175,FALSE,"all_pixels",7.34630205019192,6.628314620463,3.99788778507102,139.898065887957,"squared_euclidean_pc1_pc3",523.181315992591,"all_pixels",7152,1,958.568049684805,7432.37861903184,2455.44768193704,"all_pixels",7152,7175,FALSE,"all_pixels",6.1821553092304,5.54037101834484,3.57061690213595,101.933144845271,"squared_euclidean_pc1_pc3",494.064911155893,"all_pixels",7152,1,1614.25919177998,24956.9810958265,4684.51149361281,"all_pixels",7152,7175,25736725,"bootstrap_mean",2.83243877999138,NA,2.83243877999138,0.00849250373979953,0.00299830089878425,2.83120172937885,2.81594408912488,2.84930126060711,"10m"
"1003_d",9306,FALSE,"all_pixels",7.47987992598969,6.23288728896965,4.97148273167375,161.323176752536,"squared_euclidean_pc1_pc3",717.608432054045,"all_pixels",9279,1,1211.33276569244,12265.3006234081,3317.33245259737,"all_pixels",9279,9306,FALSE,"all_pixels",7.65894679344876,6.13518948692332,5.31513020985653,173.814078782486,"squared_euclidean_pc1_pc3",817.251998880328,"all_pixels",9279,1,2281.54225453574,37819.7859486758,6418.99583334465,"all_pixels",9279,9306,43296165,"bootstrap_mean",2.85110823143384,NA,2.85110823143384,0.0101882989530643,0.00357345218983166,2.85159688666393,2.82655353789349,2.87513059082694,"10m"
"1004_a",9158,FALSE,"all_pixels",5.69124675130927,4.95154394806696,3.4962173797407,89.2249816242073,"squared_euclidean_pc1_pc3",531.265641618294,"all_pixels",9041,1,936.408217431951,7071.6674358969,2380.40764882857,"all_pixels",9041,9158,FALSE,"all_pixels",6.43244853780308,5.58840580565069,3.92608176249279,113.577658131586,"squared_euclidean_pc1_pc3",619.158885160653,"all_pixels",9041,1,1745.02209395248,29104.4775315534,5330.7167403513,"all_pixels",9041,9158,41929903,"bootstrap_mean",2.83609365992005,NA,2.83609365992005,0.00772015587040438,0.00272210892732717,2.83592593164017,2.81978670295551,2.8554448058766,"10m"
"1004_b",5435,FALSE,"all_pixels",7.82439772885227,7.20688383780519,3.76654026482498,150.810830228646,"squared_euclidean_pc1_pc3",450.15719141375,"all_pixels",5433,1,721.570137487939,6213.22488603232,2034.39844608259,"all_pixels",5433,5435,FALSE,"all_pixels",6.73196541799815,6.23226152857147,3.20211073488886,111.14196995331,"squared_euclidean_pc1_pc3",502.356257114303,"all_pixels",5433,1,964.790342272659,13023.7291243916,3008.50606802386,"all_pixels",5433,5435,14766895,"bootstrap_mean",2.87904644764019,NA,2.87904644764019,0.00708329991183749,0.00246029372594642,2.87971225909167,2.86231722938852,2.89302767544951,"10m"
"1004_c",6893,FALSE,"all_pixels",7.87870661336374,7.38046355506289,4.2005018886075,159.431348572118,"squared_euclidean_pc1_pc3",520.716234639212,"all_pixels",6893,1,756.859230633829,6472.95240879991,2102.65893489054,"all_pixels",6893,6893,FALSE,"all_pixels",6.55862055157631,5.96699011304769,3.47443288317308,110.170872206313,"squared_euclidean_pc1_pc3",556.847483002968,"all_pixels",6893,1,1053.09669712626,14583.8067734984,3320.86529425541,"all_pixels",6893,6893,23753278,"bootstrap_mean",2.83064045208284,NA,2.83064045208284,0.0101457895606866,0.00358427350009115,2.83104106361077,2.80500592101366,2.84873267021229,"10m"
"1004_d",8100,FALSE,"all_pixels",7.51906138843229,6.83507034240308,4.01452313479568,145.301380968609,"squared_euclidean_pc1_pc3",629.388312811252,"all_pixels",8002,1,1012.7776810478,7991.30833827086,2532.37166011972,"all_pixels",8002,8100,FALSE,"all_pixels",7.85071343127176,6.88239466403324,4.70558349879916,167.546967600326,"squared_euclidean_pc1_pc3",804.049707163383,"all_pixels",8002,1,1877.79374071872,32913.3033802026,5663.90852998899,"all_pixels",8002,8100,32800950,"bootstrap_mean",2.92555255802296,NA,2.92555255802296,0.00883389303326901,0.00301956394837043,2.92562652353869,2.90350909548622,2.9447111469004,"10m"
"1005_a",7610,FALSE,"all_pixels",7.88921504260807,7.39842480740643,4.04095998824719,157.133851677661,"squared_euclidean_pc1_pc3",655.984560231975,"all_pixels",7517,1,962.856552890701,7301.53736169694,2421.24846231885,"all_pixels",7517,7610,FALSE,"all_pixels",7.32802387997745,6.32630269782052,4.41055920296677,146.300820444678,"squared_euclidean_pc1_pc3",662.776898687545,"all_pixels",7517,1,1683.43880282581,27742.3045461768,5128.04437340254,"all_pixels",7517,7610,28952245,"bootstrap_mean",2.86824792793487,NA,2.86824792793487,0.0107961212911732,0.00376401258274294,2.86906882886115,2.83885620761889,2.89214999537916,"10m"
"1005_b",8322,FALSE,"all_pixels",8.59613727366846,8.17367508832876,4.38756098124161,186.283908325822,"squared_euclidean_pc1_pc3",529.638312977128,"all_pixels",8235,1,838.337186087405,6460.96016252554,2234.33277442271,"all_pixels",8235,8322,FALSE,"all_pixels",6.68286611174927,6.18980631214891,3.35070491430761,111.773147577486,"squared_euclidean_pc1_pc3",533.994839954628,"all_pixels",8235,1,1073.80538607779,14734.8081138594,3272.02286087241,"all_pixels",8235,8322,34623681,"bootstrap_mean",2.80576929663546,NA,2.80576929663546,0.177224536393947,0.0631643295143566,2.75783298639433,2.73304576958245,3.44862299931714,"10m"
