scale,quad_id,n_pixels,sample_rule,rule_type,rule_value,sample_size,sample_fraction,bootstrap_iter,spectral_entropy,pair_method,pair_count_used,rule_label,rule_axis_label,sample_label,plot_sample_label,selection_note,source_method,source_entropy,scale_quad
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,49,2.910808268828085,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,50,2.8924180862484477,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,1,3.4852760522190427,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,2,3.4664030228278437,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,3,2.8574147707896906,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,4,2.8254073795241608,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,5,2.7635285666215506,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,6,2.8429644951396886,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,7,2.863903943127687,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,8,2.915188039402536,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,9,2.878651604496346,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,10,2.927985492950441,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,11,2.834721243334319,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,12,2.854371231077439,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,13,2.9332080132236373,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,14,2.8325163658033725,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,15,2.811799059057487,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,16,2.803793492425883,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,188,0.01995118327496551,17,2.903575117864706,all_pairs_within_sample,17578,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
