term,estimate,std.error,statistic,p.value,conf.low,conf.high,scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd
sp_shannon_z:env_elev_z,0.041615820357165205,0.037044773810621295,1.1233924809451346,0.26144128694394875,-0.031046194024555558,0.11427783473888597,10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058
(Intercept),-0.0777216998717473,0.028465957118892347,-2.730338542531029,0.006404122412775191,-0.13356091714273627,-0.021882482600758348,10m,spec_pca_mean,Null,NA,1440,0,0,4311.742702478495,4322.287499263635,1.0802071232686117
(Intercept),-0.08002544304699663,0.028454644844921464,-2.812385938504498,0.0049844171924178764,-0.1358425353997046,-0.024208350694288658,10m,spec_pca_mean,Environment,NA,1440,0.00587404095885601,0.004490427933050767,4307.259142643542,4328.348736213822,1.0777790983641964
env_elev_z,-0.011363015074287877,0.03188692590855596,-0.35635341916854174,0.7216282213741712,-0.07391292557157131,0.05118689542299556,10m,spec_pca_mean,Environment,NA,1440,0.00587404095885601,0.004490427933050767,4307.259142643542,4328.348736213822,1.0777790983641964
env_tri11_z,-0.07526846390940735,0.02731704231072597,-2.7553665236976763,0.005936666763845014,-0.12885401669949106,-0.021682911119323627,10m,spec_pca_mean,Environment,NA,1440,0.00587404095885601,0.004490427933050767,4307.259142643542,4328.348736213822,1.0777790983641964
(Intercept),-0.07025508774400678,0.029759991879273192,-2.360722678588398,0.018372190727336663,-0.1286327357670438,-0.01187743972096978,10m,spec_pca_mean,Biodiversity,phy_faith,1440,5.152789485974856e-4,-1.7977301319072048e-4,4313.0005095578945,4328.817704735605,1.0803042149499018
phy_faith_z,0.03285626029921827,0.0381597540802401,0.8610186593480148,0.38937130542658227,-0.04199848769193984,0.10771100829037639,10m,spec_pca_mean,Biodiversity,phy_faith,1440,5.152789485974856e-4,-1.7977301319072048e-4,4313.0005095578945,4328.817704735605,1.0803042149499018
(Intercept),-0.0742754371196418,0.02973266937433805,-2.498108601838089,0.01259689617214601,-0.13259955733378423,-0.015951316905499356,10m,spec_pca_mean,Biodiversity + environment,phy_faith,1440,0.0061830327812512275,0.004106813490404315,4308.811495759968,4335.173487722818,1.0779867366516764
phy_faith_z,0.025694246538774577,0.03845372158760064,0.668186211320042,0.5041221170714945,-0.049737241038728404,0.10112573411627757,10m,spec_pca_mean,Biodiversity + environment,phy_faith,1440,0.0061830327812512275,0.004106813490404315,4308.811495759968,4335.173487722818,1.0779867366516764
env_elev_z,-0.008593205026298492,0.032161329096281534,-0.2671906064756519,0.7893607747998996,-0.07168142629704279,0.0544950162444458,10m,spec_pca_mean,Biodiversity + environment,phy_faith,1440,0.0061830327812512275,0.004106813490404315,4308.811495759968,4335.173487722818,1.0779867366516764
env_tri11_z,-0.07479121891244277,0.02733163901055597,-2.7364337310161697,0.006287457666486052,-0.12840543629842213,-0.021177001526463395,10m,spec_pca_mean,Biodiversity + environment,phy_faith,1440,0.0061830327812512275,0.004106813490404315,4308.811495759968,4335.173487722818,1.0779867366516764
(Intercept),-0.026489548953399514,0.04210546193617971,-0.6291238175595931,0.5293679251352508,-0.10908425686626039,0.05610515895946136,10m,spec_pca_mean,Biodiversity,phy_afaith,1440,0.0018907739991268686,0.001196678570753451,4311.017410651605,4326.8346058293155,1.079560599432211
phy_afaith_z,0.18255662779366197,0.11060821559099676,1.6504798203120241,0.09906320921917981,-0.03441411280403667,0.3995273683913606,10m,spec_pca_mean,Biodiversity,phy_afaith,1440,0.0018907739991268686,0.001196678570753451,4311.017410651605,4326.8346058293155,1.079560599432211
(Intercept),-0.03978421807608417,0.04231520460045724,-0.9401873026901134,0.34727961467590307,-0.12279045774231487,0.04322202159014652,10m,spec_pca_mean,Biodiversity + environment,phy_afaith,1440,0.00701518220123677,0.0049407013841084035,4307.60524031578,4333.96723227863,1.0775353286328733
phy_afaith_z,0.14338284937402274,0.11161474980538642,1.2846227727430986,0.1991313228990137,-0.07556258076415906,0.36232827951220453,10m,spec_pca_mean,Biodiversity + environment,phy_afaith,1440,0.00701518220123677,0.0049407013841084035,4307.60524031578,4333.96723227863,1.0775353286328733
env_elev_z,-0.007980142848637586,0.03198829048603989,-0.24947075093369636,0.8030323421347494,-0.07072892857868561,0.05476864288141044,10m,spec_pca_mean,Biodiversity + environment,phy_afaith,1440,0.00701518220123677,0.0049407013841084035,4307.60524031578,4333.96723227863,1.0775353286328733
env_tri11_z,-0.07162499346008935,0.02745773871046906,-2.608553975086821,0.00918693497927599,-0.1254865702057045,-0.017763416714474206,10m,spec_pca_mean,Biodiversity + environment,phy_afaith,1440,0.00701518220123677,0.0049407013841084035,4307.60524031578,4333.96723227863,1.0775353286328733
(Intercept),-0.0920125098429943,0.03015190911872685,-3.051631307347198,0.0023177008547736458,-0.15115894862215112,-0.03286607106383749,10m,spec_pca_mean,Biodiversity,sp_shannon,1440,0.0014264635879724895,7.320452733604599e-4,4311.687128462267,4327.504323639977,1.0798116706236325
sp_shannon_z,-0.05182950151716839,0.03616240202210443,-1.4332427775535312,0.152005842032341,-0.12276621364659158,0.019107210612254802,10m,spec_pca_mean,Biodiversity,sp_shannon,1440,0.0014264635879724895,7.320452733604599e-4,4311.687128462267,4327.504323639977,1.0798116706236325
(Intercept),-0.0907312424986903,0.03014364309036724,-3.009962738302344,0.002658355088949978,-0.14986153588607723,-0.03160094911130337,10m,spec_pca_mean,Biodiversity + environment,sp_shannon,1440,0.0066743787216903255,0.004599185919576865,4308.099379606103,4334.461371568953,1.077720223849289
sp_shannon_z,-0.039141255146466956,0.03638871272953111,-1.0756427532184185,0.2822677454367173,-0.11052198551260209,0.03223947521966817,10m,spec_pca_mean,Biodiversity + environment,sp_shannon,1440,0.0066743787216903255,0.004599185919576865,4308.099379606103,4334.461371568953,1.077720223849289
env_elev_z,-0.010373194214098729,0.03189846007655838,-0.3251942002592723,0.7450814698138888,-0.07294576705402506,0.0521993786258276,10m,spec_pca_mean,Biodiversity + environment,sp_shannon,1440,0.0066743787216903255,0.004599185919576865,4308.099379606103,4334.461371568953,1.077720223849289
env_tri11_z,-0.07184766014409523,0.02750005842370818,-2.612636636515447,0.009078447764898582,-0.12579225197360044,-0.017903068314590015,10m,spec_pca_mean,Biodiversity + environment,sp_shannon,1440,0.0066743787216903255,0.004599185919576865,4308.099379606103,4334.461371568953,1.077720223849289
(Intercept),-0.04447599078644144,0.028040514395361416,-1.586133198533578,0.11292880185225776,-0.09948065369565776,0.01052867212277487,10m,spec_rao_q,Null,NA,1440,0,0,4268.374282393674,4278.919079178814,1.064062707024975
