scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd,delta_aic
10m,spec_rao_q,Biodiversity + environment,phy_faith,1440,0.004536186897175385,0.002456527120498153,4267.827312871111,4294.189304833961,1.062754953949556,3.503966106038206
10m,spec_rao_q,Biodiversity,phy_afaith,1440,9.439076293686008e-6,-6.859646517478613e-4,4270.360690059661,4286.177885237371,1.0644275991620569,6.037343294588027
10m,spec_rao_q,Biodiversity + environment,phy_afaith,1440,0.004334657446637145,0.002254576647431006,4268.118808185659,4294.480800148509,1.0628625247021632,3.7954614205864345
10m,spec_rao_q,Biodiversity,sp_shannon,1440,0.0034917343027261686,0.0027987521986250208,4265.33738611947,4281.15458129718,1.0625726397918533,1.0140393543970276
10m,spec_rao_q,Biodiversity + environment,sp_shannon,1440,0.006955514065038959,0.00488090859302992,4264.3233467650725,4290.6853387279225,1.0614627341816893,0
10m,spec_alpha,Null,NA,1439,0,0,4049.9711471986493,4060.514554612424,0.9873175220073048,2.6671581327045715
10m,spec_alpha,Environment,NA,1439,0.004320347544397895,0.002933607081367806,4047.7406985182884,4068.827513345838,0.985868257496414,0.4367094523436208
10m,spec_alpha,Biodiversity,phy_faith,1439,5.440688323437378e-4,-1.5144677737644052e-4,4051.1880190917873,4067.0031302124494,0.9873922822053418,3.8840300258425486
10m,spec_alpha,Biodiversity + environment,phy_faith,1439,0.0047832907401424716,0.0027026983166027474,4049.0714770726186,4075.4299956070554,0.9859824085924168,1.7674880066738297
10m,spec_alpha,Biodiversity,phy_afaith,1439,0.002265406152285493,0.0015710884112640766,4048.7075296385196,4064.5226407591817,0.9865416355824403,1.4035405725749115
10m,spec_alpha,Biodiversity + environment,phy_afaith,1439,0.006004940323986426,0.003926901871702193,4047.3039890659447,4073.6625076003816,0.9853770656254244,0
10m,spec_alpha,Biodiversity,sp_shannon,1439,0.00187943711637392,0.001184850781729696,4049.2640925210794,4065.0792036417415,0.9867324366773523,1.9601034551346856
10m,spec_alpha,Biodiversity + environment,sp_shannon,1439,0.005605103330509961,0.0035262289820721104,4047.882714018292,4074.241232552729,0.9855752308912407,0.5787249523473292
20m,spec_sa,Null,NA,405,0,0,1123.3028965273922,1131.3106706616054,0.9647878842998594,37.15148332646413
20m,spec_sa,Environment,NA,405,0.08914047530227628,0.08460883587591939,1089.489426513602,1105.504974782028,0.9230711955970581,3.3380133126738656
20m,spec_sa,Biodiversity,phy_faith,405,0.019707128475816443,0.0172746399608682,1117.241815622135,1129.2534768234545,0.9564184002130741,31.090402421206818
20m,spec_sa,Biodiversity + environment,phy_faith,405,0.09346289959306207,0.08668082652268594,1089.562950900764,1109.5823862362968,0.922025916553376,3.4115376998358897
20m,spec_sa,Biodiversity x elevation,phy_faith,405,0.09371453545973597,0.08465168081433327,1091.4505157086742,1115.4738381113134,0.923049593142905,5.299102507746056
20m,spec_sa,Biodiversity,phy_afaith,405,0.027475965361965105,0.025062754357900507,1114.0193982741523,1126.031059475472,0.9526210460672864,27.86798507322419
20m,spec_sa,Biodiversity + environment,phy_afaith,405,0.10106708797920515,0.0943419040987502,1086.1514132009281,1106.1708485364609,0.9181507173677187,0
20m,spec_sa,Biodiversity x elevation,phy_afaith,405,0.1015659614376807,0.09258162105205747,1087.92659126815,1111.9499136707893,0.9190425663872858,1.7751780672219866
20m,spec_sa,Biodiversity,sp_shannon,405,0.004166475538246242,0.0016954246090608027,1123.6119488370289,1135.6236100383485,0.9639696747888221,37.46053563610076
20m,spec_sa,Biodiversity + environment,sp_shannon,405,0.0907412731876684,0.08393883882248887,1090.7770296017961,1110.796464937329,0.9234089429346041,4.625616400868012
20m,spec_sa,Biodiversity x elevation,sp_shannon,405,0.09093710024274139,0.08184647124516875,1092.6897953562675,1116.7131177589067,0.9244629167265653,6.538382155339377
20m,spec_pca_mean,Null,NA,360,0,0,919.7287800744298,927.5009881373301,0.8644151016380154,6.875130742195324
20m,spec_pca_mean,Environment,NA,360,0.015585964039309976,0.010071039468101728,918.0736472913266,933.6180634171271,0.860051307546905,5.2199979590920975
20m,spec_pca_mean,Biodiversity,phy_faith,360,0.00763963475979796,0.004867678432311395,918.9679522234026,930.626264317753,0.8623086878013215,6.1143028911681085
20m,spec_pca_mean,Biodiversity + environment,phy_faith,360,0.01917356818947587,0.010908176910173761,918.7592647005437,938.1897848577944,0.8596875776943087,5.905615368309213
20m,spec_pca_mean,Biodiversity,phy_afaith,360,0.024351734225517885,0.021626459740114234,912.8536493322345,924.5119614265849,0.8550168922063399,0
20m,spec_pca_mean,Biodiversity + environment,phy_afaith,360,0.031141972498174065,0.022977438558551944,914.3393908566319,933.7699110138826,0.8544263668626746,1.4857415243974401
20m,spec_pca_mean,Biodiversity,sp_shannon,360,0.01091973849923711,0.008156944472698657,917.7760533505148,929.4343654448652,0.8608823898609045,4.922404018280304
