"","name","slope_percent","aspect_sin","aspect_cos","tei_north","tei_east"
"205","1306",14.124781214754,-0.196219586673965,-0.856178200674456,-0.124251234202755,-0.029212985122413
"206","119",26.7753188326125,0.954879175878594,0.147997730703091,0.0375481796264648,0.257765045166016
"207","1405",13.0120840392821,0.443901308150976,-0.810160214093708,-0.106653137207031,0.0579787731170654
"208","218",19.8389059273585,0.912863402625056,0.186043656972064,0.0424909114837646,0.18302981376648
"209","1504",17.479129987518,0.755350772971478,-0.596675187355029,-0.102601885795593,0.135461268424988
"210","317",40.6914186169927,0.75711966497706,0.133407616828728,0.0592434138728496,0.329684293180927
"211","1603",22.809333062207,0.868789858380501,-0.438017676449873,-0.100846900939941,0.198383092880249
"212","416",27.6153768591129,0.909692928981281,0.14690638576464,0.0403383154618113,0.255161653485215
"213","1702",29.251106243405,0.859100739157789,-0.415872433796902,-0.112274684906006,0.257454748153687
"214","515",24.3423253014859,0.8738724246502,0.170025430267565,0.0505453936736984,0.215632469731764
"215","1801",23.4418967464224,0.878229951170236,-0.362787248962972,-0.0872500031963548,0.206797364346702
"216","614",19.9786693684407,0.919129645495165,0.281695131510293,0.0487418603897095,0.185956950187683
"217","1900",32.6406133716936,0.554393548676244,-0.475968756349209,-0.131348460095184,0.204437032304797
"218","713",25.9245868210896,0.956828566678264,0.219903919279189,0.0536830312296042,0.249092002164693
"219","812",35.8384521811619,0.921180546703727,0.326090702482157,0.12022664838301,0.329613155260348
"220","911",35.3281158068648,-0.699494296607505,0.186115645866054,0.0395391082763672,-0.269440240859985
"221","1010",21.6414785101103,-0.941464869680281,-0.230821438075076,-0.0499880790710449,-0.204531745910645
"222","1109",23.1772097285169,-0.454494439042898,-0.561423423728045,-0.128605599403381,-0.101528782844543
"223","1208",21.7698918852787,-0.59839014219304,-0.703642995978723,-0.153884094161796,-0.128768758367476
"224","21",36.3944554448861,0.912362925141042,0.308413836305178,0.112337694168091,0.333749704360962
"225","1307",17.5516527900026,-0.366219706792845,-0.870847152726096,-0.153872149840852,-0.0632568511582372
"226","120",32.9859120553008,0.912073007088013,0.294975549623464,0.094478645324707,0.304455623626709
"227","1406",21.333641765734,0.0868548595448557,-0.813512143738996,-0.178565922068126,0.0255683785054221
"228","219",21.296997126198,0.884892069240693,0.31869752614781,0.0706828585883923,0.189541957027597
"229","1505",14.6667510167499,0.73018659216155,-0.580914204897691,-0.0862616106382289,0.108416951688609
"230","318",38.4463902113061,0.848460685959482,0.186457576786862,0.0792011479240152,0.345523269615363
"231","1604",18.760720243461,0.825548128486996,-0.536170194106235,-0.0983029511339384,0.15666765676704
"232","417",31.1076466095445,0.926810334723342,0.237784956373849,0.0750393962860107,0.288746318817139
"233","1703",28.2795406720853,0.792379517312819,-0.490004613450336,-0.14075334072113,0.226824040412903
"234","516",21.3486280190918,0.929289828637133,0.253128410880442,0.0523114967346191,0.198845338821411
