"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points"
"sub50_19",200918,FALSE,"all_pixels",11.2713195834184,10.1652199437965,6.23565635075574,331.851723495036,"squared_euclidean_pc1_pc3",1175.91763038573,"sampled_pixels",10000,1,2494.03070947693,36636.2095650157,7984.05724841545,"sampled_pixels",10000
"sub50_2",164543,FALSE,"all_pixels",8.16178411090156,7.4585651913912,4.42266305702714,172.349099029138,"squared_euclidean_pc1_pc3",647.299104134719,"sampled_pixels",10000,1,1451.83876517138,15120.8978039719,3835.12918770967,"sampled_pixels",10000
"sub50_20",181089,FALSE,"all_pixels",9.20020064894939,8.42288164395681,6.09978947571642,243.701836328197,"squared_euclidean_pc1_pc3",801.008785653374,"sampled_pixels",10000,1,4119.21644390432,45557.2354855666,10281.8830967455,"sampled_pixels",10000
"sub50_21",185088,FALSE,"all_pixels",8.27668521896421,7.59783828924324,4.54726224379587,178.362000820071,"squared_euclidean_pc1_pc3",733.264833366954,"sampled_pixels",10000,1,2059.74988099735,20163.8618901782,5129.25225986272,"sampled_pixels",10000
"sub50_22",159220,FALSE,"all_pixels",7.68721476621342,7.20219803550135,3.90182256196241,148.634789098845,"squared_euclidean_pc1_pc3",595.551936079027,"sampled_pixels",10000,1,1317.17301117809,13053.6554691795,3725.11333619625,"sampled_pixels",10000
"sub50_23",173628,FALSE,"all_pixels",7.84745692006551,7.2049962614148,4.26743567324294,159.586964904704,"squared_euclidean_pc1_pc3",706.732744580576,"sampled_pixels",10000,1,1670.20009958608,18259.8135208305,4896.2232641863,"sampled_pixels",10000
"sub50_24",166816,FALSE,"all_pixels",7.94024381850327,7.32685130387604,4.25410300718735,162.28951161178,"squared_euclidean_pc1_pc3",681.233049677094,"sampled_pixels",10000,1,2224.97114389119,14918.6674587244,3870.32105957008,"sampled_pixels",10000
"sub50_25",200712,FALSE,"all_pixels",7.94236349792311,7.10911316812228,4.47169190316932,166.154133569072,"squared_euclidean_pc1_pc3",708.990645526806,"sampled_pixels",10000,1,1635.0623053247,15203.2479874068,4153.19582589076,"sampled_pixels",10000
"sub50_26",168753,FALSE,"all_pixels",8.52316036223795,7.91754213384825,4.43495040458889,184.625862195792,"squared_euclidean_pc1_pc3",733.049521888119,"sampled_pixels",10000,1,1632.67918707983,15025.87709622,3756.19817873676,"sampled_pixels",10000
"sub50_27",167394,FALSE,"all_pixels",8.94509918320822,8.35316289509112,4.59057960120245,202.176189162542,"squared_euclidean_pc1_pc3",881.8422960172,"sampled_pixels",10000,1,1457.23127230961,13667.678541559,3789.74395259743,"sampled_pixels",10000
"sub50_28",178528,FALSE,"all_pixels",8.41276390924289,7.84250399040192,4.32368167325251,178.937430182326,"squared_euclidean_pc1_pc3",701.416577081561,"sampled_pixels",10000,1,1272.4472674618,14587.1683589971,3854.0613639504,"sampled_pixels",10000
"sub50_29",172241,FALSE,"all_pixels",9.49572356869832,8.65847140693712,5.51909494764316,241.257996573248,"squared_euclidean_pc1_pc3",844.651046698898,"sampled_pixels",10000,1,2666.16507177073,38466.2888695151,7435.22579155968,"sampled_pixels",10000
"sub50_3",170209,FALSE,"all_pixels",8.19251150768189,7.33764558821303,4.62872122805289,177.084358271028,"squared_euclidean_pc1_pc3",686.229891345176,"sampled_pixels",10000,1,1383.06876318854,16813.5077504535,4142.83213190892,"sampled_pixels",10000
"sub50_30",160607,FALSE,"all_pixels",7.96429970282513,7.23090405094708,5.03647999970593,177.592085209445,"squared_euclidean_pc1_pc3",648.296751213856,"sampled_pixels",10000,1,2788.37975086768,31689.1067687173,7261.27741146235,"sampled_pixels",10000
"sub50_31",187329,FALSE,"all_pixels",9.79071311139164,8.8081422559217,5.47090747926583,251.577464198921,"squared_euclidean_pc1_pc3",929.082896216486,"sampled_pixels",10000,1,2227.92290370828,19763.3832718371,5162.94333570809,"sampled_pixels",10000
"sub50_32",162092,FALSE,"all_pixels",8.13749802015088,7.50464133858126,4.37210446357558,170.668107079371,"squared_euclidean_pc1_pc3",722.302058445482,"sampled_pixels",10000,1,1536.92763629826,13199.0256700027,3677.62267205916,"sampled_pixels",10000
"sub50_33",178883,FALSE,"all_pixels",8.99384850631011,7.50020132598411,6.69637364744178,251.460960612068,"squared_euclidean_pc1_pc3",859.896477083511,"sampled_pixels",10000,1,3449.38522925996,38941.119744636,10057.8852281447,"sampled_pixels",10000
