"quad_id","n_pixels","boot_1","boot_2","boot_3","boot_4","boot_5","boot_6","boot_7","boot_8","boot_9","boot_10","boot_11","boot_12","boot_13","boot_14","boot_15","boot_16","boot_17","boot_18","boot_19","boot_20","boot_21","boot_22","boot_23","boot_24","boot_25","boot_26","boot_27","boot_28","boot_29","boot_30","boot_31","boot_32","boot_33","boot_34","boot_35","boot_36","boot_37","boot_38","boot_39","boot_40","boot_41","boot_42","boot_43","boot_44","boot_45","boot_46","boot_47","boot_48","boot_49","boot_50","boot_51","boot_52","boot_53","boot_54","boot_55","boot_56","boot_57","boot_58","boot_59","boot_60","boot_61","boot_62","boot_63","boot_64","boot_65","boot_66","boot_67","boot_68","boot_69","boot_70"
"10_c",7047,2.82085032680175,2.7961533643707,2.81049246882804,2.8320612813696,2.79918389859911,2.80599747918749,2.78564305602324,2.80561614114023,2.81219809103832,2.80016748983351,2.80808347546731,2.82410786895969,2.8041295505775,2.80357189891933,2.80574861510322,2.80775208470458,2.80772022895494,2.80344234121184,2.79910999194348,2.81261008185692,2.81009729839884,2.79748877311276,2.80062199634673,2.82687662966734,2.79984222835064,2.81455552517181,2.82231875471036,2.81074055830742,2.81219942017217,2.8023961595426,2.79702069638804,2.7951693497033,2.80536282431971,2.80771788459268,2.82004429019366,2.80418581248213,2.8091219846358,2.82001842618832,2.80275889808429,2.806905198251,2.80083110837546,2.79869873116906,2.80924188341423,2.80122612828303,2.80692372228271,2.796952807597,2.80512371339929,2.81427078838285,2.80567433419574,2.80380396877856,2.81448965257901,2.7927022356157,2.80767368627748,2.78921835842339,2.82533837816331,2.81006595743651,2.8033988351743,2.8061993833998,2.81439002156544,2.80226594901001,2.80438383660771,2.80090951714687,2.79109584232288,2.79950277940947,2.82535957278785,2.81069702979184,2.80443040756965,2.81273078431047,2.79449358664041,2.80487237923303
"10_d",7086,2.78488716090179,2.79046156476819,2.79892859490352,2.8128297883022,2.81716125016361,2.79862499836352,2.80067797011766,2.80383450731898,2.79454485739251,2.79550751529259,2.81005459007918,2.79970633369877,2.79756099159382,2.79024222505512,2.79399849494334,2.79129566754198,2.80394813884997,2.79316692265207,2.81518679845851,2.80028186539468,2.79352353070659,2.79888297156611,2.79651400115227,2.81097275592491,2.80354350009065,2.80430903048754,2.79081782182091,2.79399979341159,2.79023312530471,2.79310964820275,2.80207274831938,2.78996364114245,2.80887034606519,2.80373406541391,2.80993903752705,2.80234515277407,2.77866696415451,2.7978190673046,2.80607263824122,2.79933636468047,2.80615517100673,2.80995377605988,2.78795942028998,2.78130101126704,2.78503906512515,2.80258395635644,2.8055015583834,2.78677978791539,2.77586414105926,2.81634500379541,2.79808345661633,2.80893738563491,2.8306193098028,2.81734833756846,2.794726985152,2.7853167624515,2.80766276687706,2.78637473427908,2.80270689233661,2.79628183517735,2.7911712208914,2.80005562922114,2.7859780376244,2.80700584900822,2.80127045081181,2.7999462200895,2.80825272144303,2.81101962856304,2.79608097748811,2.80118043332049
"100_a",7809,2.72179332139194,3.42560502496848,2.74399314854546,3.43944080894972,2.74459424479011,2.73238697619736,2.74626957991865,2.75700129642687,2.73618479072195,3.42640401006855,2.74359991654542,2.7334030500084,2.73280106878312,2.7429478557694,2.75396412896492,2.73749112987226,2.73517726638704,2.73077425550771,2.7425255475674,2.74022178933454,2.72648004027937,2.76023042312623,2.73897147394238,2.72658432933258,2.7312765627698,2.74523047482612,2.74160368930071,2.73038555156524,2.73707166258581,2.73912856102672,2.73472827497437,2.74033499360662,2.73870244308136,2.75790528201722,2.74956113724981,2.74283407775161,3.42292988955557,3.44525843681355,2.74434306294802,2.73660065572825,3.41435447986847,3.43504298511049,2.73542979476179,3.40360623037126,2.73620327762203,2.72928297894442,2.72122782487938,2.72793453922615,2.72531945094594,2.74477129646881,2.75106448569575,2.7615996259869,2.73617034290097,2.74278778989698,2.74293197514547,2.74467496986784,2.73748304079127,2.74681599762553,2.74708030223378,2.73603010909594,3.40179756525323,3.43191560154552,2.74463600245317,2.74014045584924,3.4252470345766,2.76161344692835,3.40284804103749,2.74021408778641,2.71713029328375,3.42740359639437
"100_b",7035,2.80846120502034,2.8045830932246,2.80491604843353,2.81678803250806,2.81002696352042,2.80075326551686,2.81552018520304,2.80000875764277,2.79037203696737,2.81637566677898,2.80361788028463,2.79475561454641,2.80302276417619,2.81041812639144,2.81514778306765,2.80394998503489,2.8091430247321,2.80897631710061,2.81664950994353,2.80370147707766,2.81096669124672,2.77910073918822,2.81732681732825,2.79002966454769,2.80319059872483,2.80033353575946,2.79470016612938,2.81024978866926,2.79662610993138,2.80866244470225,2.8087852596266,2.81967261820565,2.81291016603448,2.80070039216076,2.77929995957354,2.81023901429958,2.81447796359745,2.81426033114903,2.81548286809269,2.81221946744341,2.8177632655907,2.79188209390362,2.80354537732998,2.80511484005991,2.80978877388999,2.8155010463052,2.81298403397237,2.80063175723056,2.79656100694348,2.80028706420472,2.78530948719842,2.80617778094838,2.80112466885198,2.8052413841186,2.81875802077924,2.80079230363004,2.80876632621293,2.80067170916656,2.79748963239915,2.79206437328635,2.80359345178908,2.80193449590844,2.81129238031378,2.80034759084952,2.81392610508037,2.8095832799704,2.7991415477376,2.82117366211249,2.81799350644985,2.79771950895171
"100_c",8911,2.71004160149542,2.70775851092759,2.69630930005298,2.70832645410531,2.72662934057882,2.70270699470117,2.71558646507945,2.69407806639196,2.70237115092415,2.7110407611374,2.71316831262243,2.71403476987601,2.69885622952514,2.71755068930924,2.72643087577836,2.73093626661107,2.69207564401227,2.71427831916567,2.7163274091135,2.71174581686891,2.72914725724328,2.71032762235055,2.71826995827881,2.73712157769369,2.70440795802245,2.72783997559206,2.70797238749175,2.71298591049002,2.70382254686925,2.70959762010972,2.71416534922313,2.71703989707785,2.70675436792808,2.71879784882247,2.70206520346915,2.72119942748239,2.7125286562087,2.70165125969472,2.71754733589321,2.70883336824169,2.70197805662674,2.70407480719317,2.7161884510922,2.71240483610676,2.7059944402673,2.69949032908077,2.7072080510184,2.72814209760821,2.72968570713537,2.70163726417449,2.6899229381875,2.71930650429945,2.70836779875323,2.72045692737292,2.7060830559918,2.70223141352268,2.69778301855122,2.70183803977887,2.73076121998503,2.71684285519823,2.71379248778208,2.72080625715918,2.71048688064597,2.71128413008435,2.70999834022784,2.72263612297537,2.69975773935731,2.72064580110663,2.71041067576111,2.72516641100305
"100_d",7619,2.86664226518937,2.86597748261365,2.8781487588394,2.85929513928508,2.86355494685974,2.86761012452118,2.87080808976064,2.85700893321986,2.87327657937886,2.86413610181693,2.86302937721457,2.85740580129988,2.86677517250317,2.85679219721319,2.89604773210521,2.88007406389478,2.87725736149344,2.8785622471207,2.87952222284553,2.86621849092295,2.87437220759849,2.88006479382812,2.88361212589937,2.87572588174208,2.8657271580962,2.89153348851524,2.87719825994222,2.87259526785335,2.85741045540305,2.87067427493152,2.87442890913609,2.85059156147422,2.85173422328379,2.8782392216908,2.86200920195213,2.89198474075121,2.88328491354714,2.87166424676807,2.89226534934808,2.87002394421835,2.86241057541438,2.86154643293091,2.86788013131261,2.87600936020099,2.86882873438541,2.88819386046007,2.87286936576154,2.87270020675609,2.86686747437902,2.8650796009212,2.86495512455486,2.85853339257236,2.86328414326242,2.87484540734871,2.87642537654474,2.88876278789264,2.87879912814372,2.88891866068025,2.8497722564922,2.88541017360969,2.85719491682143,2.88528519316002,2.86354879998842,2.87182572252024,2.87537967676584,2.87848889019923,2.87299499038618,2.8501784161219,2.88502600359327,2.8628900585671
"1000_a",7586,2.74870429423789,2.74288261849381,2.72138421253452,2.7187889116873,2.75467628367604,2.75258242136183,2.74669873946176,2.73773205923941,2.73200657385643,2.72606633289009,2.7337351944118,2.72659592465651,2.72852786884192,2.73146314978041,2.74186512564394,2.73632638059661,2.72857692551445,2.73536477775078,2.73189804796697,2.74630172361841,2.7288513684777,3.41397554917035,2.74301765164862,2.7346661921698,2.73828857438397,2.73563248648508,2.73155268207823,2.73563414103972,2.75177345073146,2.73024873855947,2.74225533132865,2.73323645758388,3.40866305982494,2.74590129506164,2.74329058749078,2.7246485070333,2.7390505143306,2.75052433228357,2.72456883230139,2.74212421511026,2.74634948514421,2.7489090370146,2.7231538637251,2.73079101028627,2.73426048529988,2.72648438777294,2.73254380039095,2.75704604735641,2.73104432460253,2.71871656310777,2.74119263545393,2.73838756502161,2.71684070167571,2.7310721098965,2.72281098825479,2.73170499708993,2.71635120336618,2.72516442202431,2.74578371341283,2.74059614392572,2.72821011754962,2.72359422816377,2.73993782952606,2.72623494186748,2.74318558963655,2.74017128978474,2.74574049369305,2.73488559288473,2.73311310793395,2.72256113981337
"1000_b",8134,2.81764420783458,2.82636719951293,2.82028010134103,2.81000210922633,2.820627587218,2.82367230052506,2.81163450508192,2.83482626976786,2.81675254540269,2.82131636936075,2.81287873318052,2.8093653126167,2.81619083906174,2.82659283961912,2.82282421826436,2.78645058136402,2.83190631981776,2.82100223124638,2.8185419934226,2.81837291886282,2.82099637303853,2.81262548791247,2.79546238701878,2.80453808573741,2.82339575043837,2.79334043280312,2.7958636684372,2.82155518891931,2.80557645220838,2.81036679166982,2.82322623070105,2.82227928974949,2.81574851710906,2.82975094446305,2.80342616218874,2.81501289129785,2.80997726407646,2.82167863455231,2.80817480618051,2.81952289465631,2.82003222361934,2.8024363693153,2.8056998211754,2.81250190615662,2.82908702137917,2.80786079383424,2.81525052234058,2.82440403378802,2.80292089852089,2.81139922333639,2.81316366700188,2.82245044140556,2.80799675988716,2.83686522256179,2.81558718398832,2.81902457407304,2.80670835837373,2.81128039328198,2.81314533710679,2.8189950280051,2.80702433836133,2.82624675973971,2.82540022427024,2.81265742654796,2.82683429796864,2.79953228441975,2.80343200154912,2.82779080967999,2.81319573337387,2.82476536358587
"1000_c",7126,2.90437546373568,2.89188300380387,2.89484092810852,2.88523631800358,2.88695171343891,2.88557947646141,2.88822796896722,2.87865679948608,2.89423414658031,2.89288934736407,2.89662899014642,2.89437040337351,2.88774690427345,2.89154316419211,2.88537467405291,2.88353873331746,2.86760353961818,2.88562255813531,2.8966225537389,2.88374001189083,2.89304535880266,2.8849036912829,2.86534759288329,2.90185058997356,2.88990804547923,2.89377294693397,2.88478181389167,2.87745746413079,2.88480558672276,2.89618588281209,2.89550130453348,2.89422884307432,2.89302120211177,2.89070466183587,2.87849987331876,2.88440397260954,2.88695894038677,2.88502086377526,2.87209620262127,2.87952650644511,2.87157540382423,2.87834905177962,2.87384045454479,2.89256762931663,2.8807525961102,2.8837673321924,2.90129216846942,2.86886060619178,2.88515267529624,2.88220284887338,2.88679239178984,2.88288113381206,2.89363947452364,2.89635303073986,2.86949915365533,2.88222297366631,2.89746142254591,2.88651628354925,2.89581130359386,2.87744799991481,2.88467518904297,2.88712301850625,2.88906708745566,2.88079674353776,2.88534409018932,2.88845265450102,2.8799817046613,2.87868630835916,2.89197010621468,2.89182258448876
"1000_d",7424,2.82417897630704,2.79665932523522,2.79697852742052,2.81698910503519,2.81404063558068,2.81351345550949,2.80404057350835,2.81470590705463,2.80224460373935,2.81062631698253,2.81686760381488,2.82707561773094,2.82519631691637,2.8089974463511,2.80027939840151,2.81048967439025,2.81133772349682,2.8041613754058,2.80872219373604,2.80546308940954,2.82176252713525,2.80458231711764,2.81459758118285,2.81883414655733,2.81438994957979,2.80039529969852,2.80720836849643,2.81280767514039,2.80993118405192,2.80898229657504,2.81720111326391,2.80252196635918,2.81001386235181,2.80508418103276,2.81039092102575,2.8107705190875,2.81514456643498,2.82201618816305,2.80087209602296,2.81238551815026,2.8281585185619,2.80975150289053,2.80391292503694,2.8218200194804,2.81955555583937,2.81199995409757,2.8087094470746,3.50026755717738,2.81540179773417,2.80078436609995,2.79864880903452,2.79533393659301,2.82724051410596,2.80704949822232,2.81644246344247,2.8118660920109,2.81757544322032,2.81527446143195,2.81786339973179,2.80785967322152,2.81356266367247,2.82034187159866,3.50468377063018,2.81211632905108,2.80688893866085,2.81127359244617,2.79556659670668,2.82187024877745,2.81447570397535,2.81500394332495
