"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"123_d",7687,29541141,"bootstrap_mean",2.7611752489601,NA,2.7611752489601,0.0153522151665125,0.00556002925648939,2.76206545736058,2.72413059973648,2.79503533905402
"124_a",7899,31193151,"bootstrap_mean",2.83669548464764,NA,2.83669548464764,0.0102980024537261,0.00363028125840773,2.83871663315755,2.8017077845006,2.85418759013214
"124_b",6641,22048120,"bootstrap_mean",2.852702145065,NA,2.852702145065,0.113999247877542,0.0399618474276236,2.87081052416438,2.17957342573012,2.89845940166113
"124_c",6848,23444128,"bootstrap_mean",2.93743158648333,NA,2.93743158648333,0.0825397222884287,0.0280992832882432,2.94738625239409,2.26150760591513,2.96759396721604
"124_d",6386,20387305,"bootstrap_mean",2.87295413549729,NA,2.87295413549729,0.00942023336200335,0.00327893621607459,2.87196593918064,2.8536671734596,2.89280368222419
"13_a",7947,31573431,"bootstrap_mean",2.77714083789253,NA,2.77714083789253,0.0118122927032762,0.00425340067097212,2.77706695007888,2.74911976195741,2.80210685120539
"13_b",8008,32060028,"bootstrap_mean",2.72517175870325,NA,2.72517175870325,0.0105046840254333,0.00385468695390848,2.72610721643128,2.70068593220285,2.75120781731185
"13_c",8066,32526145,"bootstrap_mean",2.71166750204474,NA,2.71166750204474,0.00914553679766106,0.00337266157844383,2.71161360996882,2.68106231479978,2.73620615905214
"13_d",7178,25758253,"bootstrap_mean",2.7355666539669,NA,2.7355666539669,0.00923107968721062,0.00337446710495043,2.73482829094504,2.71685224037815,2.7533695711959
"1300_a",7307,26692471,"bootstrap_mean",2.82221208193104,NA,2.82221208193104,0.0823002935113001,0.0291616261011072,2.81141727261445,2.78660140123349,3.49769545734918
"1300_b",6918,23925903,"bootstrap_mean",2.81992487487246,NA,2.81992487487246,0.00993443009614745,0.00352294140339351,2.82063778859997,2.79065405136897,2.84342156630581
"1300_c",6481,20998440,"bootstrap_mean",2.84666322081183,NA,2.84666322081183,0.0101783848568529,0.00357554935983968,2.84645566515089,2.81779591705743,2.865666674976
"1300_d",6545,21415240,"bootstrap_mean",2.87891104644078,NA,2.87891104644078,0.00953939236379192,0.00331354189480274,2.87951612421202,2.85637476566241,2.89768679321935
"1301_a",5629,15840006,"bootstrap_mean",2.87768837008966,NA,2.87768837008966,0.00738962679174551,0.0025679037621142,2.87779890841443,2.86296459435403,2.8979959292032
"1301_b",7611,28959855,"bootstrap_mean",2.84653527758365,NA,2.84653527758365,0.00862068738048632,0.00302848429400257,2.84553994289587,2.82901581414767,2.87247561915851
"1301_c",7184,25801336,"bootstrap_mean",2.82215632302435,NA,2.82215632302435,0.00853014307422823,0.00302256221763327,2.82235931484765,2.80402298212884,2.84112311229579
"1301_d",6294,19804071,"bootstrap_mean",2.83437799168554,NA,2.83437799168554,0.00784762987344165,0.00276873088080071,2.83485167052422,2.81163293817028,2.85507316223278
