"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"1000_b",8134,FALSE,"all_pixels",8.37489800789773,7.94530123244578,4.28748694181874,177.038401910624,"squared_euclidean_pc1_pc3",599.839949365484,"all_pixels",7977,1,1373.63711176538,10738.6118962539,3411.48251886724,"all_pixels",7977,8134,33076911,"bootstrap_mean",2.81547794935047,NA,2.81547794935047,0.00998494200454869,0.00354644653027817,2.8159696780854,2.78645058136402,2.83686522256179,"10m"
"1000_c",7126,FALSE,"all_pixels",9.05210040957894,8.85150413236898,3.88050067190156,193.993388285471,"squared_euclidean_pc1_pc3",612.384881213771,"all_pixels",6890,1,1234.76407034428,7220.76091919678,2879.97552817718,"all_pixels",6890,7126,25386375,"bootstrap_mean",2.88646562090943,NA,2.88646562090943,0.00834199886036717,0.0028900392230339,2.88606942084228,2.86534759288329,2.90437546373568,"10m"
"1000_d",7424,FALSE,"all_pixels",6.59507450478288,5.88917905518721,3.9370504086127,117.98657154206,"squared_euclidean_pc1_pc3",479.114230147129,"all_pixels",7380,1,923.448161365806,5029.3864137551,2171.46977406564,"all_pixels",7380,7424,27554176,"bootstrap_mean",2.83119656767579,NA,2.83119656767579,0.11621778391248,0.0410489985892739,2.81193302305423,2.79533393659301,3.50468377063018,"10m"
"1001_a",6928,FALSE,"all_pixels",6.52677198990328,6.10198523385613,3.30008951471995,106.975542891711,"squared_euclidean_pc1_pc3",434.000088641099,"all_pixels",6912,1,820.772108167057,5191.62039912755,2064.09314992949,"all_pixels",6912,6928,23995128,"bootstrap_mean",2.79682679332404,NA,2.79682679332404,0.0104675821029022,0.00374266369583133,2.79527802576206,2.76639153620766,2.8249934205551,"10m"
"1001_b",7555,FALSE,"all_pixels",7.88479775617431,7.19507568446278,4.2075390862129,159.742155100773,"squared_euclidean_pc1_pc3",613.013223341544,"all_pixels",7544,1,978.527317196296,7599.55874456692,2536.28065445626,"all_pixels",7544,7555,28535235,"bootstrap_mean",2.87798981203083,NA,2.87798981203083,0.00983045271907761,0.00341573576041981,2.87735602716019,2.86096565033404,2.90857196659839,"10m"
"1001_c",8660,FALSE,"all_pixels",9.34129962960518,8.86745955530183,4.30409625440304,211.565968326981,"squared_euclidean_pc1_pc3",743.830575734521,"all_pixels",8641,1,1166.39290195538,9615.74985637943,2866.30474988833,"all_pixels",8641,8660,37493470,"bootstrap_mean",2.91120599007606,NA,2.91120599007606,0.0113424461590152,0.00389613314814556,2.91018752436052,2.88757417243793,2.93406645919422,"10m"
"1001_d",8740,FALSE,"all_pixels",6.00473677678532,5.36806934998841,3.5008955969372,96.6234628398254,"squared_euclidean_pc1_pc3",485.895012222742,"all_pixels",8740,1,896.22508820533,5438.24299737437,2153.2057437544,"all_pixels",8740,8740,38189430,"bootstrap_mean",2.85367248172176,NA,2.85367248172176,0.0102462456696373,0.00359054717570647,2.85274731279189,2.82721286632701,2.87279449092711,"10m"
"1002_a",9024,FALSE,"all_pixels",8.82832149646308,7.94973707757521,4.6275095517907,198.701464217444,"squared_euclidean_pc1_pc3",703.371952483296,"all_pixels",9023,1,1116.97461839581,8035.29947759489,2729.33554625802,"all_pixels",9023,9024,40711776,"bootstrap_mean",2.77518747844706,NA,2.77518747844706,0.0832363061897824,0.0299930389698788,2.76665618153166,2.73949701671123,3.45568922751764,"10m"
"1002_b",8827,FALSE,"all_pixels",8.60564903287377,7.6332324645913,5.21507366888103,202.502215069694,"squared_euclidean_pc1_pc3",687.999391579998,"all_pixels",8789,1,1027.31061943598,9659.27467792152,2839.14725129939,"all_pixels",8789,8827,38953551,"bootstrap_mean",2.75123454046596,NA,2.75123454046596,0.0112061924981955,0.00407315055600369,2.75061532009661,2.72629824845589,2.77512829274483,"10m"
"1002_c",7501,FALSE,"all_pixels",10.0236610461391,9.0707583219883,5.33551046857379,257.875315089152,"squared_euclidean_pc1_pc3",882.705271921722,"all_pixels",7490,1,1722.5125891255,17802.5467681962,4385.19828037769,"all_pixels",7490,7501,28128750,"bootstrap_mean",2.95626842070185,NA,2.95626842070185,0.162933939960066,0.0551147314022939,2.9953920538012,2.29133529652417,3.0245890440373,"10m"
