"Name","n_pixels","boot_1","boot_2","boot_3","boot_4","boot_5","boot_6","boot_7","boot_8","boot_9","boot_10","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1006",31726,3.02408309006155,3.03167844890232,3.02742324441054,2.35658643003048,3.02852148993297,2.3404043122693,3.04398525260951,2.33121043432301,2.36856483885223,2.35682590748843,2.69092834488804,0.340373486636144,0.126489242005553,2.36856483885223,0.126489242005553,3.04398525260951
"1007",30038,2.41852130323231,2.43217140642728,2.4335246500192,2.44131157040275,2.46021592744252,2.40511821498863,2.44944526745797,2.40440700303225,2.42833119160315,2.45466980694397,2.432771634155,0.0183756371921758,0.00755337530830689,2.43217140642728,0.00755337530830689,2.46021592744252
"1008",27266,2.32059607524155,3.01790904792962,3.03003435839198,3.02186100516338,3.02975988172426,3.00727577108904,2.3384485685622,2.34072880010697,3.00095901405845,3.03287503535935,2.81404475576268,0.314929508163481,0.111913468155956,3.00095901405845,0.111913468155956,3.03287503535935
"101",34460,3.0215287891523,3.01513180598396,2.99884381677324,2.33329412316715,3.02929227394206,3.04615005912779,2.99035332837712,2.35771635830541,2.32621141851518,3.01391526631252,2.81324372396567,0.310838437778157,0.110491115693305,2.99035332837712,0.110491115693305,3.04615005912779
"1011",33052,2.32374028535916,3.00169241991573,2.34102445731373,2.33856475789466,2.97869684324434,2.29304986724453,2.34428199924478,2.32239001076749,2.31308679082113,3.00858327311902,2.52651107049246,0.307966700450161,0.121894063337761,2.33856475789466,0.121894063337761,3.00858327311902
"1012",36554,2.34854071061773,2.38272241581059,2.36932585382626,3.03611212358878,3.06512591827711,2.39661969094225,3.04781211963338,3.06605120080608,2.39777081401381,3.06282892027384,2.71729097677898,0.33864823576384,0.124627152063511,2.39777081401381,0.124627152063511,3.06605120080608
"1015",16310,2.64352669214127,2.66877529891117,2.63962997479495,2.62381296854639,2.62974063256476,2.6336741318495,2.64939882404732,2.62870441318442,2.64668863186693,2.6666669927452,2.64306185606519,0.0145805636602753,0.00551654272744939,2.63962997479495,0.00551654272744939,2.66877529891117
"1016",14636,2.64373036773035,2.64785450453122,2.62760146742879,2.64969443554269,2.66315748062351,2.62565813314403,2.65419622225124,2.63851830734846,2.64996243993703,2.63519819552242,2.64355715540597,0.0112462205128008,0.00425419987224514,2.64355715540597,0.00425419987224514,2.66315748062351
"1017",22246,2.52051681913199,2.49965133410666,2.51074587273874,2.50060704465981,2.51964395228545,2.53804351295364,2.52842441469296,2.50334455408284,2.50669299864162,3.17846749821193,2.58061380015057,0.199641259629581,0.0773619282427819,2.51074587273874,0.0773619282427819,3.17846749821193
"1018",19702,2.71309100676385,2.72743412579251,2.73406487102968,2.72712386179462,2.71547644755759,2.72101621518622,2.72084175516806,2.74140991119655,2.71568583440446,2.737909871411,2.72540539003045,0.00937737485615458,0.00344072661280302,2.72101621518622,0.00344072661280302,2.74140991119655
"1019",28483,2.41157782315846,2.43547663476276,2.41042925983322,2.42086705018235,2.42388092001693,2.40142181396254,2.4297375809471,2.43618642585712,2.42023498769935,2.42022829206677,2.42100407884866,0.0105350231332533,0.00435150986538747,2.42023498769935,0.00435150986538747,2.43618642585712
"102",22970,3.04088096325568,2.41437581554389,2.36894924451702,2.38830697326956,2.36772800731894,3.05128029215862,2.36491450783615,2.37673601777791,2.39058439197315,2.36175002592328,2.51255062395742,0.267187376045469,0.106341091597443,2.37673601777791,0.106341091597443,3.05128029215862
"1020",28261,3.0217144846318,2.3141198415963,3.00706665935601,2.30295491216613,2.99102144976772,2.33191802180489,3.00336799162937,2.29783903277492,2.29775646092548,2.99404729400562,2.65618061486582,0.347468579995095,0.1308151177862,2.33191802180489,0.1308151177862,3.0217144846318
"1021",26196,2.96955770388451,2.9508271276866,2.97226837407291,2.98147576202575,2.96300325987855,2.28122327481064,2.32992852416854,2.93687608123347,2.97250714047486,2.95323430839769,2.83109015566335,0.263264805590869,0.092990611784026,2.9508271276866,0.092990611784026,2.98147576202575
"1022",28266,2.9133052776831,2.91878424741003,2.93265174323998,2.24695758302842,2.93838127080577,2.94606489885201,2.94428516564495,2.93825367249249,2.93528768283098,2.93819571846146,2.86521672604492,0.206321448539403,0.0720090200032457,2.93265174323998,0.0720090200032457,2.94606489885201
"1023",32069,2.93743746930578,2.95913661427585,2.93250426850991,2.94800447472997,2.93762269666316,2.93687521262151,2.94405709137015,2.94652285494579,2.93958395702847,2.97789596877039,2.9459640608221,0.0128375815324583,0.00435768436661642,2.93958395702847,0.00435768436661642,2.97789596877039
"1024",27585,2.39654184491072,2.40882984839242,2.41643943073225,2.41472030192087,2.40501788726981,2.38360086446584,2.42038371055501,2.40208271231116,2.40226206912308,2.38914273200355,2.40390214016847,0.0112318371707335,0.00467233544288387,2.40226206912308,0.00467233544288387,2.42038371055501
"103",26887,3.07091058595279,2.41593223478921,2.38064753890225,3.07301018923448,3.0702384644104,2.42216505229659,2.40311025776794,3.07692027083166,3.07465914841658,3.073312187995,2.80609059305969,0.327269349286894,0.116628219379777,2.80609059305969,0.116628219379777,3.07692027083166
"104",26295,3.05175817974583,3.01184343628001,3.01383912420568,3.04237018707569,3.01066296339194,3.01253301818164,3.02417312149377,3.03996555855795,3.03814098419658,3.04682409941788,3.0292110672547,0.0154034338118653,0.0050849655140819,3.02417312149377,0.0050849655140819,3.05175817974583
"105",28494,2.4806877617399,2.48914561590098,2.50980857060831,2.52382820348962,2.50804305248063,2.50607691800686,2.53059076179102,2.50235488300309,2.52886471588778,2.48395496240533,2.50633554453135,0.0169910422161083,0.00677923682372917,2.50607691800686,0.00677923682372917,2.53059076179102
"106",26813,2.53794448732912,2.5270294428647,2.54902764531445,2.51298730107218,2.55682244086484,2.53425308701745,2.52176024238732,2.52153767527654,2.54040348946686,2.50874738761742,2.53105131992109,0.0146605331363194,0.00579227020050169,2.5270294428647,0.00579227020050169,2.55682244086484
"107",27934,3.07105764612296,2.39173637030626,3.06777918499072,3.06349368003052,2.41248769422942,3.06677573517964,2.39753588279211,2.38852069424143,3.06781605882299,2.38179995548408,2.73090029022001,0.336568378576227,0.123244477208324,2.41248769422942,0.123244477208324,3.07105764612296
"108",31280,2.96688250250979,2.95992507137943,2.96644753734649,2.97526287689637,2.9742566501976,2.96896821150158,2.98449581917787,2.29241958388219,2.98421394249906,2.27083107334776,2.83437032687381,0.276510617411723,0.0975562772408437,2.96644753734649,0.0975562772408437,2.98449581917787
"109",33683,2.96797266973773,2.94116628085155,2.94819003918228,2.98024437578897,2.96595508993108,2.29439697105367,2.30965911984162,2.28046123925733,2.9722456810326,2.98593372081012,2.7646225187487,0.307871001904817,0.111360954277463,2.94116628085155,0.111360954277463,2.98593372081012
"11",28111,2.30070536732821,2.28915746757475,2.98154720050435,2.32412862681067,2.96965442700119,2.98067537747747,2.96516891683765,2.9595932709219,2.28975544870174,2.95539765949619,2.70157837626541,0.32733391931529,0.121163954446433,2.70157837626541,0.121163954446433,2.98154720050435
"110",29719,2.6196791235115,2.61892706875949,2.63744296566473,2.6130518219919,2.5904250139023,2.59455773812333,2.60826436990191,2.6301119280844,2.59327474895669,2.61573854231087,2.61214733212071,0.0149382331759295,0.005718755979894,2.61214733212071,0.005718755979894,2.63744296566473
"1100",24763,3.05100813511194,2.39335956818883,2.40004082701552,2.38328700281706,2.36689352908145,2.34617733002233,2.36292739397723,2.39943074612396,2.37929711368143,2.37450873271661,2.44569303787364,0.202411094249838,0.0827622645668654,2.37929711368143,0.0827622645668654,3.05100813511194
"1101",27931,3.01256899059624,3.01252920571864,3.02836187674976,3.01600492661511,2.3340023330328,3.00640676390226,3.01456044861461,2.30992236479846,2.33780449231194,2.32948389464275,2.74016452969826,0.33679943946277,0.12291212290813,2.74016452969826,0.12291212290813,3.02836187674976
"1102",31659,2.97672521773371,2.29208612908155,2.29363088713597,2.93758576763171,2.97209609311986,2.96094223798371,2.96665818335545,2.9643904039178,2.97320840882731,2.95490395667863,2.82922272854657,0.268388367674894,0.0948629335424472,2.95490395667863,0.0948629335424472,2.97672521773371
"1103",34637,3.09159625470238,2.41427598464153,2.43202990270823,2.40534125544155,2.43082040210889,3.07062860136358,2.41769295169889,2.40570117149671,3.08575355950486,2.41203032735977,2.61658704110264,0.305271190647974,0.116667699508032,2.41769295169889,0.116667699508032,3.09159625470238
"1104",36240,3.07097880989654,2.40830671621417,2.40482351311904,2.43419560432497,3.08749611325904,2.41835529321113,2.41489205482463,2.41324838515144,2.41375358295272,2.40521821004477,2.54712682829985,0.266197791265059,0.104509044586029,2.41375358295272,0.104509044586029,3.08749611325904
"1105",31368,2.4545781438069,2.45213147961627,2.43856078503879,2.47881445026143,2.42310804408091,2.42344691582496,2.43095698746921,2.42244842282033,2.41178330450818,2.42771746962736,2.43635460030543,0.0190569088218471,0.00782189457128203,2.42771746962736,0.00782189457128203,2.47881445026143
"1106",25140,3.0303682289143,2.99926164816212,2.32478642215905,2.97809708880985,2.98593868545189,3.02707972539303,3.02959151771971,2.99007458355849,2.98588362175899,2.33451130715714,2.86855928290846,0.270097934638129,0.0941580452066775,2.98588362175899,0.0941580452066775,3.0303682289143
"1107",32011,2.37647893188893,2.38947592120023,2.38094150979342,3.06467949633901,2.38876948967144,2.386318632678,2.3766744651053,2.38442649956193,3.05921383838517,2.37980099474242,2.51867797793659,0.271671167868602,0.107862605004855,2.38442649956193,0.107862605004855,3.06467949633901
"1108",27759,2.53363809652062,2.55709679689511,2.5425248513474,2.52152203501255,2.53333500728558,2.51201211099619,2.5175095425192,3.18020525124536,2.51339999488768,2.52446748373649,2.59357111704462,0.195991603473805,0.0755682395542476,2.52446748373649,0.0755682395542476,3.18020525124536
"1109",23845,2.43726090727746,3.11047942929821,2.46213122499693,2.46470474225417,2.43131353878161,2.41488604116834,2.45551638511722,2.43082756877722,2.44358023621865,2.45363002958673,2.51043301034765,0.200567157511053,0.0798934513226774,2.44358023621865,0.0798934513226774,3.11047942929821
"111",24795,2.4566025792961,2.46468591359607,2.46210758795476,2.42039336514676,2.43257061449131,2.47439634228708,2.45739094693934,2.49392779318715,2.49515215438817,2.44213749437054,2.45993647916573,0.0229757667785812,0.00933998376509841,2.45739094693934,0.00933998376509841,2.49515215438817
