"quad_id","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points"
"sub50_54",156070,FALSE,"all_pixels",8.42219816262703,7.41647089691287,5.17502742529819,195.428318295304,"squared_euclidean_pc1_pc3",829.680114206154,"sampled_pixels",10000,1,3587.36719508638,96723.273563154,11977.6889392024,"sampled_pixels",10000
"sub50_55",175675,FALSE,"all_pixels",7.25075757133681,6.67586842929893,3.88016508882927,135.258161545937,"squared_euclidean_pc1_pc3",674.457939700864,"sampled_pixels",10000,1,1856.06333668873,32193.1175098617,5493.63705074631,"sampled_pixels",10000
"sub50_56",145500,FALSE,"all_pixels",6.99036642874515,6.2849886852638,4.05585390087945,130.630121230649,"squared_euclidean_pc1_pc3",646.457403851166,"sampled_pixels",10000,1,2816.87474408587,41630.8030476386,7139.53654672487,"sampled_pixels",10000
"sub50_57",194198,FALSE,"all_pixels",6.67309803741661,5.58132386223818,5.38724397962046,147.104971330942,"squared_euclidean_pc1_pc3",605.091410040095,"sampled_pixels",10000,1,3918.88360885603,62926.2851498364,9713.70020050139,"sampled_pixels",10000
"sub50_58",189724,FALSE,"all_pixels",6.73781353480676,5.69308036119126,5.29538074686151,146.878081369694,"squared_euclidean_pc1_pc3",597.640035907504,"sampled_pixels",10000,1,5414.92306063334,131620.930267118,15329.5866040347,"sampled_pixels",10000
"sub50_59",182287,FALSE,"all_pixels",6.28110067198998,5.38072837071249,4.62498367781929,121.68516465347,"squared_euclidean_pc1_pc3",545.558707614117,"sampled_pixels",10000,1,3062.42790665709,94375.992673555,12659.8287053936,"sampled_pixels",10000
"sub50_6",154062,FALSE,"all_pixels",7.28888452577612,6.50147178619157,4.35264304235883,144.14643222213,"squared_euclidean_pc1_pc3",684.408272787508,"sampled_pixels",10000,1,2893.67499638642,51832.8142503484,8251.74676955889,"sampled_pixels",10000
"sub50_60",164492,FALSE,"all_pixels",7.66473132617642,6.6767471862252,5.87185874816047,186.453243707024,"squared_euclidean_pc1_pc3",720.458029029841,"sampled_pixels",10000,1,5481.31576306734,93724.14399225,14660.0095983344,"sampled_pixels",10000
"sub50_61",121379,FALSE,"all_pixels",7.22922088980328,6.05550234345948,5.50436399114525,165.118816011106,"squared_euclidean_pc1_pc3",712.615146002433,"sampled_pixels",10000,1,2717.4609442541,44578.7533808771,7411.43355376077,"sampled_pixels",10000
"sub50_62",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_63",184856,FALSE,"all_pixels",8.13496227546765,6.92456510421542,5.89986360368983,201.971626930789,"squared_euclidean_pc1_pc3",824.57125304214,"sampled_pixels",10000,1,3839.8462269118,51681.7830235815,9349.14961860686,"sampled_pixels",10000
"sub50_64",159846,FALSE,"all_pixels",6.86159390882677,6.2736775510685,3.69698236919462,121.498128204988,"squared_euclidean_pc1_pc3",646.851075711711,"sampled_pixels",10000,1,2065.70665091569,21703.0724298774,4389.41655922484,"sampled_pixels",10000
"sub50_65",190561,FALSE,"all_pixels",5.90912655417417,5.25863084669316,3.3732421101687,92.5929585102923,"squared_euclidean_pc1_pc3",522.595579859749,"sampled_pixels",10000,1,1678.21745969487,31632.808836616,5910.0668344447,"sampled_pixels",10000
"sub50_66",194951,FALSE,"all_pixels",6.55127513135391,5.78254463613997,4.05368119888723,118.702905638724,"squared_euclidean_pc1_pc3",596.219950647979,"sampled_pixels",10000,1,2833.9578792955,72532.0749606784,10829.4892292595,"sampled_pixels",10000
"sub50_67",194915,FALSE,"all_pixels",6.40572372575606,5.4076994146339,4.98269602079073,131.720857423031,"squared_euclidean_pc1_pc3",597.081632268104,"sampled_pixels",10000,1,4601.3865744253,60540.0727928928,10603.6988356165,"sampled_pixels",10000
"sub50_68",180561,FALSE,"all_pixels",6.21013916625151,5.61692814700491,3.42853271701453,100.641199908206,"squared_euclidean_pc1_pc3",548.621411955938,"sampled_pixels",10000,1,1727.23003968803,33618.8400903459,5814.61264611998,"sampled_pixels",10000
"sub50_69",150307,FALSE,"all_pixels",6.33193516207316,5.63053997182206,3.68672055412263,107.370441826482,"squared_euclidean_pc1_pc3",561.041750779612,"sampled_pixels",10000,1,1878.64578315433,37228.4618747814,6250.62107490624,"sampled_pixels",10000
"sub50_7",186194,FALSE,"all_pixels",7.73718189793407,6.76026275133358,5.00832361855438,169.894308947835,"squared_euclidean_pc1_pc3",794.030085049946,"sampled_pixels",10000,1,3176.63971605295,61470.8332121127,9536.25938405081,"sampled_pixels",10000
"sub50_70",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_71",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_72",185114,FALSE,"all_pixels",9.66307109129502,8.10978570754004,7.48315687964032,298.744554594417,"squared_euclidean_pc1_pc3",933.050031498928,"sampled_pixels",10000,1,4897.96050467255,101598.603114969,14071.3189384843,"sampled_pixels",10000
"sub50_73",165703,FALSE,"all_pixels",6.71454059408471,5.74921834654843,4.80880905030537,136.419120634276,"squared_euclidean_pc1_pc3",618.897168616718,"sampled_pixels",10000,1,3541.39272774849,79659.6901793356,10917.735099582,"sampled_pixels",10000
"sub50_74",185454,FALSE,"all_pixels",6.28333160200063,5.50214403135577,4.3896376974374,117.498142468247,"squared_euclidean_pc1_pc3",563.821236755789,"sampled_pixels",10000,1,2975.0760263466,55616.7142899994,8462.31078171565,"sampled_pixels",10000
"sub50_75",206301,FALSE,"all_pixels",5.97991755408378,5.2120834809414,3.98902327802382,103.3432870695,"squared_euclidean_pc1_pc3",553.847747140712,"sampled_pixels",10000,1,2342.00765105829,39765.2929752411,7444.00292404485,"sampled_pixels",10000
"sub50_76",196683,FALSE,"all_pixels",6.42441319619527,5.55675272807954,4.1512440025892,117.011648134429,"squared_euclidean_pc1_pc3",613.212122233718,"sampled_pixels",10000,1,2312.98403695126,47532.3845871768,7659.02700260989,"sampled_pixels",10000
"sub50_77",182980,FALSE,"all_pixels",6.43330737142061,5.77313913970324,3.83702453380606,112.22024109437,"squared_euclidean_pc1_pc3",531.434870992553,"sampled_pixels",10000,1,2543.8752187215,38106.524322724,6596.10337928208,"sampled_pixels",10000
"sub50_78",128427,FALSE,"all_pixels",6.72146914034041,6.04256788614655,3.70691012613307,117.838446183437,"squared_euclidean_pc1_pc3",649.62458917644,"sampled_pixels",10000,1,2146.31384925489,38269.4539886987,6311.42150767164,"sampled_pixels",10000
"sub50_79",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_8",187893,FALSE,"all_pixels",7.03962257122666,6.29011063011126,4.66931206984916,142.717290228616,"squared_euclidean_pc1_pc3",658.851850401153,"sampled_pixels",10000,1,4654.34459428721,56347.699426433,10452.1377359843,"sampled_pixels",10000
"sub50_80",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA
"sub50_9",167680,FALSE,"all_pixels",7.21629390597637,6.56775359628494,3.80575254539032,133.117127593672,"squared_euclidean_pc1_pc3",656.109770240299,"sampled_pixels",10000,1,1552.9298053375,30067.0302166943,5570.33459509,"sampled_pixels",10000
