"source","scale","quad_id","metric_id","metric_label","sample_rule","n_boot","metric_value","metric_sd","metric_cv","metric_se"
"sample_size_fixed4000","10m","614_a","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,102.735046275775,1.21186795600551,0.0117960520770338,0.171384009918836
"sample_size_fixed4000","10m","700_c","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,129.972408969841,1.76395598584044,0.0135717726540696,0.249461047860475
"sample_size_fixed4000","10m","722_a","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,179.46243847452,2.10079261126477,0.0117060295687615,0.297096940258383
"sample_size_fixed4000","10m","800_a","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,298.364368949067,0,0,0
"sample_size_fixed4000","10m","914_a","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,124.102883947279,1.6386545930087,0.0132040009135068,0.231740754947786
"sample_size_fixed4000","20m","100","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,192.923793327459,2.73084743403876,0.0141550577403563,0.386200147798938
"sample_size_fixed4000","20m","1201","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,164.971219396712,2.59916964140309,0.015755291443611,0.367578095778066
"sample_size_fixed4000","20m","1402","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,125.812111773363,2.04406959594983,0.0162470017165915,0.289075094502674
"sample_size_fixed4000","20m","1512","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,248.44265107982,4.0630160826232,0.0163539394905178,0.574597244818574
"sample_size_fixed4000","20m","1518","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,277.841135867622,7.19443505172154,0.0258940600327423,1.0174467623757
"sample_size_fixed4000","20m","1800","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,176.649801066057,2.86075303925007,0.0161944877491275,0.404571574670751
"sample_size_fixed4000","20m","1805","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,180.15833891227,3.46725621486832,0.019245604926213,0.490344076328918
"sample_size_fixed4000","20m","1910","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,111.859368074024,1.98788003440051,0.0177712432014188,0.281128690501989
"sample_size_fixed4000","20m","206","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,179.864136235133,3.20179824739207,0.0178012043668696,0.452802650544427
"sample_size_fixed4000","20m","219","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,211.73978504197,3.571615397784,0.0168679466500642,0.505102693512671
"sample_size_fixed4000","20m","302","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,130.884196004255,1.7762261993124,0.013570975362485,0.251196318091001
"sample_size_fixed4000","20m","317","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,153.001804082767,2.52881084194872,0.0165279805496983,0.357627858936
"sample_size_fixed4000","20m","405","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,199.255465182778,5.25197129270515,0.0263579786275247,0.742740903133778
"sample_size_fixed4000","20m","821","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,172.617216525364,2.82325639388134,0.0163555898461987,0.399268748228355
"sample_size_fixed4000","20m","905","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,483.40397704884,26.4682264514389,0.0547538450408005,3.74317248195871
"sample_size_fixed4000","20m","912","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,211.254128480268,2.91583495608336,0.0138024992792305,0.412361334053465
"sample_size_fixed4000","50m","sub50_15","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,141.506524408491,2.47876400218794,0.0175169591123052,0.35055016698164
"sample_size_fixed4000","50m","sub50_24","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,159.300585016776,2.78032406079852,0.0174533198387546,0.39319719945735
"sample_size_fixed4000","50m","sub50_36","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,214.175448037523,3.82929852026448,0.0178792599961953,0.541544590173325
"sample_size_fixed4000","50m","sub50_49","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,214.312461929155,8.19463308427643,0.0382368482472349,1.1588961246455
"sample_size_fixed4000","50m","sub50_51","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,192.927401274226,3.7311631228776,0.0193397262298379,0.527666149179985
"sample_size_fixed4000","50m","sub50_56","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,170.572799024708,2.72370856220855,0.0159680123547367,0.385190558862706
"sample_size_fixed4000","50m","sub50_60","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,229.694999241662,4.4664818126237,0.0194452723279557,0.631655915550521
"sample_size_fixed4000","50m","sub50_8","spectral_rao_q","Raw PCA Rao's Q","fixed_4000",50,193.171278215299,3.29391373912793,0.0170517779328286,0.465829748316179
"sample_size_fixed4000","10m","1104_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,425.789023483157,9.87046291858623,0.0231815814269732,1.39589425263654
"sample_size_fixed4000","10m","1110_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,334.151483855179,5.59028370620847,0.0167297886626513,0.790585503483335
"sample_size_fixed4000","10m","1124_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,346.758339260144,6.06525204813187,0.0174912939687994,0.857756170567928
"sample_size_fixed4000","10m","112_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,465.547189228191,12.1883289886834,0.0261806520814569,1.72369001584613
"sample_size_fixed4000","10m","114_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,578.548034862892,13.3720515046823,0.0231131223319276,1.89109365946733
"sample_size_fixed4000","10m","11_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,389.542980861393,7.10263867245275,0.0182332605679269,1.00446479392183
"sample_size_fixed4000","10m","120_d","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,579.13787208531,9.87429441724985,0.0170499891186452,1.39643610837397
"sample_size_fixed4000","10m","1305_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,379.565374184406,9.05490438860266,0.0238559810890534,1.28055685923535
"sample_size_fixed4000","10m","1315_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,582.011227632079,13.4426745235213,0.0230969333327349,1.90108126257312
"sample_size_fixed4000","10m","1400_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,460.486263240453,10.8546222972326,0.0235720870821387,1.53507540671837
"sample_size_fixed4000","10m","1414_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,621.165525826951,9.59996002514576,0.015454753404683,1.35763936658007
"sample_size_fixed4000","10m","1417_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",49,690.852011028302,12.5939493235477,0.0182295905961136,1.79913561764967
"sample_size_fixed4000","10m","1514_a","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,404.87769329074,7.6664525120758,0.0189352306613014,1.08420011178669
"sample_size_fixed4000","10m","1516_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,586.725282123226,9.31754015660085,0.0158805840492893,1.31769916574208
"sample_size_fixed4000","10m","1604_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,453.954684564642,8.0644285587639,0.0177648316736679,1.14048242405928
"sample_size_fixed4000","10m","1606_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,478.427412192871,8.75414980078071,0.018297759655234,1.23802373753098
"sample_size_fixed4000","10m","1701_b","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,487.989351411467,8.06815934707077,0.0165334741910542,1.14101003720147
"sample_size_fixed4000","10m","1803_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,384.133292345438,6.01897306810239,0.0156689700893973,0.851211334446879
"sample_size_fixed4000","10m","1816_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",49,453.013526994153,9.82978984689139,0.0216986673932548,1.40425569241306
"sample_size_fixed4000","10m","1912_c","alpha_hull_area","Raw PCA alpha hull","fixed_4000",50,403.557450057814,5.37389952107968,0.0133163184580282,0.759984158554116
