"source","scale","metric_id","metric_label","statistic","statistic_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"sample_size_fixed4000","10m","pca_mean_distance","Raw PCA mean distance","metric_sd","Bootstrap SD",32,0.250009380115735,0.0625046901458538,2.00016009111272,0.167577638796911,0.00483838957976613,0.00973601742523623
"sample_size_fixed4000","10m","pca_mean_distance","Raw PCA mean distance","metric_cv","Bootstrap CV",32,-0.0487802095253657,0.00237950884133861,0.0715555322618221,0.790915758077536,-0.000108415633644952,0.00695010650496325
"sample_size_fixed4000","10m","pca_mean_distance","Raw PCA mean distance","metric_se","Bootstrap SE",32,0.250009380115735,0.0625046901458538,2.00016009111272,0.167577638796911,0.000684251616374991,0.00137688078862699
"sample_size_fixed4000","10m","spectral_rao_q","Raw PCA Rao's Q","metric_sd","Bootstrap SD",32,0.495723263769997,0.245741554242778,9.77416516679789,0.00391225485501839,0.0177887248395864,-0.795188185505719
"sample_size_fixed4000","10m","spectral_rao_q","Raw PCA Rao's Q","metric_cv","Bootstrap CV",32,0.178823523527856,0.0319778525669177,0.991026475532006,0.327453880295876,2.32171572430678e-05,0.00878223277158022
"sample_size_fixed4000","10m","spectral_rao_q","Raw PCA Rao's Q","metric_se","Bootstrap SE",32,0.495723263769997,0.245741554242778,9.77416516679789,0.0039122548550184,0.00251570559254662,-0.112456591658104
"sample_size_fixed4000","10m","alpha_hull_area","Raw PCA alpha hull","metric_sd","Bootstrap SD",32,0.492836675753352,0.242887988967615,9.62425580739698,0.00416005310598957,0.0150902889797172,1.2496224111161
"sample_size_fixed4000","10m","alpha_hull_area","Raw PCA alpha hull","metric_cv","Bootstrap CV",32,-0.0952188901322494,0.00906663703801741,0.274487792324899,0.604186519886497,-4.93168378323297e-06,0.0201518009003564
"sample_size_fixed4000","10m","alpha_hull_area","Raw PCA alpha hull","metric_se","Bootstrap SE",32,0.494524438584958,0.244554420357768,9.71166263784023,0.00401357915535368,0.00214709258643779,0.171540750644462
"sample_size_fixed4000","10m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_sd","Bootstrap SD",32,0.480031036231196,0.230429795745196,8.98279823482749,0.00542898655132826,0.0121550964217719,-0.034412408597601
"sample_size_fixed4000","10m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_cv","Bootstrap CV",32,0.269899684450495,0.0728458396664765,2.35707855661043,0.135195952084384,0.000621795153567704,0.00269491527505776
"sample_size_fixed4000","10m","standardized_PCA_pca_mean_distance","Std PCA mean distance","metric_se","Bootstrap SE",32,0.480031036231196,0.230429795745196,8.9827982348275,0.00542898655132823,0.00171899022116225,-0.00486664949526518
"sample_size_fixed4000","10m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_sd","Bootstrap SD",32,0.628730696152356,0.395302288284227,19.6115652809034,0.000116289628201244,0.0226577265545789,-0.625525100520797
"sample_size_fixed4000","10m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_cv","Bootstrap CV",32,0.273672288308314,0.0748965213879087,2.42880466194789,0.129611832037736,2.08527053312793e-05,0.013790170255011
"sample_size_fixed4000","10m","standardized_PCA_spectral_rao_q","Std PCA Rao's Q","metric_se","Bootstrap SE",32,0.628730696152356,0.395302288284227,19.6115652809034,0.000116289628201244,0.00320428641860265,-0.0884626080761306
"sample_size_fixed4000","10m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_sd","Bootstrap SD",32,0.370851639765592,0.137530938716828,4.78385642653237,0.0366577985748155,0.0122795086591856,4.59806703137908
"sample_size_fixed4000","10m","standardized_PCA_alpha_hull_area","Std PCA alpha hull","metric_cv","Bootstrap CV",32,-0.312749187557206,0.0978120543176927,3.25249483056613,0.0813669826682486,-1.88671541108741e-05,0.0313101804871521
