"scale","sv_measure","sv_label","diversity_measure","diversity_label","n_edge","n_non_edge_available","edge_r","resample_reps","resampled_non_edge_mean_r","resampled_non_edge_sd_r","resampled_non_edge_q025_r","resampled_non_edge_median_r","resampled_non_edge_q975_r","edge_r_percentile_in_resampled_non_edge","abs_edge_r_tail_probability","same_direction_tail_probability"
"20m","spec_sa","SA entropy","phy_faith","Faith's PD",80,405,0.328611085270475,2000,0.147135384390146,0.100652329157137,-0.0472942947521705,0.148489027307284,0.340204787792346,0.967,0.033,0.033
"20m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",80,405,0.334031258986549,2000,0.182353138173555,0.10396565307835,-0.0175961934806528,0.182903421984938,0.381976306095532,0.9265,0.0735,0.0735
"20m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",80,405,0.250268200507071,2000,0.166209715591955,0.103786772203283,-0.0431043396546555,0.170166694414814,0.357395296896166,0.7795,0.2205,0.2205
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity",80,405,0.325960974930794,2000,-0.0639181508997362,0.115788297521265,-0.29159446741908,-0.0659852268829726,0.163998881002921,0.9995,0.011,5e-04
"20m","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",76,360,0.265171297344943,2000,0.228968788703469,0.112188393217396,0.00710927866755155,0.229493834432649,0.44607339943804,0.611,0.389,0.389
"20m","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",76,360,0.381821078780684,2000,0.256525018331217,0.108489555189394,0.046399367805252,0.255200648135817,0.468908020412016,0.872,0.128,0.128
"20m","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",76,360,0.280702528214504,2000,0.299439404048057,0.107877068570719,0.085005326600801,0.299437738238145,0.512717951168937,0.4265,0.5735,0.5735
"20m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",76,360,0.199850057369007,2000,-0.0737831889383002,0.101577557440976,-0.272520440227172,-0.0725409061652632,0.122987342901639,0.997,0.115,0.003
"20m","spec_spca_med","Std PCA median distance","phy_faith","Faith's PD",76,360,0.302022009618584,2000,0.283095269947157,0.100004774828696,0.0814730453425009,0.28724383607593,0.466993603839145,0.5535,0.4465,0.4465
"20m","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q",76,360,0.406802348861065,2000,0.330181207779007,0.115453058508743,0.0934156491908803,0.33569710698236,0.544248038295979,0.731,0.269,0.269
"20m","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD",76,360,0.30134048000788,2000,0.375645667601663,0.11356711007724,0.148250178323476,0.382685565280656,0.583798092720871,0.251,0.749,0.749
"20m","spec_spca_med","Std PCA median distance","sp_shannon","Shannon diversity",76,360,0.270748488674566,2000,-0.0585242372381196,0.109353945011454,-0.270437567131666,-0.060330539729567,0.153582729979901,0.998,0.027,0.002
"20m","spec_spca_sd","Std PCA distance SD","phy_faith","Faith's PD",76,360,0.109125164786431,2000,0.0513777348010365,0.108124187085068,-0.148948446022575,0.0456926584254104,0.260761613708987,0.697,0.377,0.303
"20m","spec_spca_sd","Std PCA distance SD","phy_rao","Phylogenetic Rao's Q",76,360,0.202839487364633,2000,0.0406843288599934,0.0812271048568946,-0.117729709947819,0.0411091479497385,0.198820792835369,0.976,0.025,0.024
"20m","spec_spca_sd","Std PCA distance SD","phy_afaith","Abundance-weighted Faith's PD",76,360,0.120548203589185,2000,0.0478854389414019,0.0790787737417033,-0.0958982669113745,0.0444998962538809,0.219527626171517,0.8325,0.1775,0.1675
"20m","spec_spca_sd","Std PCA distance SD","sp_shannon","Shannon diversity",76,360,0.0470524200944335,2000,-0.107483541380834,0.0956401001881633,-0.296447137840636,-0.105644118693843,0.0715149093919231,0.956,0.762,0.044
"20m","spec_spca_rao","Std PCA Rao's Q","phy_faith","Faith's PD",76,360,0.189793327483919,2000,0.11635970736954,0.120230174807097,-0.109408619111465,0.11690283250603,0.337245377321793,0.6995,0.3005,0.3005
"20m","spec_spca_rao","Std PCA Rao's Q","phy_rao","Phylogenetic Rao's Q",76,360,0.302115025569734,2000,0.118405628403594,0.0970323650935935,-0.0585953701843154,0.116033125078205,0.312507907583005,0.969,0.031,0.031
"20m","spec_spca_rao","Std PCA Rao's Q","phy_afaith","Abundance-weighted Faith's PD",76,360,0.178397285392355,2000,0.138454355704612,0.103517351656725,-0.0390502736789954,0.129328973226687,0.386116199780663,0.68,0.32,0.32
"20m","spec_spca_rao","Std PCA Rao's Q","sp_shannon","Shannon diversity",76,360,0.105019297777579,2000,-0.0970811593862987,0.0935674172126978,-0.276092572879077,-0.0961992345368139,0.0737419931062056,0.9905,0.4755,0.0095
"20m","spec_spca_alpha","Std PCA alpha-hull area","phy_faith","Faith's PD",76,360,0.261454380336837,2000,0.274214385949966,0.093528330310014,0.0902542024940387,0.274821341148038,0.446601574089194,0.4415,0.5585,0.5585
"20m","spec_spca_alpha","Std PCA alpha-hull area","phy_rao","Phylogenetic Rao's Q",76,360,0.306536355404473,2000,0.321951646748185,0.106016549383996,0.114175691122198,0.323581683471329,0.521881790706924,0.434,0.566,0.566
"20m","spec_spca_alpha","Std PCA alpha-hull area","phy_afaith","Abundance-weighted Faith's PD",76,360,0.292380392294753,2000,0.37949174588677,0.105676693149631,0.164957308828847,0.38310679449888,0.577292747114633,0.1995,0.8005,0.8005
"20m","spec_spca_alpha","Std PCA alpha-hull area","sp_shannon","Shannon diversity",76,360,0.178128591372564,2000,-0.0593136860553974,0.103279895520751,-0.261589444184151,-0.0597578391998815,0.14501292799804,0.989,0.135,0.011
"20m","spec_spca_convex","Std PCA convex-hull area","phy_faith","Faith's PD",76,360,-0.0372973954435046,2000,-0.0256331101236296,0.096269973580706,-0.207018201398792,-0.0272424783041546,0.177978147423906,0.4575,0.712,0.4575
"20m","spec_spca_convex","Std PCA convex-hull area","phy_rao","Phylogenetic Rao's Q",76,360,0.00670362946834852,2000,-0.0233271751384399,0.0737029209238973,-0.166344883811009,-0.024521556976261,0.121765901930703,0.675,0.928,0.325
"20m","spec_spca_convex","Std PCA convex-hull area","phy_afaith","Abundance-weighted Faith's PD",76,360,0.0231195593948129,2000,-0.025924359358135,0.0801019653015629,-0.186074804902364,-0.0268883134733606,0.131066084164291,0.7385,0.779,0.2615
"20m","spec_spca_convex","Std PCA convex-hull area","sp_shannon","Shannon diversity",76,360,-0.0248922243190323,2000,-0.11669920132479,0.0923774132998546,-0.291138926600684,-0.117569905196667,0.0647076227243666,0.844,0.9075,0.844
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_faith","Faith's PD",76,360,0.0613677965391962,2000,-0.0228103106131378,0.0963361951671939,-0.193874889266204,-0.0272440100357667,0.176961988006204,0.8105,0.5505,0.1895
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_rao","Phylogenetic Rao's Q",76,360,0.0982123025760161,2000,-0.00516856260548182,0.0774133704297954,-0.153103264688187,-0.00427962027880262,0.145136842461193,0.9065,0.2135,0.0935
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume","phy_afaith","Abundance-weighted Faith's PD",76,360,0.0987960784972851,2000,-0.0053513239435154,0.0812630191349934,-0.161635261790175,-0.0065495224028991,0.156283620292048,0.898,0.2255,0.102
"20m","spec_spca_hull3d_v","Std PCA 3D hull volume","sp_shannon","Shannon diversity",76,360,-0.00617364430735511,2000,-0.119077348318115,0.0910638099438675,-0.292223870322253,-0.118371475081122,0.0537178383616218,0.8825,0.9735,0.8825
"20m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_faith","Faith's PD",76,360,0.0159290826861029,2000,-0.0168864212501067,0.0980883360639982,-0.204246361954265,-0.0203126826335509,0.182224629459323,0.6355,0.884,0.3645
"20m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_rao","Phylogenetic Rao's Q",76,360,0.0317295498905742,2000,-0.00668997072492071,0.0797643413098105,-0.158337923209737,-0.00590103134521192,0.141100753404636,0.6815,0.6905,0.3185
"20m","spec_spca_hull3d_a","Std PCA 3D hull area","phy_afaith","Abundance-weighted Faith's PD",76,360,0.0519887195583112,2000,-0.00755575444048657,0.0788691250746519,-0.159861206122725,-0.00985208662289625,0.148092955374455,0.772,0.514,0.228
"20m","spec_spca_hull3d_a","Std PCA 3D hull area","sp_shannon","Shannon diversity",76,360,-0.0375503382460032,2000,-0.119100106590999,0.0959023609399374,-0.300657272885971,-0.11860130753653,0.0715815451763498,0.801,0.8555,0.801
