"scale","edge_group","env_measure","env_label","variable","variable_label","n","pearson_r","r_squared","p_value"
"20m","all_quads","env_elev","Elevation","sp_shannon","Shannon diversity",500,-0.0110475936932188,0.000122049326410447,0.805356402544271
"20m","all_quads","env_elev","Elevation","spec_sa","SA entropy",485,-0.288207264107032,0.0830634270840603,9.89914024690004e-11
"20m","all_quads","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",436,-0.295896993130044,0.0875550305434013,2.92973669240787e-10
"20m","all_quads","env_tri5","TRI 5x5","phy_faith","Faith's PD",500,-0.0945648739194799,0.00894251537940714,0.0345168309866267
"20m","all_quads","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",500,-0.139230078554317,0.0193850147742412,0.00180421924557982
"20m","all_quads","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",500,-0.226801381436756,0.0514388666216209,2.96461028449629e-07
"20m","all_quads","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",500,0.126723563552355,0.0160588615594079,0.00453997092605352
"20m","all_quads","env_tri5","TRI 5x5","spec_sa","SA entropy",485,-0.113122250828084,0.012796643632412,0.0126726974721518
"20m","all_quads","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",436,-0.12462000006131,0.0155301444152808,0.00919189509915652
"20m","all_quads","env_tri11","TRI 11x11","phy_faith","Faith's PD",500,-0.0912540175480847,0.00832729571866615,0.0413849989177616
"20m","all_quads","env_tri11","TRI 11x11","phy_rao","Phylogenetic Rao's Q",500,-0.145764449183649,0.0212472746458126,0.00108039409049065
"20m","all_quads","env_tri11","TRI 11x11","phy_afaith","Abundance-weighted Faith's PD",500,-0.234887856629354,0.0551723051919319,1.07465275541729e-07
"20m","all_quads","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",500,0.155205688584364,0.0240888057689466,0.000495927866560443
"20m","all_quads","env_tri11","TRI 11x11","spec_sa","SA entropy",485,-0.114995954616938,0.013224069578261,0.0112639719667603
"20m","all_quads","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",436,-0.142127834964404,0.0202003214716688,0.00293648644731686
"20m","all_quads","env_tri21","TRI 21x21","phy_faith","Faith's PD",500,-0.0842604438178892,0.00709982239238766,0.0597336614597784
"20m","all_quads","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",500,-0.144344323217792,0.0208352836452023,0.00120995171942075
"20m","all_quads","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",500,-0.236331813204918,0.0558527259327244,8.93032193170345e-08
"20m","all_quads","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",500,0.203829997256334,0.0415466677815171,4.3338708876894e-06
"20m","all_quads","env_tri21","TRI 21x21","spec_sa","SA entropy",485,-0.131766749357453,0.0173624762362298,0.00364844546721517
"20m","all_quads","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",436,-0.166292060581467,0.0276530494124304,0.000489169553530304
"20m","non_edge","env_elev","Elevation","phy_faith","Faith's PD",414,-0.242981324434454,0.0590399240239213,5.61000321817883e-07
"20m","non_edge","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",414,-0.173983464982254,0.0302702460872311,0.000375832110756461
"20m","non_edge","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",414,-0.158780010587826,0.02521109176227,0.00118896523810779
"20m","non_edge","env_elev","Elevation","sp_shannon","Shannon diversity",414,0.0537708459026052,0.00289130386908172,0.275027985006131
"20m","non_edge","env_elev","Elevation","spec_sa","SA entropy",405,-0.294411677514274,0.0866782358567686,1.53148513438616e-09
"20m","non_edge","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",360,-0.305960245067499,0.0936116715617639,3.07116922460678e-09
"20m","non_edge","env_tri5","TRI 5x5","phy_faith","Faith's PD",414,-0.119528042929495,0.0142869530465551,0.0149572568278855
"20m","non_edge","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",414,-0.160803499600433,0.0258577654837463,0.00102575252308155
"20m","non_edge","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",414,-0.256947575898138,0.0660220567599293,1.14809142301799e-07
"20m","non_edge","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",414,0.152993094403569,0.0234068869351793,0.00179666238394287
"20m","non_edge","env_tri5","TRI 5x5","spec_sa","SA entropy",405,-0.110635682045383,0.012240254141647,0.0259835555717151
"20m","non_edge","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",360,-0.121555179678835,0.0147756617067539,0.0210611286483799
"20m","non_edge","env_tri11","TRI 11x11","phy_faith","Faith's PD",414,-0.111939370061366,0.0125304225697354,0.0227321638390138
"20m","non_edge","env_tri11","TRI 11x11","phy_rao","Phylogenetic Rao's Q",414,-0.164612675756931,0.0270973330198565,0.000773214121623373
"20m","non_edge","env_tri11","TRI 11x11","phy_afaith","Abundance-weighted Faith's PD",414,-0.262575481095274,0.0689458832724145,5.89712843805178e-08
"20m","non_edge","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",414,0.186087637976114,0.0346286090075292,0.000139988062317579
"20m","non_edge","env_tri11","TRI 11x11","spec_sa","SA entropy",405,-0.110869571236065,0.0122920618260689,0.0256683144433731
"20m","non_edge","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",360,-0.139947672649823,0.019585351080102,0.00783301146634902
"20m","non_edge","env_tri21","TRI 21x21","phy_faith","Faith's PD",414,-0.0931610057572391,0.00867897299370033,0.058233578298937
"20m","non_edge","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",414,-0.154238331581995,0.0237894629291975,0.00164587105328116
"20m","non_edge","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",414,-0.257237838554402,0.0661713055841407,1.10973568712899e-07
"20m","non_edge","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",414,0.248956656166402,0.0619794166495563,2.87879925370513e-07
"20m","non_edge","env_tri21","TRI 21x21","spec_sa","SA entropy",405,-0.124819442766332,0.0155798932924976,0.0119364400941244
