"scale","bootstrap_subset","diversity_measure","diversity_label","n","mean_boot_sd","mean_boot_cv","pearson_r","r_squared","f_p_value"
"10m","boot_cv_gt_10pct","phy_afaith","Abundance-weighted Faith's PD",103,0.323688175561271,0.112398396044385,0.139910697193274,0.019575003189108,0.158671829976965
"10m","low_boot_sd","phy_afaith","Abundance-weighted Faith's PD",528,0.00818907063753795,0.0028524687541071,0.141519102708726,0.020027656431483,0.00111185024907026
"10m","mid_boot_sd","phy_afaith","Abundance-weighted Faith's PD",514,0.0104368079701222,0.00368574968818107,0.126821063332639,0.0160835821048211,0.00397840971366671
"10m","high_boot_sd","phy_afaith","Abundance-weighted Faith's PD",512,0.183905455943282,0.0648591010158925,0.00926116297738882,8.57691396937574e-05,0.834410383375707
"10m","non_edge_all_bootstrap","sp_shannon","Shannon diversity",1554,0.0668262175265271,0.0235575537722205,-0.0411521111738519,0.00169349625406507,0.104882387136073
"10m","boot_cv_le_5pct","sp_shannon","Shannon diversity",1254,0.0241305140557515,0.00855402957958322,-0.041250271519116,0.0017015849004008,0.144313828231348
"10m","boot_cv_le_10pct","sp_shannon","Shannon diversity",1451,0.0485927360120001,0.0172511397446306,-0.0472098034770325,0.00222876554434003,0.0722137583076599
"10m","boot_cv_gt_5pct","sp_shannon","Shannon diversity",300,0.245294258034369,0.0862722848974441,-0.0417923282772629,0.00174659870283451,0.470812555951181
"10m","boot_cv_gt_10pct","sp_shannon","Shannon diversity",103,0.323688175561271,0.112398396044385,0.00125901863982483,1.58512793542635e-06,0.989929603256118
"10m","low_boot_sd","sp_shannon","Shannon diversity",528,0.00818907063753795,0.0028524687541071,-0.00801040960571218,6.4166662051286e-05,0.854302228533617
"10m","mid_boot_sd","sp_shannon","Shannon diversity",514,0.0104368079701222,0.00368574968818107,-0.0838953846951758,0.00703843557315154,0.0573332992493672
"10m","high_boot_sd","sp_shannon","Shannon diversity",512,0.183905455943282,0.0648591010158925,-0.0689128203034688,0.00474897680217819,0.119385098467634
"20m","non_edge_all_bootstrap","phy_faith","Faith's PD",398,0.0521121401559918,0.0184671939473606,0.146388569122334,0.0214296131696843,0.0034220369166177
"20m","boot_cv_le_5pct","phy_faith","Faith's PD",349,0.0264789221250944,0.00931114796595389,0.149060944102261,0.0222191650566574,0.00526587502486846
"20m","boot_cv_le_10pct","phy_faith","Faith's PD",388,0.0452616293944176,0.0159827506694365,0.141479042462779,0.0200163194561847,0.00524029914710654
"20m","boot_cv_gt_5pct","phy_faith","Faith's PD",49,0.234683427763812,0.0836806643047265,0.036610238119609,0.00134030953517447,0.802788717505579
"20m","boot_cv_gt_10pct","phy_faith","Faith's PD",10,0.31791195770507,0.114863593130814,0.016035606292257,0.000257140669160274,0.964931129795925
"20m","low_boot_sd","phy_faith","Faith's PD",134,0.0106774999780861,0.00373239676200237,0.0404538217785785,0.00163651169649299,0.642583489321814
"20m","mid_boot_sd","phy_faith","Faith's PD",135,0.0127772076488357,0.0045268963361004,0.298893042683566,0.0893370509646402,0.000429305106608325
"20m","high_boot_sd","phy_faith","Faith's PD",129,0.136317238390918,0.0483617908493615,0.0574692358666222,0.00330271307109345,0.517692280174021
"20m","non_edge_all_bootstrap","phy_rao","Phylogenetic Rao's Q",398,0.0521121401559918,0.0184671939473606,0.194141460449015,0.0376909066652766,9.69589683434508e-05
"20m","boot_cv_le_5pct","phy_rao","Phylogenetic Rao's Q",349,0.0264789221250944,0.00931114796595389,0.219089737653971,0.0480003131452857,3.65110539697363e-05
"20m","boot_cv_le_10pct","phy_rao","Phylogenetic Rao's Q",388,0.0452616293944176,0.0159827506694365,0.195554093836386,0.0382414036161701,0.000105736359149654
"20m","boot_cv_gt_5pct","phy_rao","Phylogenetic Rao's Q",49,0.234683427763812,0.0836806643047265,-0.0584622310654721,0.00341783246115265,0.689883863853561
"20m","boot_cv_gt_10pct","phy_rao","Phylogenetic Rao's Q",10,0.31791195770507,0.114863593130814,0.271892850913632,0.0739257223779427,0.447286952114194
"20m","low_boot_sd","phy_rao","Phylogenetic Rao's Q",134,0.0106774999780861,0.00373239676200237,0.153531390524448,0.0235718878763706,0.0765407039030238
"20m","mid_boot_sd","phy_rao","Phylogenetic Rao's Q",135,0.0127772076488357,0.0045268963361004,0.359313534969583,0.129106216412338,1.87021085430044e-05
"20m","high_boot_sd","phy_rao","Phylogenetic Rao's Q",129,0.136317238390918,0.0483617908493615,0.0680831795345116,0.00463531933552854,0.443295697885096
"20m","non_edge_all_bootstrap","phy_afaith","Abundance-weighted Faith's PD",398,0.0521121401559918,0.0184671939473606,0.178797513205475,0.0319685507284622,0.000337456265236077
"20m","boot_cv_le_5pct","phy_afaith","Abundance-weighted Faith's PD",349,0.0264789221250944,0.00931114796595389,0.202464944801357,0.0409920538734167,0.000139924346438498
"20m","boot_cv_le_10pct","phy_afaith","Abundance-weighted Faith's PD",388,0.0452616293944176,0.0159827506694365,0.183675019922989,0.0337365129437102,0.000275514518050358
"20m","boot_cv_gt_5pct","phy_afaith","Abundance-weighted Faith's PD",49,0.234683427763812,0.0836806643047265,-0.0997850828252962,0.00995706275445123,0.495131894080965
"20m","boot_cv_gt_10pct","phy_afaith","Abundance-weighted Faith's PD",10,0.31791195770507,0.114863593130814,-0.39998574143943,0.15998859335485,0.252090487170685
"20m","low_boot_sd","phy_afaith","Abundance-weighted Faith's PD",134,0.0106774999780861,0.00373239676200237,0.168006260625538,0.0282261036093761,0.0523300705470439
"20m","mid_boot_sd","phy_afaith","Abundance-weighted Faith's PD",135,0.0127772076488357,0.0045268963361004,0.370527176499783,0.137290388524902,9.70681068366631e-06
"20m","high_boot_sd","phy_afaith","Abundance-weighted Faith's PD",129,0.136317238390918,0.0483617908493615,0.00749727719038065,5.6209165269402e-05,0.932797992222037
"20m","non_edge_all_bootstrap","sp_shannon","Shannon diversity",398,0.0521121401559918,0.0184671939473606,-0.0709931320278216,0.00504002479511971,0.157468194040249
"20m","boot_cv_le_5pct","sp_shannon","Shannon diversity",349,0.0264789221250944,0.00931114796595389,-0.0474929641017115,0.00225558163916646,0.376395075912937
"20m","boot_cv_le_10pct","sp_shannon","Shannon diversity",388,0.0452616293944176,0.0159827506694365,-0.0748879972291403,0.00560821212899172,0.140904434423104
"20m","boot_cv_gt_5pct","sp_shannon","Shannon diversity",49,0.234683427763812,0.0836806643047265,-0.224640944742349,0.0504635540547351,0.12071000208138
"20m","boot_cv_gt_10pct","sp_shannon","Shannon diversity",10,0.31791195770507,0.114863593130814,0.505032132756907,0.25505745511699,0.1365160537411
"20m","low_boot_sd","sp_shannon","Shannon diversity",134,0.0106774999780861,0.00373239676200237,-0.0689332059327229,0.00475178688016318,0.428695570033054
"20m","mid_boot_sd","sp_shannon","Shannon diversity",135,0.0127772076488357,0.0045268963361004,0.112863354076224,0.012738136693335,0.192462795282206
"20m","high_boot_sd","sp_shannon","Shannon diversity",129,0.136317238390918,0.0483617908493615,-0.238514105437074,0.0568889784924478,0.00648815572381243
