"scale","edge_group","sv_measure","sv_label","diversity_measure","diversity_label","n","simple_r","simple_r2","env_only_r2","adjusted_r2","diversity_incremental_r2_after_env","diversity_slope_adjusted","diversity_p_adjusted","env_elev_p","env_tri5_p","env_tri11_p","env_tri21_p"
"20m","all_quads","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",436,-0.0358714206984151,0.00128675882292268,0.104263728406674,0.105994079449493,0.00173035104281889,-0.166545227634988,0.362129215165383,9.98201786229686e-08,0.0352237660693233,0.0928057703967593,0.41100762897224
"20m","non_edge","spec_sa","SA entropy","phy_faith","Faith's PD",405,0.140382080323011,0.0197071284758165,0.0895678108883311,0.0937364368859892,0.00416862599765802,2.40981821208015e-05,0.176267281860742,6.6147834748872e-06,0.755289415175798,0.841964002670574,0.886581805513695
"20m","non_edge","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",405,0.180373955084698,0.0325347636728966,0.0895678108883311,0.105447808132039,0.015879997243708,0.000225883043513392,0.00809609965331655,5.91578093199112e-06,0.606550773916511,0.682548258662838,0.764166650556985
"20m","non_edge","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",405,0.165758756516707,0.0274759653619651,0.0895678108883311,0.101517194605904,0.0119493837175732,2.65412037789695e-05,0.0217592481611948,1.95979041790364e-06,0.727913068435639,0.822829870072978,0.929342622920514
"20m","non_edge","spec_sa","SA entropy","sp_shannon","Shannon diversity",405,-0.0645482419454342,0.00416647553824632,0.0895678108883311,0.0919996239190289,0.00243181303069775,-0.01411689324455,0.301886980004274,2.01550228443743e-07,0.938866184946691,0.842350976284999,0.671223879316803
"20m","non_edge","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",360,0.221715977029582,0.049157974470182,0.1170199283211,0.131676196664082,0.0146562683429826,0.000644194342195793,0.0149964937558117,1.60630383653207e-05,0.0321687997118123,0.106933769263615,0.537732779588444
"20m","non_edge","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",360,0.248521102784859,0.0617627385294027,0.1170199283211,0.142331705267932,0.0253117769468325,0.00403469275164665,0.00134358493333491,7.58789611847356e-06,0.0412411256694409,0.123839055663315,0.538763626304526
"20m","non_edge","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",360,0.291195656973763,0.0847949106403814,0.1170199283211,0.160804872423185,0.043784944102085,0.000717285069280839,2.23365222699604e-05,3.08446017374624e-06,0.0347171951322286,0.0979312991631473,0.41151367753092
"20m","non_edge","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",360,-0.0750573921429377,0.00563361211529873,0.1170199283211,0.120633514229548,0.00361358590844861,-0.253581855760468,0.22858166943645,9.43259285063899e-08,0.0193373331739489,0.0564894876188628,0.3155222651468
"20m","edge_only","spec_sa","SA entropy","phy_faith","Faith's PD",80,0.328611085270475,0.107985245362639,0.119107567254172,0.160479681537028,0.0413721142828557,7.0443124583629e-05,0.0600543089648119,0.416359277366675,0.344829532177336,0.318738212680692,0.293312840325717
"20m","edge_only","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",80,0.334031258986549,0.111576881980139,0.119107567254172,0.171592079017152,0.0524845117629794,0.000415768348346014,0.0335919298900567,0.415143899885718,0.211159581631245,0.184727634377781,0.17216370409223
"20m","edge_only","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",80,0.250268200507071,0.0626341721850472,0.119107567254172,0.144987271255098,0.0258797040009255,4.15095468753356e-05,0.138747411347584,0.211743337840829,0.182250055422616,0.162416613242343,0.165186561364656
"20m","edge_only","spec_sa","SA entropy","sp_shannon","Shannon diversity",80,0.325960974930794,0.106250557177833,0.119107567254172,0.163505264034365,0.0443976967801924,0.0478491011107627,0.0512136174602143,0.338907041562374,0.363588479589067,0.304463848127498,0.253428847458893
"20m","edge_only","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",76,0.265171297344943,0.0703158169356005,0.0680777453460641,0.119075151145713,0.0509974057996494,0.00108294905316679,0.0479570685398895,0.184342732512707,0.587677897017606,0.493706608518537,0.433410716291819
"20m","edge_only","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",76,0.381821078780684,0.145787336201246,0.0680777453460641,0.182145509072255,0.114067763726191,0.00843947221215463,0.00259097913261693,0.293502831967832,0.65988484928859,0.547044164848679,0.47426359615775
"20m","edge_only","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",76,0.280702528214504,0.0787939093460141,0.0680777453460641,0.135500380639819,0.0674226352937546,0.000928948732064247,0.0223321756306594,0.0931882066257313,0.733489249590288,0.602989458245627,0.48655998717452
"20m","edge_only","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",76,0.199850057369007,0.0399400454303953,0.0680777453460641,0.089154910423248,0.0210771650771839,0.457306988836401,0.207328488723482,0.13304999566888,0.767460042098364,0.70563452009513,0.65663523095913
