"scale","analysis_set","sv_measure","sv_label","diversity_measure","diversity_label","n","edge_n","pearson_r","r_squared","slope","intercept","f_statistic","f_p_value","spearman_r","spearman_p_value"
"10m","all_quads","spec_spca_sd","Std PCA distance SD","phy_faith","Faith's PD",1744,304,-0.0112769962387952,0.000127170644169801,-9.50343319292081e-05,4.27710451524013,0.221559438000246,0.637913196083151,0.0370228151728462,0.122215829845922
"10m","non_edge","spec_spca_sd","Std PCA distance SD","phy_faith","Faith's PD",1440,0,-0.0322278618363683,0.00103863507854404,-0.000273567389926439,4.37246263256197,1.49511011675988,0.221625644244691,0.04001933100781,0.129035542966496
"10m","edge_only","spec_spca_sd","Std PCA distance SD","phy_faith","Faith's PD",304,304,0.0969546553613336,0.00940020519623498,0.00082584359181994,3.85834078640571,2.86580108753741,0.091511908094979,0.02682368225429,0.641327159019783
"10m","all_quads","spec_spca_sd","Std PCA distance SD","phy_rao","Phylogenetic Rao's Q",1744,304,-4.77074264899019e-05,2.27599854228939e-09,-1.28232185608597e-06,4.23369158000388,3.96478946969398e-06,0.998411498925371,0.0383193942208576,0.10966403141728
"10m","non_edge","spec_spca_sd","Std PCA distance SD","phy_rao","Phylogenetic Rao's Q",1440,0,-0.0200108781000548,0.000400435242335252,-0.000533754838155845,4.31665101262688,0.57605655182302,0.447986578400975,0.0344513414806437,0.19135231786586
"10m","edge_only","spec_spca_sd","Std PCA distance SD","phy_rao","Phylogenetic Rao's Q",304,304,0.114852083367323,0.0131910010538146,0.00337702034445715,3.7918496239941,4.03693351246916,0.0454041717543472,0.0537656454290815,0.35017490711398
"10m","all_quads","spec_spca_sd","Std PCA distance SD","phy_afaith","Abundance-weighted Faith's PD",1744,304,-0.0038079119017347,1.45001930513728e-05,-3.9800190281271e-05,4.24473088988271,0.0252597025660549,0.873740073902984,0.0627937668102387,0.00871456284492172
"10m","non_edge","spec_spca_sd","Std PCA distance SD","phy_afaith","Abundance-weighted Faith's PD",1440,0,-0.0238401319152552,0.000568351889736771,-0.000243892706187703,4.31382780815908,0.817754789921672,0.365988900634486,0.0441808727182877,0.0937560850673278
"10m","edge_only","spec_spca_sd","Std PCA distance SD","phy_afaith","Abundance-weighted Faith's PD",304,304,0.125400170532182,0.0157252027695003,0.00155545301015671,3.79880077448159,4.82488350788987,0.028811540861082,0.163502592709659,0.00425944254221621
"10m","all_quads","spec_spca_sd","Std PCA distance SD","sp_shannon","Shannon diversity",1744,304,-0.0764754105181272,0.00584848841391608,-0.371191228584338,4.60918023894491,10.2480021388165,0.00139299601812246,-0.034980256382188,0.144230201487697
"10m","non_edge","spec_spca_sd","Std PCA distance SD","sp_shannon","Shannon diversity",1440,0,-0.0823316058548746,0.00677849332264242,-0.402896548596444,4.65239342382156,9.81399751458081,0.00176683242233125,-0.0415149435711079,0.115327520444279
"10m","edge_only","spec_spca_sd","Std PCA distance SD","sp_shannon","Shannon diversity",304,304,-0.0465319903535752,0.00216522612626521,-0.216293029908218,4.40231995681777,0.655317200054644,0.418855375943082,-0.0044716785858753,0.938109988473787
"10m","all_quads","spec_spca_rao","Std PCA Rao's Q","phy_faith","Faith's PD",1744,304,0.0258519896003669,0.000668325366297476,0.0168222046537969,135.596648953038,1.16500138806962,0.28058012717332,0.11528406291552,1.38567728912235e-06
"10m","non_edge","spec_spca_rao","Std PCA Rao's Q","phy_faith","Faith's PD",1440,0,0.00261207302462456,6.82292548597128e-06,0.00173208677118398,144.613171438642,0.0098114337915086,0.921110247346561,0.111763678742075,2.13032954129241e-05
"10m","edge_only","spec_spca_rao","Std PCA Rao's Q","phy_faith","Faith's PD",304,304,0.14229229784646,0.0202470980264256,0.0868867953931307,98.7575771285735,6.24098544813031,0.0130142469117122,0.131052097017273,0.0222880196717973
"10m","all_quads","spec_spca_rao","Std PCA Rao's Q","phy_rao","Phylogenetic Rao's Q",1744,304,0.0437895976538777,0.00191752886268849,0.0908832520126709,131.170305210415,3.34675277384347,0.0675085727682819,0.115416500911364,1.34736742832658e-06
"10m","non_edge","spec_spca_rao","Std PCA Rao's Q","phy_rao","Phylogenetic Rao's Q",1440,0,0.0239636695475617,0.000574257458184735,0.0499321765332141,138.582903297021,0.826256708947138,0.363509496627042,0.107502491011666,4.35593785670276e-05
"10m","edge_only","spec_spca_rao","Std PCA Rao's Q","phy_rao","Phylogenetic Rao's Q",304,304,0.153432132966979,0.0235414194267966,0.323410691230819,95.4876871276352,7.28091166214048,0.00736118338931068,0.151971720231572,0.00794883211949309
"10m","all_quads","spec_spca_rao","Std PCA Rao's Q","phy_afaith","Abundance-weighted Faith's PD",1744,304,0.0247425802063645,0.000612195275268382,0.0199684838844867,137.687005148258,1.06709744152947,0.301745374940743,0.118184761008124,7.44593249276335e-07
"10m","non_edge","spec_spca_rao","Std PCA Rao's Q","phy_afaith","Abundance-weighted Faith's PD",1440,0,0.00658154609004947,4.33167489354455e-05,0.00525980425685015,143.912374187552,0.0622921832640331,0.802944703820908,0.103734965360104,8.02372679223822e-05
"10m","edge_only","spec_spca_rao","Std PCA Rao's Q","phy_afaith","Abundance-weighted Faith's PD",304,304,0.138976734900582,0.0193145328436266,0.123578842603587,102.479431143878,5.94786923445369,0.0153109705833039,0.194407520993687,0.000653878866310337
"10m","all_quads","spec_spca_rao","Std PCA Rao's Q","sp_shannon","Shannon diversity",1744,304,-0.0602378151594361,0.00362859437518239,-22.5759975248907,166.159365215954,6.34403131792391,0.0118666098133424,-0.011807395563581,0.622185742600777
