"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"sub50_46",178822,FALSE,"all_pixels",8.44881417953666,7.79428144104344,4.5105044215655,183.453994813807,"squared_euclidean_pc1_pc3",747.032833402404,"sampled_pixels",10000,1,1644.09796725913,13712.3942802634,3574.50232203786,"sampled_pixels",10000,178822,15988564431,"bootstrap_mean",2.84286205767472,NA,2.84286205767472,0.0128637115235364,0.00452491582868362,2.84086247120463,2.81409793129884,2.87637211661518,"50m"
"sub50_47",180256,FALSE,"all_pixels",8.95975823846277,8.00114211727471,5.07259775339118,212.016745822106,"squared_euclidean_pc1_pc3",827.63554313818,"sampled_pixels",10000,1,2203.00909116291,19833.0566144553,5081.38878144118,"sampled_pixels",10000,180256,16246022640,"bootstrap_mean",2.84938825714557,NA,2.84938825714557,0.0127871966272297,0.00448769892806379,2.84951241075556,2.81458421068092,2.88345170899291,"50m"
"sub50_48",141246,FALSE,"all_pixels",8.19969755091105,7.44674433925127,4.57829169396961,176.391292725122,"squared_euclidean_pc1_pc3",667.78745238426,"sampled_pixels",10000,1,1743.32159938544,16128.700783417,4497.48505318542,"sampled_pixels",10000,141246,9975145635,"bootstrap_mean",2.8262504613731,NA,2.8262504613731,0.0127319610893394,0.00450489482915599,2.82672339402648,2.79359078234783,2.85010228844914,"50m"
"sub50_49",206958,FALSE,"all_pixels",8.70893981480661,7.52202598419315,5.69081645394455,216.461736254982,"squared_euclidean_pc1_pc3",809.908438878047,"sampled_pixels",10000,1,2862.62891091705,27872.7049021552,7659.19450740564,"sampled_pixels",10000,206958,21415703403,"bootstrap_mean",2.82731937195229,NA,2.82731937195229,0.0161738414643555,0.00572055694337331,2.82661417192646,2.78425961668702,2.86735204788445,"50m"
"sub50_5",176981,FALSE,"all_pixels",8.34992517688133,7.50665048229816,4.71260332300246,183.859510107068,"squared_euclidean_pc1_pc3",730.241002440256,"sampled_pixels",10000,1,1662.15818067878,14903.2340805046,4253.61697224761,"sampled_pixels",10000,176981,15661048690,"bootstrap_mean",2.81356910806666,NA,2.81356910806666,0.0138783253808204,0.0049326406595205,2.81462759454163,2.78566281878925,2.8504167714253,"50m"
"sub50_50",192715,FALSE,"all_pixels",8.06160528526247,7.3143906141175,4.38550243263412,168.4440231274,"squared_euclidean_pc1_pc3",688.805571690684,"sampled_pixels",10000,1,1591.55679127179,14403.9343300047,3974.36881259992,"sampled_pixels",10000,192715,18569439255,"bootstrap_mean",2.84308327550978,NA,2.84308327550978,0.0813671014135184,0.028619316962824,2.85090073901471,2.18248366025398,2.88498420803536,"50m"
"sub50_51",200631,FALSE,"all_pixels",8.64989995457275,7.74388964142732,4.81124307481178,195.937427545509,"squared_euclidean_pc1_pc3",791.09558662289,"sampled_pixels",10000,1,2004.02082989462,20707.236897502,5212.99233245982,"sampled_pixels",10000,200631,20126298765,"bootstrap_mean",2.81647698127603,NA,2.81647698127603,0.0156867384617154,0.0055696313394361,2.81555176241471,2.77240305898098,2.84432930660968,"50m"
"sub50_52",148734,FALSE,"all_pixels",6.78860824444591,6.20721388995432,3.75108033950735,120.311422015056,"squared_euclidean_pc1_pc3",550.382163640991,"sampled_pixels",10000,1,1285.01863741603,9615.69199769765,3100.11309880441,"sampled_pixels",10000,148734,11060827011,"bootstrap_mean",2.92651783003359,NA,2.92651783003359,0.011328866885873,0.00387110810315581,2.92623273360171,2.90163554322898,2.95291162117418,"50m"
"sub50_53",NA,TRUE,"manual_excluded",NA,NA,NA,NA,"squared_euclidean_pc1_pc3",NA,"manual_excluded",NA,1,NA,NA,NA,"manual_excluded",NA,73073,2669795128,"bootstrap_mean",3.0007820395582,NA,3.0007820395582,0.179292331526686,0.0597485352695201,3.05051851767821,2.34760684693699,3.07897647961835,"50m"
"sub50_54",156070,FALSE,"all_pixels",8.90607938009587,7.90457584975894,5.10611050194228,210.780894654067,"squared_euclidean_pc1_pc3",881.277362906487,"sampled_pixels",10000,1,1924.66905897828,21456.8042427285,4902.33691806998,"sampled_pixels",10000,156070,12178844415,"bootstrap_mean",2.85428413821912,NA,2.85428413821912,0.218344335073311,0.0764970565297479,2.92864777086717,2.23503031658533,2.95876080557161,"50m"
"sub50_55",175675,FALSE,"all_pixels",8.50972996080597,7.95166116651915,4.22561484665385,180.542446393766,"squared_euclidean_pc1_pc3",710.966080044197,"sampled_pixels",10000,1,1356.5624757558,12367.1516263296,3391.41064656596,"sampled_pixels",10000,175675,15430764975,"bootstrap_mean",2.80570247186429,NA,2.80570247186429,0.0104519972600047,0.00372526929167215,2.80530371232666,2.77917785951145,2.82472922622399,"50m"
