scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1110_a,fixed_1250,1250,0.16339869281045752,50,6.54325486497557,6.518882403951474,0.10345627446422985,6.355620216569073,6.807684047764516,all_sampled_pixels,1250,1250,0.015811133235540887,0.014630926645990715,6.513852917091533,6.5726568128596075,6.531389828048057,0.011865036927513728,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (16.3%)","1,250
16.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_2000,2000,0.26143790849673204,50,6.529058075563765,6.529474498671897,0.06760784868701068,6.40069636751126,6.694200208934409,all_sampled_pixels,2000,2000,0.01035491611570218,0.009561193653603856,6.509844137560085,6.548272013567445,6.531389828048057,-0.002331752484291627,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (26.1%)","2,000
26.1%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_3000,3000,0.39215686274509803,50,6.527207001352187,6.533784047881422,0.051063467107117254,6.434879865093938,6.6701701728666105,all_sampled_pixels,3000,3000,0.007823172621389035,0.0072214647724677655,6.512694924569634,6.541719078134739,6.531389828048057,-0.004182826695870112,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (39.2%)","3,000
39.2%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_4000,4000,0.5228758169934641,50,6.531389828048057,6.530592154706852,0.03485925058726424,6.438322101242442,6.592619751983698,all_sampled_pixels,4000,4000,0.00533718726105836,0.004929842495467136,6.521482938646218,6.541296717449895,6.531389828048057,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (52.3%)","4,000
52.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_1,83,0.009998795325864354,50,7.007338244879421,6.9818834278722335,0.5012092198588319,5.982265810294927,8.206560558509453,all_sampled_pixels,83,83,0.07152633458575917,0.07088168763107985,6.864896160650073,7.1497803291087685,7.0897113780158625,-0.0823731331364419,percent,0.01,1% of pixels,1%,1% of pixels = 83 pixels (1.0%),"1%
83 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_2,166,0.01999759065172871,50,7.084750160284086,7.093680642447707,0.3686972943726289,6.35379183361585,7.870448328524334,all_sampled_pixels,166,166,0.05204097336268591,0.05214167141120372,6.979967548593602,7.18953277197457,7.0897113780158625,-0.0049612177317763795,percent,0.02,2% of pixels,2%,2% of pixels = 166 pixels (2.0%),"2%
166 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_3,249,0.029996385977593062,50,7.073107795427143,7.084581564435345,0.30241343878516885,6.521447439332119,7.860016034944832,all_sampled_pixels,249,249,0.04275538384706693,0.042767718657387155,6.987162847064748,7.159052743789538,7.0897113780158625,-0.016603582588719412,percent,0.03,3% of pixels,3%,3% of pixels = 249 pixels (3.0%),"3%
249 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_1250,1250,0.15058426695578847,50,7.104700110680534,7.0974529322076325,0.10365164702054926,6.902245699982734,7.328968254283708,all_sampled_pixels,1250,1250,0.01458916567987566,0.014658556497876956,7.075242638530341,7.134157582830728,7.0897113780158625,0.014988732664671822,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (15.1%)","1,250
15.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_2000,2000,0.24093482712926154,50,7.070827557906185,7.075174648013157,0.09267835372018852,6.867251367008047,7.25058126541045,all_sampled_pixels,2000,2000,0.013107143818909997,0.01310669847695016,7.044488661206386,7.097166454605984,7.0897113780158625,-0.018883820109677707,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (24.1%)","2,000
24.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_3000,3000,0.3614022406938923,50,7.12376562171321,7.1309878497753445,0.06427232133041763,6.973311457461038,7.252244506300248,all_sampled_pixels,3000,3000,0.00902223974558004,0.009089478851067818,7.105499630095695,7.142031613330726,7.0897113780158625,0.034054243697347886,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (36.1%)","3,000
36.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_4000,4000,0.4818696542585231,50,7.0897113780158625,7.1001662150428455,0.05603679140404857,6.954733796272498,7.174745803203738,all_sampled_pixels,4000,4000,0.007903959472568983,0.007924799039547755,7.073785898106761,7.105636857924964,7.0897113780158625,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (48.2%)","4,000
48.2%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_1,73,0.00994550408719346,50,8.563535800790484,8.65020171089321,1.1125712593976118,6.480105240025749,11.091006736572963,all_sampled_pixels,73,73,0.1299196132624228,0.15734133641466175,8.24734654735476,8.87972505422621,8.552414772808373,0.011121027982111897,percent,0.01,1% of pixels,1%,1% of pixels = 73 pixels (1.0%),"1%
73 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_2,147,0.02002724795640327,50,8.584287451341925,8.44712269938878,0.8602458186455212,6.729195881127601,10.435975452617843,all_sampled_pixels,147,147,0.10021167435522498,0.12165713037032419,8.339808294729519,8.828766607954332,8.552414772808373,0.0318726785335528,percent,0.02,2% of pixels,2%,2% of pixels = 147 pixels (2.0%),"2%
147 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_3,220,0.02997275204359673,50,8.630931282506575,8.624856683106506,0.8152386178797112,6.590467327867066,10.586024601110644,all_sampled_pixels,220,220,0.09445546386541864,0.11529215099757847,8.399243030826476,8.862619534186674,8.552414772808373,0.07851650969820234,percent,0.03,3% of pixels,3%,3% of pixels = 220 pixels (3.0%),"3%
220 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_1250,1250,0.17029972752043596,50,8.551887680363716,8.574668305695885,0.27414548478183587,7.968844255866341,9.181600428060424,all_sampled_pixels,1250,1250,0.03205672186402901,0.03877002626418192,8.473976395640365,8.629798965087067,8.552414772808373,-5.270924446563185e-4,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (17.0%)","1,250
17.0%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_2000,2000,0.2724795640326976,50,8.550650048327785,8.548262429398632,0.21493241982794714,8.007417861653828,8.88561231779952,all_sampled_pixels,2000,2000,0.02513638362149794,0.030396034311435078,8.489566930468595,8.611733166186976,8.552414772808373,-0.0017647244805871765,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (27.2%)","2,000
27.2%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_3000,3000,0.4087193460490463,50,8.507610692050605,8.510301211331797,0.14945567653941305,8.179032507475148,8.834170667122528,all_sampled_pixels,3000,3000,0.01756729144635901,0.021136224473568433,8.465135858742117,8.550085525359092,8.552414772808373,-0.04480408075776765,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (40.9%)","3,000
40.9%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
