"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.0148134981593418,0.0328281037557798,0.000219439727716824,0.382347908003532,0.53643018352759,0.0972062071300707,2605.98169770095,3.28523217370917e-41,-0.0441795131177842,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.0593546047456014,-0.0344075169704017,0.00352296910450662,6.15870912201101,0.0131703405344926,-47.6846016426031,2832.05696405182,6.43713386821948e-41,0.0776150263821234,"raw_pca","species"
"10m","sp_shannon","Shannon diversity","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.0379488212171679,-0.0187772075849639,0.00144011303177257,2.51229488995851,0.113142828323423,-115.641120757394,2750.39532378983,4.84308118701188e-41,0.0536606757708991,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.0294310871178859,-0.0157616614353361,0.000866188888940587,1.51020917093835,0.219273151476952,-186.414939670453,2737.01668643008,4.37268191255334e-41,0.0426471238986482,"raw_pca","species"
"10m","sp_even","Species evenness","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,-0.0112380409752712,0.000607191962634448,0.000126293564961875,0.220031178685545,0.639074861475619,-62.1149069155367,2678.15121947048,3.79982397821518e-41,0.0179121458981747,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.152949455596971,0.113944659485636,0.0233935359674098,41.7276980606469,1.35748499117e-10,0.0992662098661044,502.150380124695,3.67044876144643e-30,0.0783974682405238,"standardized_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.176700073123062,0.112107227401663,0.0312229158416955,56.1432761835908,1.06582636162815e-13,0.365775150889332,498.810808740093,1.01807577709433e-29,0.0958211239786439,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.188235408715587,0.132439292794359,0.035432569094324,63.9908972505503,2.25843841968386e-15,0.151518614955482,504.996807175095,1.76257564224507e-30,0.0555420734095155,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.0323210510994041,-0.0188531881381563,0.00104465034417031,1.82168392228105,0.177288329307417,-3.18520594703115,560.947729444582,2.14179430051696e-30,0.0146487175648173,"standardized_pca","species"
"10m","sp_shannon","Shannon diversity","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.0246043137563754,-0.0160589552763287,0.000605372255422163,1.05519725608824,0.304455753016462,-9.19715612563088,556.983309077242,1.96534780143207e-30,0.00793801796518995,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.0215551090498706,-0.0116727447901378,0.00046462272615181,0.809749016752115,0.368318839351865,-16.7476137113802,556.987818469377,1.88740076662821e-30,0.00336998379989342,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,-0.0250580210488732,-0.0191791905924864,0.000627904418885771,1.09449673703665,0.295622160845553,-16.9894882585307,559.926043250088,1.78343473804612e-30,0.0025980562981402,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.0258519896003669,0.115342166389447,0.000668325366297476,1.16500138806962,0.28058012717332,0.0168222046537969,135.596648953038,2.28539101277768e-61,-0.0166489340618043,"standardized_pca","phylogenetic"
