"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","spec_convex","Raw PCA convex hull","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.948993099312902,0.936822119770131,0.900587902543508,15781.0182701093,0,9.53040485492683,-2425.95178056993,1.28952076214744e-34,0.609033693640252,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.991316596750572,0.985330493808632,0.982708594993135,99001.6931416755,0,2.37005957689378,104.919829456698,5.42079044592369e-29,0.526690012487913,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.586152889954527,0.606652019758915,0.343575210402043,911.769369476327,1.90976664380252e-161,0.171904045358911,364.283651419619,3.52487127600361e-22,0.416977759671319,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.65866321062085,0.626916843186813,0.433837225025366,1334.85364880806,1.88039016824047e-217,0.193675206669272,-63.3062506672044,5.0595966296242e-56,0.482525085829678,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.638976033248116,0.522661325055524,0.408290371065497,1202.01158070866,9.59691079318266e-201,0.00231762632054747,4.36947555490565,2.67972366808226e-41,0.398920773264509,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.831813474586283,0.78090477024495,0.691913656503304,3912.25906331574,0,1.80629008749346,-40.8091999344145,3.24974215441099e-33,0.295084930358139,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.777111621715411,0.73607581248622,0.603902472605155,2655.90677679113,0,35.9212052792169,-9181.47181407333,1.61481852964384e-38,0.41061727050332,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.817562358373234,0.756169317451263,0.668408209828804,3511.44731575119,0,4.66690888125072,367.078210543503,1.02354712269006e-31,0.287726622588977,"spectral"
"10m","spec_convex","Raw PCA convex hull","spec_sa","Spectral angle entropy","identity","identity",1744,0.0852085225749398,0.0133758616541144,0.00726049231940401,12.7402783132422,0.000367562235195885,1.75387458687295e-05,2.82383185273207,6.0255546753348e-21,0.148910118513181,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.978014160626052,0.978362255761641,0.956511698385081,38314.7494087282,0,0.232832570724377,830.926862270302,1.97258292476433e-34,0.470870793088998,"spectral"
"10m","spec_hull3d_v","Raw PCA 3D hull volume","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.622673636874044,0.655199453927348,0.387722458057949,1103.11496938895,8.29270572667981e-188,0.0181839140297998,406.907642010464,1.10200928253474e-25,0.366039961709015,"spectral"
