"scale","model","distance_bin","distance_mean","distance_median","pair_n","semivariance_mean","semivariance_median"
"10m","spec_spca_mean ~ phy_rao","[9.92,84.9]",54.625254882077,58.3094278139502,19990,3.26116236907525,0.531529457933481
"10m","spec_spca_mean ~ phy_rao","(84.9,127]",106.660380961274,107.703257178691,19990,3.54037715506252,0.589883328289625
"10m","spec_spca_mean ~ phy_rao","(127,163]",145.267047188699,144.222528598732,19989,4.0050694128211,0.598339042647253
"10m","spec_spca_mean ~ phy_rao","(163,197]",179.755907603925,180.277431055899,19990,3.84708206495826,0.605874565450633
"10m","spec_spca_mean ~ phy_rao","(197,230]",212.82359504693,212.132164515717,19990,4.02718018210765,0.636952225358527
"10m","spec_spca_mean ~ phy_rao","(230,262]",245.96820069725,245.968042992548,19989,3.46282468503763,0.580400399992554
"10m","spec_spca_mean ~ phy_rao","(262,298]",280.111257069834,280.178782699733,19990,2.94413243520912,0.563396492017992
"10m","spec_spca_mean ~ phy_rao","(298,336]",316.425848025526,316.227469546129,19989,2.57090742996834,0.549846081885511
"10m","spec_spca_mean ~ phy_rao","(336,385]",359.141163535538,358.468740255942,19990,2.5377673032112,0.523261735174449
"10m","spec_spca_mean ~ phy_rao","(385,608]",433.134739464371,424.852583555706,19990,2.29039113714209,0.505459182143906
"10m","spec_spca_mean ~ phy_afaith","[9.92,84.9]",54.625254882077,58.3094278139502,19990,3.27536987301453,0.519193106090531
"10m","spec_spca_mean ~ phy_afaith","(84.9,127]",106.660380961274,107.703257178691,19990,3.56022415763786,0.577986018720526
"10m","spec_spca_mean ~ phy_afaith","(127,163]",145.267047188699,144.222528598732,19989,4.03533062269654,0.593067337498045
"10m","spec_spca_mean ~ phy_afaith","(163,197]",179.755907603925,180.277431055899,19990,3.86107034138444,0.578395334232033
"10m","spec_spca_mean ~ phy_afaith","(197,230]",212.82359504693,212.132164515717,19990,4.05459797942342,0.619612557622903
"10m","spec_spca_mean ~ phy_afaith","(230,262]",245.96820069725,245.968042992548,19989,3.48306046360386,0.56191334985475
"10m","spec_spca_mean ~ phy_afaith","(262,298]",280.111257069834,280.178782699733,19990,2.97284637913486,0.553047527682067
"10m","spec_spca_mean ~ phy_afaith","(298,336]",316.425848025526,316.227469546129,19989,2.57974872531123,0.537603847372533
"10m","spec_spca_mean ~ phy_afaith","(336,385]",359.141163535538,358.468740255942,19990,2.55377783585031,0.523525806577198
"10m","spec_spca_mean ~ phy_afaith","(385,608]",433.134739464371,424.852583555706,19990,2.27655850811454,0.492102673509865
"20m","spec_spca_alpha ~ phy_rao","[19.9,84.8]",56.2783101655954,60.0000114894955,9483,16420.4892847137,5999.3041992325
"20m","spec_spca_alpha ~ phy_rao","(84.8,126]",107.119495283658,107.703129440505,9483,18696.3450455513,7122.51169022454
"20m","spec_spca_alpha ~ phy_rao","(126,161]",145.576056441873,144.222391977151,9483,19027.9313292459,6690.34493152556
"20m","spec_spca_alpha ~ phy_rao","(161,198]",179.917095126469,181.107661365784,9483,19390.0351147968,6828.18517209175
"20m","spec_spca_alpha ~ phy_rao","(198,228]",213.20724346082,215.38284463797,9483,19643.2306137862,6918.73499706223
"20m","spec_spca_alpha ~ phy_rao","(228,261]",246.434118986095,244.130694950686,9483,19427.0387806325,6673.41343368685
"20m","spec_spca_alpha ~ phy_rao","(261,300]",280.417694188204,280.71345781184,9483,17165.9034348763,6617.60907249092
"20m","spec_spca_alpha ~ phy_rao","(300,340]",316.757883501529,316.22830508586,9483,15469.7522751996,5820.57198401602
"20m","spec_spca_alpha ~ phy_rao","(340,385]",359.634617082533,360.511537422293,9483,14845.761968843,5494.20861612246
"20m","spec_spca_alpha ~ phy_rao","(385,600]",433.391932463185,424.265240169202,9483,11994.0413258819,4733.67534402459
