"scale","x_metric","y_metric","n","x_label","y_label","x_transform","y_transform","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r","identity_pearson_r","identity_spearman_r","identity_r_squared","identity_residual_abs_cor_fitted","delta_abs_r","delta_r_squared","best_transform_pair"
"50m","sp_shannon","spec_spca_rao",74,"Shannon diversity","Std PCA Rao's Q","power_2","power_2",0.0573977900437566,0.00383561643835616,0.00329450630190717,0.237988508377949,0.627144985490573,1322.55118660097,24801.7475525706,7.35836790598864e-13,0.097654794382763,0.0573977900437566,0.0347138647079294,0.00383561643835616,0.00120505240296043,0.0554291506104634,0.0226839253358272,0.00208945389894674,"power_2 x / power_2 y"
"50m","sp_shannon","spec_hull3d_v",74,"Shannon diversity","Raw PCA 3D hull volume","identity","power_2",-0.03587754520409,0.0524990744168826,0.00128719824987152,0.0927977230574609,0.761528895837827,-49889917.0831202,572158408.229737,3.17480034940548e-10,0.122699167187684,0.03587754520409,-0.0133955850439827,0.0524990744168826,0.000179441698670573,0.0954838318955007,0.0224819601601073,0.00110775655120094,"identity x / power_2 y"
"20m","sp_shannon","spec_spca_mean",436,"Shannon diversity","Std PCA mean distance","power_2","power_2",-0.0582326533113366,-0.0160087508153215,0.00339104191167832,1.47671980843058,0.224949109819969,-1.30626592183319,55.5760866694884,3.1065196945017e-27,0.128831153712703,0.0582326533113366,-0.0358714206984152,-0.0160087508153215,0.00128675882292269,0.129963148313187,0.0223612326129214,0.00210428308875563,"power_2 x / power_2 y"
"20m","sp_even","spec_alpha",436,"Species evenness","Raw PCA alpha hull","power_0.25","yeojohnson",0.0357673154771067,0.00746280650114344,0.00127930085643887,0.555927770567474,0.456309293717122,1.00778919882676,18.8934428510365,4.43438062824352e-09,0.0207149639796867,0.0357673154771067,0.0134385295075997,0.00746280650114344,0.000180594075326627,-0.00552288340580396,0.022328785969507,0.00109870678111224,"power_0.25 x / yeojohnson y"
"20m","sp_simpson","spec_rao_q",436,"Simpson diversity","Raw PCA Rao's Q","power_2","power_0.25",-0.0656062153367356,-0.11923637408722,0.00430417549081013,1.8760871714335,0.171487776008677,-0.13519935728241,3.67450589292444,8.43093493547582e-15,0.0380537025223806,0.0656062153367356,-0.0434186921856003,-0.11923637408722,0.00188518283110791,0.050336645184084,0.0221875231511353,0.00241899265970222,"power_2 x / power_0.25 y"
"50m","sp_even","spec_spca_convex",74,"Species evenness","Std PCA convex hull","boxcox","boxcox",0.074497900137748,0.0811403184005924,0.00554993712493401,0.401825579697762,0.528156718101998,0.0414355102901601,3.04019798273845,0.244674949384036,-0.0953326627850681,0.074497900137748,0.0524910505143605,0.0811403184005924,0.00275531038410116,0.0123747721735696,0.0220068496233874,0.00279462674083285,"boxcox x / boxcox y"
"10m","sp_even","spec_alpha",1741,"Species evenness","Raw PCA alpha hull","power_0.25","identity",-0.0325769280289827,-0.0040804082821585,0.00106125623980551,1.84748525627796,0.174252392861158,-29.7246937271638,561.148326295457,3.59518666234631e-23,0.0198147492375611,0.0325769280289827,-0.0108959975048952,-0.0040804082821585,0.000118722761626683,0.00861367139897213,0.0216809305240875,0.000942533478178828,"power_0.25 x / identity y"
"20m","sp_even","spec_spca_rao",436,"Species evenness","Std PCA Rao's Q","power_0.25","boxcox",0.0305234898481273,-0.0189070602313522,0.000931683432508793,0.404727687790208,0.524993078724772,0.000852924390679316,0.903875537023997,0.257478667918873,0.00553382126062685,0.0305234898481273,0.00920236063087431,-0.0189070602313522,8.46834411806655e-05,0.00861015315246578,0.021321129217253,0.000846999991328128,"power_0.25 x / boxcox y"
"50m","phy_rao","spec_rao_q",74,"Phylogenetic Rao's Q","Raw PCA Rao's Q","sqrt","power_2",0.340614592983201,0.204087375046279,0.116018300953111,9.44965000704267,0.00298248609833356,4337.76053758325,-23500.6862682784,7.8126656182613e-06,0.386550984838914,0.340614592983201,0.319454659106728,0.204087375046279,0.102051279224996,0.303468184952361,0.0211599338764724,0.0139670217281155,"sqrt x / power_2 y"
"10m","sp_shannon","spec_spca_mean",1744,"Shannon diversity","Std PCA mean distance","power_0.25","sqrt",-0.0526387650569108,0.00131225684884877,0.00277083958671666,4.84021401666597,0.0279343378488398,-0.0795534451920799,2.6755902808657,1.65070675867e-40,0.043287249479434,0.0526387650569108,-0.0318964474482303,0.00131225684884877,0.00101738335981772,0.0606526337872603,0.0207423176086805,0.00175345622689894,"power_0.25 x / sqrt y"
"50m","phy_afaith","spec_spca_mean",74,"Abundance-weighted Faith's PD","Std PCA mean distance","sqrt","boxcox",0.439482190943173,0.416719733432062,0.19314459615621,17.2353198069917,8.94645050595385e-05,7.83803192381022e-05,0.48549185970966,0.00843577390378755,-0.0543742396455602,0.439482190943173,0.418752580398847,0.416719733432062,0.175353723590693,0.11746113773644,0.0207296105443255,0.0177908725655171,"sqrt x / boxcox y"
"50m","sp_even","spec_spca_alpha",74,"Species evenness","Std PCA alpha hull","log","power_2",-0.137059332487285,-0.0368900407256572,0.0187852606218601,1.3784329876976,0.244237104723465,-239140.47395823,445973.606973276,1.17636207629114e-05,0.235081829345364,0.137059332487285,-0.116331001239826,-0.0368900407256572,0.0135329018494603,0.185796155594693,0.0207283312474594,0.0052523587723998,"log x / power_2 y"
"50m","sp_even","spec_hull3d_a",74,"Species evenness","Raw PCA 3D hull area","log1p","power_2",-0.0731859598922335,0.011714179933358,0.00535618472534758,0.387722010937691,0.53546646982078,-37212713.1186938,50241806.3705073,4.11432760651174e-09,0.187188430261126,0.0731859598922335,-0.052537486911099,0.011714179933358,0.00276018753093389,0.151939246734848,0.0206484729811344,0.00259599719441368,"log1p x / power_2 y"
"50m","phy_afaith","spec_rao_q",74,"Abundance-weighted Faith's PD","Raw PCA Rao's Q","power_2","power_2",0.365956748616484,0.225087004813032,0.133924341857948,11.1336146249139,0.0013436355839774,0.000397463765367583,31953.0591503058,5.83154082336026e-07,0.251651343998125,0.365956748616484,0.345646792233139,0.225087004813032,0.119471704981059,0.179558110595943,0.0203099563833451,0.0144526368768899,"power_2 x / power_2 y"
"10m","sp_even","spec_convex",1744,"Species evenness","Raw PCA convex hull","power_0.25","power_2",-0.0348953811476952,0.00464814492548802,0.00121768762544293,2.12379796602374,0.145206752949736,-364308.15246656,1714255.85914249,3.88728526498721e-56,0.0494863585750658,0.0348953811476952,-0.0146775128112865,0.00464814492548802,0.000215429382325478,0.019468241752322,0.0202178683364088,0.00100225824311745,"power_0.25 x / power_2 y"
"10m","phy_rao","spec_hull3d_a",1744,"Phylogenetic Rao's Q","Raw PCA 3D hull area","power_2","log",0.033700709528668,-0.00569383079673034,0.00113573782273565,1.98070484861776,0.159494572905364,5.55179883361008e-07,7.78054426301456,5.59713213136032e-20,-0.0167578919234729,0.033700709528668,0.01350838204644,-0.00569383079673034,0.00018247638551258,0.00212023396732768,0.020192327482228,0.000953261437223074,"power_2 x / log y"
