"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","target_group","driver_metric","target_metric"
"10m","env_elev","Mean elevation","spec_convex","Raw PCA convex hull","identity","identity",1744,0.0872123472984682,0.0772811796819819,0.00760599352130864,13.3511897770658,0.00026590607357224,2.47704321337882,505.217662200926,1.11799339846533e-40,0.000444522355908676,"spectral","env_elev","spec_convex"
"10m","env_tri5","TRI 5x5","spec_convex","Raw PCA convex hull","identity","identity",1744,0.0202434368587031,0.0366946031279504,0.000409796735852299,0.714158573707091,0.398182764126621,11.8649660343015,1043.45267691284,2.535338189967e-40,0.0291459064024272,"spectral","env_tri5","spec_convex"
"10m","env_tri11","TRI 11x11","spec_convex","Raw PCA convex hull","identity","identity",1744,0.00351897337144258,0.0212979645432836,1.23831735889221e-05,0.0215717555186955,0.883249050953378,0.463757359396015,1062.61284359395,2.46638068686647e-40,0.0150769499359351,"spectral","env_tri11","spec_convex"
"10m","env_tri21","TRI 21x21","spec_convex","Raw PCA convex hull","identity","identity",1744,-0.00833734972628439,0.00402683335459101,6.95114004583735e-05,0.121097277239819,0.727889482450503,-0.350109101007449,1077.95746506496,2.44836625125467e-40,-0.00995442578484773,"spectral","env_tri21","spec_convex"
"10m","brightness_n_pixels","brightness_n_pixels","spec_convex","Raw PCA convex hull","identity","identity",1744,0.285448319967557,0.354002538009759,0.0814807433723009,154.530734037817,4.70914751031037e-34,0.111163368703756,260.864400139338,3.92823028874347e-43,0.0425419080790437,"spectral","brightness_n_pixels","spec_convex"
"10m","mean_pixel_brightness","563 nm brightness","spec_convex","Raw PCA convex hull","identity","identity",1744,0.531101551969718,0.558405990619506,0.282068858504642,684.416545146154,1.59829302102769e-127,36901.8929980062,-1008.30253348065,5.0841932284924e-41,0.286515924318427,"spectral","mean_pixel_brightness","spec_convex"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_convex","Raw PCA convex hull","identity","identity",1744,0.562675139882687,0.577543934049597,0.316603313042002,807.031965247241,3.39335271562989e-146,91713.5031315627,-715.48963924519,3.27408499336673e-40,0.29696365189483,"spectral","mean_blue_pixel_brightness","spec_convex"
"10m","mean_green_pixel_brightness","Green brightness","spec_convex","Raw PCA convex hull","identity","identity",1744,0.559628805625068,0.589741942530437,0.31318440008534,794.343088620079,2.63439341464932e-144,48941.6743032099,-1151.34873400499,1.03005153272056e-41,0.283027283562203,"spectral","mean_green_pixel_brightness","spec_convex"
"10m","mean_red_pixel_brightness","Red brightness","spec_convex","Raw PCA convex hull","identity","identity",1744,0.425324787813627,0.440486991999438,0.180901175128707,384.727504796169,1.47038965251706e-77,18369.8511175085,-914.309580007139,9.13715980270537e-42,0.216662651045631,"spectral","mean_red_pixel_brightness","spec_convex"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_convex","Raw PCA convex hull","identity","identity",1744,0.187621828385394,0.218668470801569,0.0352019504866783,63.5592057620002,2.79005881330744e-15,1851.53099519688,200.564610972036,9.71807488300943e-43,-0.0292569418397903,"spectral","mean_nir_pixel_brightness","spec_convex"
"10m","env_elev","Mean elevation","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.00499858972588292,-0.000580196536746904,2.49858992477019e-05,0.0435265240388409,0.834761392016087,1.4257763131447,7418.07614955337,1.29081532374479e-45,-0.0569500753094563,"spectral","env_elev","spec_hull3d_v"
"10m","env_tri5","TRI 5x5","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.00695861959675581,0.0273339604008195,4.84223866923549e-05,0.0843558823312362,0.77151357356961,40.9594053848969,7660.64672926482,1.35943573305749e-45,0.000299174955003395,"spectral","env_tri5","spec_hull3d_v"
"10m","env_tri11","TRI 11x11","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.00809560968632561,0.0122624217253411,6.55388961933282e-05,0.114176240153529,0.735479451217192,-10.7145192879783,7838.6852867572,1.38317773674473e-45,0.0141610201325115,"spectral","env_tri11","spec_hull3d_v"
"10m","env_tri21","TRI 21x21","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,-0.0222994839562057,-0.00893402855809935,0.000497266984713076,0.86667005377456,0.352007825829432,-9.40412708878402,8040.32198445657,1.40990255073893e-45,0.0237832854895424,"spectral","env_tri21","spec_hull3d_v"
"10m","brightness_n_pixels","brightness_n_pixels","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.263156759516762,0.364302785422402,0.0692514800793632,129.611893778286,5.13848261410323e-29,1.02919349694603,279.427558410325,1.34786980246589e-47,0.0628651596897775,"spectral","brightness_n_pixels","spec_hull3d_v"
"10m","mean_pixel_brightness","563 nm brightness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.560214789301494,0.626390309649146,0.313840610152117,796.768726004304,1.1445659384937e-144,390907.443375397,-14240.8251125539,6.09293191128649e-46,0.328884960248559,"spectral","mean_pixel_brightness","spec_hull3d_v"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.516876616170123,0.533011209800315,0.267161436343477,635.058313236453,9.76177019564883e-120,846078.647973011,-8700.9491398196,2.61690767907782e-44,0.328706263455993,"spectral","mean_blue_pixel_brightness","spec_hull3d_v"
"10m","mean_green_pixel_brightness","Green brightness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.579585978788361,0.645738719900048,0.335919906808063,881.177562253044,4.69642194247755e-157,509031.816137016,-15329.4262421849,2.48830163215535e-46,0.3277543652473,"spectral","mean_green_pixel_brightness","spec_hull3d_v"
"10m","mean_red_pixel_brightness","Red brightness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.406371408569712,0.45559325858263,0.165137721702932,344.571696056611,2.49864793976296e-70,176261.061950939,-11267.91642221,1.89098380206716e-46,0.237420113927452,"spectral","mean_red_pixel_brightness","spec_hull3d_v"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.137472474250627,0.194505181269905,0.0188986811765893,33.5556603359781,8.20022053729207e-09,13624.2206193858,1367.07481698178,3.46406215073053e-47,-0.0420086455451738,"spectral","mean_nir_pixel_brightness","spec_hull3d_v"
