"quad_id","scale","composition_cluster","cluster_size","species_value","phylo_value","phylo_residual","phylo_residual_z","abs_phylo_residual_z","species_metric","species_label","phylo_metric","phylo_label"
"1017_d","10m","10m_C4",374,3,282.294339,-55.48020246259,-0.349101814142062,0.349101814142062,"sp_rich","Species richness","phy_faith","Faith's PD"
"1018_a","10m","10m_C4",374,4,282.294339,-159.438063724813,-1.00324286536556,1.00324286536556,"sp_rich","Species richness","phy_faith","Faith's PD"
"1018_b","10m","10m_C4",374,4,470.305136,28.5727332751866,0.179790133752502,0.179790133752502,"sp_rich","Species richness","phy_faith","Faith's PD"
"1018_c","10m","10m_C4",374,4,366.047078,-75.6853247248134,-0.476239865620166,0.476239865620166,"sp_rich","Species richness","phy_faith","Faith's PD"
"1018_d","10m","10m_C4",374,5,380.173902,-165.516361987037,-1.04148975084997,1.04148975084997,"sp_rich","Species richness","phy_faith","Faith's PD"
"1019_a","10m","10m_C4",374,5,439.29483,-106.395433987037,-0.669479154232572,0.669479154232572,"sp_rich","Species richness","phy_faith","Faith's PD"
"1019_b","10m","10m_C4",374,2,237.157208,3.34052779963337,0.0210198280337992,0.0210198280337992,"sp_rich","Species richness","phy_faith","Faith's PD"
"1019_c","10m","10m_C3",339,2,195.759125,-38.0575552003666,-0.239472117485843,0.239472117485843,"sp_rich","Species richness","phy_faith","Faith's PD"
"1019_d","10m","10m_C3",339,5,346.813469,-198.876794987037,-1.25140584999755,1.25140584999755,"sp_rich","Species richness","phy_faith","Faith's PD"
"101_a","10m","10m_C2",320,5,447.566717,-98.1235469870367,-0.617429402611255,0.617429402611255,"sp_rich","Species richness","phy_faith","Faith's PD"
"101_b","10m","10m_C5",431,3,394.229466,56.45492453741,0.35523512349387,0.35523512349387,"sp_rich","Species richness","phy_faith","Faith's PD"
"101_c","10m","10m_C2",320,5,521.252981,-24.4372829870368,-0.153768361411982,0.153768361411982,"sp_rich","Species richness","phy_faith","Faith's PD"
"101_d","10m","10m_C2",320,6,669.343118,19.6949927507399,0.123928129199496,0.123928129199496,"sp_rich","Species richness","phy_faith","Faith's PD"
"1020_a","10m","10m_C3",339,4,380.173901,-61.5585017248134,-0.387348705918843,0.387348705918843,"sp_rich","Species richness","phy_faith","Faith's PD"
"1020_b","10m","10m_C3",339,4,380.173901,-61.5585017248134,-0.387348705918843,0.387348705918843,"sp_rich","Species richness","phy_faith","Faith's PD"
"1020_c","10m","10m_C3",339,4,380.173902,-61.5585007248134,-0.387348699626475,0.387348699626475,"sp_rich","Species richness","phy_faith","Faith's PD"
"1020_d","10m","10m_C3",339,6,540.84547,-108.80265524926,-0.684626274689642,0.684626274689642,"sp_rich","Species richness","phy_faith","Faith's PD"
"1021_a","10m","10m_C3",339,5,500.059239,-45.6310249870367,-0.287127171442421,0.287127171442421,"sp_rich","Species richness","phy_faith","Faith's PD"
"1021_b","10m","10m_C3",339,5,212.498745,-333.191518987037,-2.0965634329391,2.0965634329391,"sp_rich","Species richness","phy_faith","Faith's PD"
"1021_c","10m","10m_C3",339,5,385.492297,-160.197966987037,-1.00802445583639,1.00802445583639,"sp_rich","Species richness","phy_faith","Faith's PD"
"1021_d","10m","10m_C3",339,4,323.832479,-117.899923724813,-0.741869629753001,0.741869629753001,"sp_rich","Species richness","phy_faith","Faith's PD"
"1022_a","10m","10m_C3",339,5,387.044877,-158.645386987037,-0.998255052147454,0.998255052147454,"sp_rich","Species richness","phy_faith","Faith's PD"
"1022_b","10m","10m_C3",339,9,618.356777,-343.16493203593,-2.15931981150323,2.15931981150323,"sp_rich","Species richness","phy_faith","Faith's PD"
