"scale","composition_cluster","quad_id","cluster_size","composition_type","mean_silhouette_width"
"10m","10m_C2","505_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","808_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1209_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","402_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1717_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","308_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1106_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1717_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1906_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1107_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1107_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","200_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1510_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1108_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1108_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1108_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1109_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","509_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","301_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","301_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","6_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1909_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","708_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1513_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1806_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1513_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1409_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","805_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1524_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1911_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","408_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","701_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","702_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","702_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","409_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","410_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","306_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","306_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","306_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","400_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","902_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1209_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","902_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","903_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","308_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","705_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1115_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1115_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1812_a",320,"FAGR+LIST2+LITU",0.0912236219752787
