"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"10m","10m_C6",286,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",286,0.545204703357402,48.6991367315275,1.03079399913244,135.207092591487
"10m","10m_C4",374,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",374,0.544131585844235,49.9415997919495,0.734683136534251,141.671862650943
"10m","10m_C4",374,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",374,0.532778239619754,46.979461801534,1.10226325237063,141.671862650943
"10m","10m_C1",250,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",250,0.502519422069833,42.2822525295008,0.753119108558597,128.981621262097
"10m","10m_C6",286,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",286,0.500388458512733,47.9916057245811,0.561533132849622,135.207092591487
"10m","10m_C1",250,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",250,0.483416646553917,37.9340751646026,0.59878057427688,128.981621262097
"10m","10m_C5",431,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",431,0.471831436623633,51.0805664845814,0.445341747600037,125.779484110222
"10m","10m_C4",374,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",374,0.471148743372114,46.273943883643,0.591403024904131,141.671862650943
"20m","20m_C5",90,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",90,1.10431497652832,595.666830322072,6.83333333333333,1160.29302546965
"20m","20m_C5",90,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",90,1.08990267221603,603.956304731031,1.50727591416177,1160.29302546965
"20m","20m_C5",90,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",90,1.08961203310158,601.098027546199,0.798828930750883,1160.29302546965
"20m","20m_C5",90,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",90,1.08062088910566,604.721450641617,0.722201176189143,1160.29302546965
"20m","20m_C6",58,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",58,0.778455089460968,396.886421134754,0.73714920925744,756.808072393737
"20m","20m_C6",58,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",58,0.732680653371925,378.602101873603,0.605877124598575,756.808072393737
"20m","20m_C6",58,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",58,0.726436271353941,377.553857086453,1.18436948593661,756.808072393737
"20m","20m_C6",58,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",58,0.72212165852157,370.511644656365,5.20689655172414,756.808072393737
"20m","20m_C3",68,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",68,0.681308175694362,345.799282764304,0.802165352732256,850.680051373265
"20m","20m_C1",93,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",93,0.68073732793637,370.154373780603,0.828025140961654,803.448152050803
"20m","20m_C1",93,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",93,0.678699806794592,366.182929022281,0.768796345693091,803.448152050803
"20m","20m_C3",68,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",68,0.67710682115338,353.881476847608,0.834537771912611,850.680051373265
"20m","20m_C3",68,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",68,0.675867274930778,337.200199984285,1.84728833413922,850.680051373265
"20m","20m_C1",93,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",93,0.672415919834625,360.698025956112,1.68567098871252,803.448152050803
"20m","20m_C3",68,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",68,0.665336825279906,316.885485050279,9.33823529411765,850.680051373265
"20m","20m_C1",93,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",93,0.650119765109839,349.406855884516,7.88172043010753,803.448152050803
"20m","20m_C4",115,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",115,0.620511600002734,271.351406509689,0.804440659892405,676.703341230918
"20m","20m_C4",115,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",115,0.614326807160706,271.367606757214,0.717638369521563,676.703341230918
"20m","20m_C4",115,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",115,0.60342136425369,269.096667576965,1.50059352639308,676.703341230918
"20m","20m_C4",115,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",115,0.581666512733383,262.508024861289,6.57391304347826,676.703341230918
"20m","20m_C2",76,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",76,0.484730441241148,220.783435163818,9.02631578947368,827.116144110151
"20m","20m_C2",76,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",76,0.46329503002451,231.302993156962,1.79752447851432,827.116144110151
"20m","20m_C2",76,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",76,0.457780944847203,233.576415370481,0.788107362924453,827.116144110151
"20m","20m_C2",76,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",76,0.447498703830278,235.335375180423,0.822253655756762,827.116144110151
"20m","20m_C3",68,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",68,1.06513405108394,294.689645243746,1.84728833413922,930.671984102941
"20m","20m_C3",68,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",68,1.05923763655197,318.820652842785,0.802165352732256,930.671984102941
"20m","20m_C3",68,"sp_rich","Species richness","phy_faith","Faith's PD",68,1.05584111074032,247.43290613318,9.33823529411765,930.671984102941
"20m","20m_C3",68,"sp_even","Species evenness","phy_faith","Faith's PD",68,1.04742936064905,341.714258672076,0.834537771912611,930.671984102941
"20m","20m_C5",90,"sp_rich","Species richness","phy_faith","Faith's PD",90,0.968431428891651,206.260753117204,6.83333333333333,846.058984322222
"20m","20m_C1",93,"sp_rich","Species richness","phy_faith","Faith's PD",93,0.919514319450327,212.407155737819,7.88172043010753,783.639714612903
"20m","20m_C1",93,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",93,0.91685017970724,245.276305130431,1.68567098871252,783.639714612903
