"scale","sv_metric","sv_label","species_metric","species_label","phylo_metric","phylo_label","n","species_only_r2","phylo_only_r2","combined_r2","phylo_incremental_r2_after_species","partial_f","partial_f_p_value","phylo_slope_in_combined","phylo_p_value_in_combined"
"10m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",1744,0.000188703769507731,0.0196194285354673,0.0304744892854319,0.0302857855159242,54.38490478127,2.53713745955452e-13,0.00526108855755781,2.5371374595544e-13
"10m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",1744,0.000188703769507731,0.0149568368164822,0.0166730423509434,0.0164843385814356,29.1858503898783,7.48243314935934e-08,0.00130973026939007,7.48243314935977e-08
"10m","spec_sa","SA entropy","sp_rich","Species richness","phy_faith","Faith's PD",1903,0.000544722174231354,0.00969496558589483,0.0262603363233963,0.0257156141491649,50.1773407267106,1.97040810141668e-12,0.000107212887138168,1.97040810141693e-12
"10m","spec_sa","SA entropy","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",1903,0.000544722174231354,0.0132089293988989,0.0215012812390156,0.0209565590647842,40.6924009808703,2.23204598781457e-10,0.000255434613491868,2.23204598781476e-10
"10m","spec_sa","SA entropy","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",1903,0.000544722174231354,0.0112740005719317,0.0174650253172873,0.016920303143056,32.7200321618967,1.2337575849175e-08,8.67582635956718e-05,1.23375758491754e-08
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_faith","Faith's PD",1903,0.000755883709338848,0.00969496558589483,0.0210848243867582,0.0203289406774193,39.4569297211064,4.1466646743256e-10,8.47472427570662e-05,4.14666467432517e-10
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",1903,0.000755883709338848,0.0132089293988989,0.0310093037665364,0.0302534200571975,59.3210010499685,2.14058773716515e-14,0.000351035568214461,2.14058773716516e-14
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",1903,0.000755883709338848,0.0112740005719317,0.0174748581550856,0.0167189744457467,32.3310316388148,1.50207808365048e-08,8.49527427738431e-05,1.50207808365048e-08
"10m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_faith","Faith's PD",1903,0.000653668559735736,0.00969496558589483,0.0181845675054847,0.0175308989457489,33.925630922601,6.70873830841758e-09,7.48425679210095e-05,6.70873830841827e-09
"10m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",1903,0.000653668559735736,0.0132089293988989,0.0319575776046584,0.0313039090449227,61.440930489576,7.53734999786404e-15,0.00036526850034741,7.53734999786419e-15
"10m","spec_sa","SA entropy","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",1903,0.000653668559735736,0.0112740005719317,0.0164675586328354,0.0158138900730996,30.5494662658238,3.70411018981283e-08,8.14417112382633e-05,3.70411018981279e-08
"10m","spec_sa","SA entropy","sp_even","Species evenness","phy_faith","Faith's PD",1903,0.000723510626980078,0.00969496558589483,0.0129877355814139,0.0122642249544339,23.6086503212297,1.27736369458816e-06,5.5286880263211e-05,1.27736369458807e-06
"10m","spec_sa","SA entropy","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",1903,0.000723510626980078,0.0132089293988989,0.0252204330083217,0.0244969223813416,47.7483875335947,6.58945143143847e-12,0.000290314399919897,6.58945143143784e-12
"10m","spec_sa","SA entropy","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",1903,0.000723510626980078,0.0112740005719317,0.0142703836538128,0.0135468730268327,26.1116824777865,3.54562550762723e-07,7.17641360795585e-05,3.5456255076271e-07
"20m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_faith","Faith's PD",436,0.00148783459058119,0.0576610829332953,0.141060879525104,0.139573044934523,70.3602001772079,7.04098016349981e-16,0.00252947396893541,7.0409801634994e-16
"20m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",436,0.00148783459058119,0.0749696746102983,0.098001953319629,0.0965141187290478,46.3311573273135,3.34162732405873e-11,0.00798595385488885,3.3416273240588e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",436,0.00148783459058119,0.0907116920793237,0.101333985300052,0.0998461507094706,48.108399060396,1.47545208457499e-11,0.00104608236851035,1.47545208457501e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_faith","Faith's PD",436,0.00128675882292268,0.0576610829332953,0.0977430930991263,0.0964563342762036,46.2901335774255,3.40542856493209e-11,0.00179726966646622,3.40542856493208e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",436,0.00128675882292268,0.0749696746102983,0.101354741599097,0.100067982776174,48.2163970009546,1.40411017748001e-11,0.00827113189383991,1.40411017748003e-11
"20m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",436,0.00128675882292268,0.0907116920793237,0.0955775776427392,0.0942908188198165,45.1425390831951,5.78477746538159e-11,0.0010007958647385,5.78477746538178e-11
