"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"10m","10m_C3",363,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",363,0.742242938982358,58.4916700834422,0.994529948913037,165.710706203704
"10m","10m_C5",530,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",530,0.669515182711144,59.1393823632588,0.64685918012116,116.262840129694
"10m","10m_C3",363,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",363,0.659330563205782,56.6903402801085,0.556223267373468,165.710706203704
"10m","10m_C5",530,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",530,0.633592657329267,54.038387135701,0.894937478344168,116.262840129694
"10m","10m_C6",270,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",270,0.58831901686821,51.8748516578529,4.22222222222222,127.912493072408
"10m","10m_C5",530,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",530,0.561994865088367,53.2054341946593,0.493431774308044,116.262840129694
"10m","10m_C6",270,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",270,0.540655473511442,48.3309344925883,0.719817512643257,127.912493072408
"10m","10m_C4",290,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",290,0.539540850367014,50.5479117663732,4.77931034482759,144.373895865427
"10m","10m_C6",270,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",270,0.517603140283458,43.3230705836592,1.02405029302893,127.912493072408
"10m","10m_C6",270,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",270,0.491723503664817,42.146577920777,0.560209394142612,127.912493072408
"10m","10m_C4",290,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",290,0.486321201663589,42.1979529262252,1.17388286833916,144.373895865427
"10m","10m_C4",290,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",290,0.471224081319596,44.0941034434646,0.765752152402283,144.373895865427
"10m","10m_C2",271,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",271,0.470348481350499,41.5939157048533,4.35424354243542,140.006242603645
"10m","10m_C2",271,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",271,0.424276192390021,36.785603051435,0.738712291833884,140.006242603645
"10m","10m_C4",290,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",290,0.418953757566514,40.3096334013698,0.622273598994783,144.373895865427
"10m","10m_C2",271,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",271,0.383795216287716,33.5335401269814,1.06284435179735,140.006242603645
"10m","10m_C2",271,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",271,0.280968955778012,31.1509807266202,0.580469561700031,140.006242603645
"20m","20m_C4",81,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",81,1.23330086808907,591.059210668908,6.45679012345679,1234.61052669863
"20m","20m_C4",81,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",81,1.20018175351418,598.120787444424,1.40814540431151,1234.61052669863
"20m","20m_C4",81,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",81,1.17821307591834,597.727915316357,0.687955185589461,1234.61052669863
"20m","20m_C4",81,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",81,1.13299971155654,590.072740486463,0.768444714314785,1234.61052669863
"20m","20m_C6",34,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",34,0.875025123210554,264.286245648242,0.732389312624692,518.732994612713
"20m","20m_C6",34,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",34,0.720828645484285,212.220100158077,0.578134155586544,518.732994612713
"20m","20m_C2",97,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",97,0.704522236140202,261.836629490994,0.818001810366158,624.698870221455
"20m","20m_C2",97,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",97,0.698034263600779,248.680502424237,0.743067528645066,624.698870221455
"20m","20m_C6",34,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",34,0.689280500503483,206.81131400227,1.13127072057586,518.732994612713
"20m","20m_C2",97,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",97,0.687885498629692,242.267729259226,1.589595098181,624.698870221455
"20m","20m_C1",81,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",81,0.662891494476446,360.339027582923,0.828604731176683,898.759901293049
"20m","20m_C2",97,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",97,0.654686788142477,228.49591970018,7.19587628865979,624.698870221455
"20m","20m_C1",81,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",81,0.647815853208256,353.460953203694,0.773548319027075,898.759901293049
"20m","20m_C1",81,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",81,0.642131476516922,347.006219869181,1.70562720981049,898.759901293049
"20m","20m_C6",34,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",34,0.638012378488112,203.978428640049,4.94117647058824,518.732994612713
"20m","20m_C1",81,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",81,0.634750625821175,334.179128498475,8.11111111111111,898.759901293049
"20m","20m_C5",111,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",111,0.58265727407132,329.404445440489,0.807781377193856,809.769014226729
