"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"10m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.464147208789721,0.464424839179373,0.464447187388707,0.000277630389651395,2.23482093344995e-05,0.000299978598985895,0.0239729750954345,0.309063495288467,-0.00437289531555598,0.0832915536638648,0.772915349844695,0.559008625737744,0.571865116493262,0.839545983451996,0.595495906431001,0.337160176678327
"10m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.464147208789721,0.473814320175892,0.474028353849126,0.0096671113861701,0.000214033673234748,0.00988114505940485,0.109564148184968,1.65137548829507e-09,0.0136694111691563,0.812232398652985,0.367569793359527,18.7488866395231,8.57041989648708e-09,0.514597710703338,1.58804839258437e-08,3.49703044580132e-09
"10m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.158129126835866,0.21556260220653,0.219367557937862,0.0574334753706634,0.00380495573133197,0.0612384311019954,0.344802956724545,1.55115604537098e-32,-0.057058784988168,9.72889573955727,0.00183984218146067,78.2903078923365,1.8480326423208e-33,0.0046364022972809,5.97056699826721e-33,5.58416176333552e-32
"10m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.158129126835866,0.522994403115414,0.52377426730047,0.364865276279548,0.0007798641850566,0.365645140464604,0.67311051101047,1.20515587945336e-248,-0.0260926532342576,3.26863671257129,0.0707667503387617,766.262352341036,1.15409017462721e-247,0.125664956114914,1.81769202503786e-246,1.85938335687089e-247
"10m","sp_even","Species evenness","phy_faith","Faith's PD","present_species_count","Number of species",FALSE,2000,0.0916486738434645,0.50748344891321,0.51210352901734,0.415834775069746,0.00462008010412929,0.420454855173875,0.687496024133648,9.70131954043036e-268,-0.0662352736268969,18.900894833834,1.4461576606831e-05,860.047101013854,4.10841771185736e-270,5.06155181239086e-05,7.39515188134325e-269,1.74623751727746e-266
"10m","sp_even","Species evenness","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.0916486738434645,0.200661510020074,0.210963372750343,0.10901283617661,0.0103018627302683,0.119314698906878,0.34779705447866,1.86492741161751e-57,-0.099197927206204,26.060283261235,3.62346570738688e-07,150.913234438973,9.2389480091061e-62,1.36378117187517e-06,5.06133673542334e-61,9.15509820248596e-57
"10m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.330413554268237,0.434153228683195,0.438474181834907,0.103739674414958,0.00432095315171144,0.108060627566669,0.34338571835249,4.54255952854577e-75,0.0640551954748274,15.3592625874244,9.18798314200818e-05,192.056184814336,5.19935405098619e-77,0.000282362408754398,3.1370748189959e-76,2.88586134754673e-74
"10m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.330413554268237,0.378500738777111,0.379336952900758,0.0480871845088732,0.000836214123647316,0.0489233986325205,0.230994561585747,3.18664278190021e-34,0.0282620374360798,2.68919407817296,0.101188478095476,78.6667613988761,1.30357791143176e-33,0.165581145974416,4.32238991685267e-33,1.18674972567318e-33
"10m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.0679938214901163,0.216994734833115,0.218400458313768,0.149000913342999,0.00140572348065277,0.150406636823652,0.411532609035364,1.28247659758403e-77,-0.0365354559537468,3.58984866000508,0.0582779428947201,192.049528619431,5.22845803165984e-77,0.107985600069628,3.1370748189959e-76,9.23383150260499e-77
"10m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.0679938214901163,0.51621396858314,0.517166005592723,0.448220147093024,0.000952037009582907,0.449172184102607,0.705233229030513,1.18061308653922e-286,-0.0301558541272017,3.93565054063814,0.0474096423283005,928.422283697523,8.91846118385669e-286,0.0933377333338416,1.8728768486099e-284,3.18765533365588e-285
