quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
1001_c,8660,37493470,bootstrap_mean,2.91120599007606,NA,2.91120599007606,0.0113424461590152,0.00389613314814556,2.91018752436052,2.88757417243793,2.93406645919422,10 m,0.001355681614908997,TRUE,0.046492286756290024,0
1001_d,8740,38189430,bootstrap_mean,2.85367248172176,NA,2.85367248172176,0.0102462456696373,0.00359054717570647,2.85274731279189,2.82721286632701,2.87279449092711,10 m,0.0012246605962619142,TRUE,0.04558162460009996,0
1002_a,9024,40711776,bootstrap_mean,2.77518747844706,NA,2.77518747844706,0.0832363061897824,0.0299930389698788,2.76665618153166,2.73949701671123,3.45568922751764,10 m,0.00994864144933454,TRUE,0.71619221080641,1
1002_b,8827,38953551,bootstrap_mean,2.75123454046596,NA,2.75123454046596,0.0112061924981955,0.00407315055600369,2.75061532009661,2.72629824845589,2.77512829274483,10 m,0.0013393961875551722,TRUE,0.04883004428894022,0
1002_c,7501,28128750,bootstrap_mean,2.95626842070185,NA,2.95626842070185,0.162933939960066,0.0551147314022939,2.9953920538012,2.29133529652417,3.0245890440373,10 m,0.01947433064718433,TRUE,0.73325374751313,4
1002_d,8618,37130653,bootstrap_mean,2.86247437923713,NA,2.86247437923713,0.0114827701112247,0.00401148397851685,2.86220668029722,2.83886571121284,2.88804224667603,10 m,0.0013724535351345639,TRUE,0.0491765354631899,0
1003_a,9162,41966541,bootstrap_mean,2.86382297942568,NA,2.86382297942568,0.010233308452129,0.00357330342191096,2.86388682607838,2.84238230810968,2.88468555853625,10 m,0.001223114303012804,TRUE,0.04230325042656968,0
1003_b,8560,36632520,bootstrap_mean,2.80129208964044,NA,2.80129208964044,0.0819755530542893,0.0292634792913763,2.79107584109195,2.76994486042733,3.47350897185714,10 m,0.009797952627649601,TRUE,0.7035641114298099,1
1003_c,7175,25736725,bootstrap_mean,2.83243877999138,NA,2.83243877999138,0.0084925037397995291,0.00299830089878425,2.83120172937885,2.81594408912488,2.84930126060711,10 m,0.001015048343468773,TRUE,0.033357171482230275,0
1003_d,9306,43296165,bootstrap_mean,2.85110823143384,NA,2.85110823143384,0.0101882989530643,0.00357345218983166,2.85159688666393,2.82655353789349,2.87513059082694,10 m,0.0012177346389154102,TRUE,0.04857705293344994,1
1004_a,9158,41929903,bootstrap_mean,2.83609365992005,NA,2.83609365992005,0.00772015587040438,0.00272210892732717,2.83592593164017,2.81978670295551,2.8554448058766,10 m,9.227351164828182e-4,TRUE,0.03565810292109006,0
1004_b,5435,14766895,bootstrap_mean,2.87904644764019,NA,2.87904644764019,0.00708329991183749,0.00246029372594642,2.87971225909167,2.86231722938852,2.89302767544951,10 m,8.466162703123956e-4,TRUE,0.030710446060989938,0
1004_c,6893,23753278,bootstrap_mean,2.83064045208284,NA,2.83064045208284,0.0101457895606866,0.00358427350009115,2.83104106361077,2.80500592101366,2.84873267021229,10 m,0.0012126537947218853,TRUE,0.04372674919863018,0
1004_d,8100,32800950,bootstrap_mean,2.92555255802296,NA,2.92555255802296,0.00883389303326901,0.00301956394837043,2.92562652353869,2.90350909548622,2.9447111469004,10 m,0.0010558521685162907,TRUE,0.04120205141418021,0
1005_a,7610,28952245,bootstrap_mean,2.86824792793487,NA,2.86824792793487,0.0107961212911732,0.00376401258274294,2.86906882886115,2.83885620761889,2.89214999537916,10 m,0.0012903833037054382,TRUE,0.05329378776026994,1
1005_b,8322,34623681,bootstrap_mean,2.80576929663546,NA,2.80576929663546,0.177224536393947,0.0631643295143566,2.75783298639433,2.73304576958245,3.44862299931714,10 m,0.02118238361740699,TRUE,0.7155772297346901,5
1005_c,7573,28671378,bootstrap_mean,2.80125202964313,NA,2.80125202964313,0.0088875605031407,0.00317271006289032,2.80090369748776,2.77499792665212,2.82301021772545,10 m,0.0010622666580544142,TRUE,0.04801229107333027,1
1005_d,7128,25400628,bootstrap_mean,2.79762078925154,NA,2.79762078925154,0.19031900283033,0.0680288778098647,2.7405679364392,2.71932428038131,3.43692931563054,10 m,0.022747471708280384,TRUE,0.71760503524923,6
1006_a,7391,27309745,bootstrap_mean,2.78235337390387,NA,2.78235337390387,0.0098404029032966,0.00353671930948502,2.78229469452211,2.7611533779932,2.80197265611825,10 m,0.0011761531077397326,TRUE,0.04081927812505004,0
1006_b,8041,32324820,bootstrap_mean,2.75357890806725,NA,2.75357890806725,0.0105964100967363,0.00384823186497094,2.75302127108866,2.72796386459227,2.77878245791659,10 m,0.0012665132503859055,TRUE,0.05081859332431993,0
1006_c,8559,36623961,bootstrap_mean,2.77484299257359,NA,2.77484299257359,0.0085982972249179,0.00309866080636988,2.77412113256809,2.75358038633036,2.79468833721361,10 m,0.0010276930834782398,TRUE,0.041107950883250144,0
1006_d,8257,34084896,bootstrap_mean,2.81384456610537,NA,2.81384456610537,0.00894607373560173,0.00317930629266561,2.81295837624349,2.79585841521385,2.8370975264039,10 m,0.0010692603270006198,TRUE,0.04123911119005008,0
1007_a,8143,33150153,bootstrap_mean,2.8186310110749,NA,2.8186310110749,0.0788774915178464,0.0279843268621975,2.82789380992745,2.17438781044002,2.85545960838695,10 m,0.009427663449466097,TRUE,0.6810717979469301,1
1007_b,7968,31740528,bootstrap_mean,2.8310459030326798,NA,2.8310459030326798,0.0116265524477492,0.00410680463898329,2.83264078875892,2.80484105880282,2.85155185816858,10 m,0.0013896388113476667,TRUE,0.046710799365759836,0
1007_c,6227,19384651,bootstrap_mean,2.97128659044138,NA,2.97128659044138,0.00997996472937795,0.00335880246674402,2.97128249993454,2.9503491777359,3.00197059079829,10 m,0.0011928339364700705,TRUE,0.05162141306238999,1
1007_d,8287,34333041,bootstrap_mean,2.85138807780482,NA,2.85138807780482,0.0105720805737218,0.00370769614140384,2.85234627194339,2.81372982885205,2.87648727649741,10 m,0.0012636053161900666,TRUE,0.06275744764535984,1
1008_a,5961,17763780,bootstrap_mean,2.83432232287496,NA,2.83432232287496,0.0104555250509652,0.0036888976834363,2.83437119149406,2.80886748928416,2.85686363643288,10 m,0.001249674266652605,TRUE,0.0479961471487198,0
1008_b,7981,31844190,bootstrap_mean,2.81739112244064,NA,2.81739112244064,0.275260432226423,0.0977004683637858,2.68556995617349,2.65877580123861,3.3756598365323,10 m,0.03289991436147716,TRUE,0.71688403529369,14
1008_c,6769,22906296,bootstrap_mean,2.80969573437501,NA,2.80969573437501,0.115541017560316,0.041122252543839,2.79071113704975,2.77021522716965,3.4778200255992,10 m,0.013809792973969724,TRUE,0.7076047984295499,2
1008_d,7119,25336521,bootstrap_mean,2.76334347746195,NA,2.76334347746195,0.081606671905616,0.0295318597095174,2.75382703421957,2.73242514448525,3.43309205013653,10 m,0.009753862897415755,TRUE,0.7006669056512798,1
1009_a,7147,25536231,bootstrap_mean,2.77200847136035,NA,2.77200847136035,0.00890371288044159,0.00321200781759232,2.77065596318268,2.75639234706382,2.79409497831615,10 m,0.001064197236400293,TRUE,0.03770263125233031,0
1009_b,7837,30705366,bootstrap_mean,2.82410938509222,NA,2.82410938509222,0.00739050487010366,0.00261693293790825,2.82436552949188,2.80832733069053,2.8468772854659,10 m,8.833342858173061e-4,TRUE,0.03854995477537004,2
1009_c,8061,32485830,bootstrap_mean,2.8419230205988,NA,2.8419230205988,0.242487109783889,0.0853250098705334,2.74586425914989,2.72416457607455,3.44123522016103,10 m,0.028982753100851407,TRUE,0.7170706440864802,11
1009_d,6872,23608756,bootstrap_mean,2.85001808007445,NA,2.85001808007445,0.00845250315330887,0.00296577176559107,2.85038173409022,2.82567056577509,2.87219507156285,10 m,0.0010102673589323936,TRUE,0.04652450578775991,3
101_a,8757,38338146,bootstrap_mean,2.85194601345427,NA,2.85194601345427,0.00891326463900113,0.00312532726669865,2.85211063322619,2.82888263302443,2.87118283370846,10 m,0.0010653388899102747,TRUE,0.04230020068403029,0
101_b,9262,42887691,bootstrap_mean,2.72375795683688,NA,2.72375795683688,0.114813003821564,0.0421524253039346,2.7035247388259,2.68500440904792,3.3916692312563,10 m,0.013722778689115235,TRUE,0.70666482220838,2
101_c,9272,42980356,bootstrap_mean,2.76892416645651,NA,2.76892416645651,0.0110677327022351,0.00399712380581331,2.76737936805165,2.74226952115133,2.80305375408733,10 m,0.001322847076617725,TRUE,0.060784232936000215,1
101_d,7769,30174796,bootstrap_mean,2.8101464765213,NA,2.8101464765213,0.00834681445412066,0.00297024177346557,2.80981635487829,2.79132223328969,2.8278517383164,10 m,9.976351432370854e-4,TRUE,0.03652950502671004,0
1010_a,7474,27926601,bootstrap_mean,2.75106404116264,NA,2.75106404116264,0.00731069872281866,0.0026574076842388,2.7506688733726,2.73587368527346,2.76707245954921,10 m,8.737956267737274e-4,TRUE,0.03119877427575002,0
1010_b,7449,27740076,bootstrap_mean,2.80881356087747,NA,2.80881356087747,0.00927449778215946,0.00330192715933133,2.80904335247607,2.78018393906695,2.82854528404517,10 m,0.001108514508644537,TRUE,0.04836134497822009,1
1010_c,8354,34890481,bootstrap_mean,2.78202990814551,NA,2.78202990814551,0.00987182579830651,0.00354842547501116,2.78228234500199,2.75751955499416,2.80121430065351,10 m,0.001179908862050128,TRUE,0.043694745659350165,1
1010_d,7187,25822891,bootstrap_mean,2.7771777916677,NA,2.7771777916677,0.0828497810751517,0.0298323648286846,2.76906772596062,2.75050307951481,3.45737636447198,10 m,0.009902442861811253,TRUE,0.7068732849571702,2
1011_a,7687,29541141,bootstrap_mean,2.80014257426152,NA,2.80014257426152,0.0818760698172699,0.0292399646253238,2.79132919564441,2.76896578340311,3.47090017313944,10 m,0.009786062106546123,TRUE,0.7019343897363299,2
1011_b,8671,37588785,bootstrap_mean,2.75301206039817,NA,2.75301206039817,0.00953624544489853,0.00346393159044836,2.75177063044863,2.72444663669005,2.77368297075859,10 m,0.0011397993381377517,TRUE,0.04923633406854,1
1011_c,8880,39422760,bootstrap_mean,2.79991355478852,NA,2.79991355478852,0.0101439619187018,0.00362295539494537,2.8006050392168,2.77401119999108,2.82239493319939,10 m,0.0012124353497231,TRUE,0.04838373320830991,5
1011_d,8415,35401905,bootstrap_mean,2.7659407638256,NA,2.7659407638256,0.00956009745682196,0.00345636377389344,2.76691185588117,2.72502425828103,2.78195557315313,10 m,0.0011426501988418586,TRUE,0.056931314872100014,1
1012_a,9103,41427753,bootstrap_mean,2.79717833074624,NA,2.79717833074624,0.0102106528302223,0.00365034031544863,2.79681377908349,2.77219241432214,2.82933842538102,10 m,0.001220406438266289,TRUE,0.05714601105887995,2
1012_b,9167,42012361,bootstrap_mean,2.85369444325078,NA,2.85369444325078,0.00879690775684084,0.00308263828933972,2.85421975203924,2.83295188728361,2.86943921024213,10 m,0.0010514315824651816,TRUE,0.03648732295851964,0
1012_c,9377,43959376,bootstrap_mean,2.87393324605681,NA,2.87393324605681,0.0102667258705483,0.00357236059140721,2.87401073594627,2.84690870762037,2.89719456883732,10 m,0.0012271084484672885,TRUE,0.050285861216950334,0
1012_d,9424,44401176,bootstrap_mean,2.79263127381835,NA,2.79263127381835,0.00976465783570247,0.0034965797050433,2.79375253892047,2.75993759171223,2.81404203176374,10 m,0.0011670998405592854,TRUE,0.054104440051509606,1
1013_a,9499,45110751,bootstrap_mean,2.74249020902693,NA,2.74249020902693,0.191329219592936,0.069764777632815,2.68477356422112,2.66205250821454,3.3747144371446,10 m,0.02286821570590997,TRUE,0.7126619289300602,6
1013_b,8090,32720005,bootstrap_mean,2.97130637807386,NA,2.97130637807386,0.0831965395952505,0.0279999868775506,2.98220981296824,2.29017578292954,3.00301632392367,10 m,0.009943888432186507,TRUE,0.7128405409941299,1
1013_c,5916,17496570,bootstrap_mean,2.97885876410192,NA,2.97885876410192,0.00968919016100744,0.00325265174629002,2.98082547685795,2.95363716047493,3.01074441630805,10 m,0.0011580797281717412,TRUE,0.05710725583312026,3
1013_d,9445,44599290,bootstrap_mean,2.87865865429179,NA,2.87865865429179,0.00991337768592167,0.00344374893881281,2.87874575580691,2.85500400446785,2.90679542471148,10 m,0.0011848752625350765,TRUE,0.051791420243629815,1
1014_a,5412,14642166,bootstrap_mean,3.12601381236971,NA,3.12601381236971,0.00711148614347306,0.00227493753077249,3.12528588549888,3.10849278003327,3.13857380389326,10 m,8.499851693564115e-4,TRUE,0.030081023859990008,0
1014_b,5416,14663820,bootstrap_mean,3.03576524541034,NA,3.03576524541034,0.00857365962659875,0.00282421693823689,3.03616288465917,3.01712541121868,3.05998212743791,10 m,0.001024748327240606,TRUE,0.04285671621923015,1
