quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
713_a,8040,32316780,bootstrap_mean,2.72083964755455,NA,2.72083964755455,0.331955558541998,0.122004822607005,2.48193033783084,2.43084013635963,3.17934784108906,10 m,0.039676278059697416,TRUE,0.74850770472943,0
800_a,3976,7902300,bootstrap_mean,2.85455482195701,NA,2.85455482195701,0.346939047981437,0.121538758097343,2.54055857867283,2.50228281793438,3.22517986357928,10 m,0.04146714758426514,TRUE,0.7228970456449,0
1519_b,2433,2958528,bootstrap_mean,2.73350378887258,NA,2.73350378887258,0.331842419469443,0.121398192612826,2.48628363323798,2.46410113200032,3.18359001197087,10 m,0.03966275535406229,TRUE,0.7194888799705503,0
1316_a,8443,35637903,bootstrap_mean,2.77008973848281,NA,2.77008973848281,0.333975481761968,0.120564860091821,3.02437407858475,2.32731952761369,3.05202046185184,10 m,0.039917705061814114,TRUE,0.7247009342381499,0
1116_c,2526,3189075,bootstrap_mean,2.69316404564192,NA,2.69316404564192,0.324537607329026,0.120504210597268,2.47239207658014,2.44807248283081,3.16116278889767,10 m,0.03878966330845832,TRUE,0.7130903060668601,0
918,19833,196664028,bootstrap_mean,2.76113285487144,NA,2.76113285487144,0.346405013572431,0.125457568244597,2.45134430416056,2.3965139704547,3.13441255262961,20 m,0.04140331826386384,TRUE,0.73789858217491,0
804,32325,522436650,bootstrap_mean,2.79189424061394,NA,2.79189424061394,0.345753156077051,0.123841781342341,2.78905282015842,2.40583280120425,3.17185504234359,20 m,0.04132540639109512,TRUE,0.76602224113934,0
412,27508,378331278,bootstrap_mean,2.66716344811974,NA,2.66716344811974,0.31916587991355,0.119664912226714,2.88190847142328,2.18253754532827,2.91318321617005,20 m,0.038147619079606045,TRUE,0.7306456708417799,0
1217,9606,46132815,bootstrap_mean,2.83092239199265,NA,2.83092239199265,0.338449729174048,0.119554577028096,2.55699993720234,2.52919816668589,3.24480062815614,20 m,0.04045247991302995,TRUE,0.7156024614702501,0
24,15470,119652715,bootstrap_mean,2.69866642637982,NA,2.69866642637982,0.321035160776906,0.11896066799466,2.91415948058322,2.21848487718144,2.94013682820007,20 m,0.038371040876282486,TRUE,0.7216519510186301,0
419,25439,323558641,bootstrap_mean,2.55129853051345,NA,2.55129853051345,0.299430327508665,0.117363892906881,2.38373298135357,2.34871621742727,3.08095582436318,20 m,0.03578876939407237,TRUE,0.7322396069359098,0
719,29838,445138203,bootstrap_mean,2.87738457417572,NA,2.87738457417572,0.328466269035259,0.114154455397869,2.6477829861622,2.6186339291956102,3.34676864234897,20 m,0.03925922819522694,TRUE,0.7281347131533598,0
713,28554,407651181,bootstrap_mean,2.77965212177144,NA,2.77965212177144,0.308623198161175,0.11102943269192,2.96537236630366,2.27322790505587,3.01286168696329,20 m,0.03688752759465142,TRUE,0.7396337819074197,0
1316,20820,216725790,bootstrap_mean,2.83011472655688,NA,2.83011472655688,0.313191210393634,0.110663785978268,3.02558598668996,2.33254435698581,3.05710711704699,20 m,0.03743350948545387,TRUE,0.7245627600611799,0
223,30793,474089028,bootstrap_mean,2.80824586541447,NA,2.80824586541447,0.296498253869739,0.105581301666398,2.64741701616216,2.60945835698729,3.35828453800041,20 m,0.03543831956428041,TRUE,0.7488261810131198,17
1900,28056,393555540,bootstrap_mean,2.8829585984958,NA,2.8829585984958,0.301422051141982,0.104553028024492,2.71314427968603,2.67575084966785,3.41142620285974,20 m,0.03602682590091516,TRUE,0.73567535319189,0
116,34027,578901351,bootstrap_mean,2.79436178888477,NA,2.79436178888477,0.283136539345151,0.101324223825058,2.65364327066374,2.62584234594254,3.35709909051462,20 m,0.033841289217325765,TRUE,0.7312567445720801,15
800,23892,285401886,bootstrap_mean,3.0156362200871,NA,3.0156362200871,0.301044674813453,0.0998279145237078,3.18252703563074,2.48067566205909,3.2271538392196,20 m,0.03598172080248082,TRUE,0.74647817716051,0
1519,11183,62524153,bootstrap_mean,2.80337426948803,NA,2.80337426948803,0.276932395024744,0.0987853809028928,2.93752463122318,2.23307654041762,2.97494883291095,20 m,0.03309975213850677,TRUE,0.7418722924933299,14
420,32200,518403900,bootstrap_mean,2.58681782854407,NA,2.58681782854407,0.25550814303862,0.0987731490865852,2.69712202274021,2.0096824873863,2.73003358998823,20 m,0.030539064247766312,TRUE,0.72035110260193,12
sub50_12,169495,14364192765,bootstrap_mean,2.81096742869172,NA,2.81096742869172,0.280609594725106,0.099826697335909,2.95062859692263,2.25520195678569,2.98994130459829,50 m,0.033539261566917625,TRUE,0.7347393478126003,15
sub50_54,156070,12178844415,bootstrap_mean,2.85428413821912,NA,2.85428413821912,0.218344335073311,0.0764970565297479,2.92864777086717,2.23503031658533,2.95876080557161,50 m,0.026097139596571638,TRUE,0.7237304889862801,8
