"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","model_formula","x_axis","y_axis","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","spectral_group","biodiversity_group","abs_pearson_r"
"spectral_power2_biodiversity_identity","20m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.104683550476323,0.0521005729699567,0.0109586457403289,4.80874963500672,0.0288456285382099,14.7034326864806,24243.7766254863,"raw_pca","phylogenetic",0.104683550476323
"spectral_power2_biodiversity_identity","50m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.182710425020452,0.0723731951129211,0.0333830994111543,2.48659335062204,0.119203932986051,9.69781001945286,25848.7942082413,"raw_pca","phylogenetic",0.182710425020452
"spectral_power2_biodiversity_identity","10m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1744,0.0124464673995597,0.00183740617666626,0.000154914550728303,0.269902959264378,0.603462877636594,16.9145525045194,31183.0023402215,"raw_pca","phylogenetic",0.0124464673995597
"spectral_power2_biodiversity_identity","20m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.0862761650313336,0.088836122740175,0.00744357665251392,3.25473916766953,0.0719104690075082,59.6998162248882,24527.1128067708,"raw_pca","phylogenetic",0.0862761650313336
"spectral_power2_biodiversity_identity","50m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.340568079065695,0.204087375046279,0.115986616478497,9.44673071937566,0.00298667855267324,142.780990190155,9030.40442320132,"raw_pca","phylogenetic",0.340568079065695
"spectral_power2_biodiversity_identity","10m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1744,0.00221627578747866,0.0225433513274923,4.91187836616419e-06,0.00855653414251297,0.926310207316425,1.17118475304302,33112.7601160933,"raw_pca","phylogenetic",0.00221627578747866
"spectral_power2_biodiversity_identity","20m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.0917340825034713,0.0691191343005465,0.00841514189275368,3.68316594550105,0.0556198504301456,8.62162488164125,27980.8011177109,"raw_pca","phylogenetic",0.0917340825034713
"spectral_power2_biodiversity_identity","50m","spec_rao_q","Raw PCA Rao's Q","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.355077462824971,0.225087004813032,0.126080004606219,10.387404315606,0.00190717943325596,4.1099408284353,23109.0270111073,"raw_pca","phylogenetic",0.355077462824971
"spectral_power2_biodiversity_identity","10m","spec_rao_q","Raw PCA Rao's Q","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1744,-0.0556203452376067,-0.0476930302179801,0.00309362280435055,5.40581447611807,0.0201841658097009,-13649.3798573871,47256.3541443352,"raw_pca","shannon",0.0556203452376067
"spectral_power2_biodiversity_identity","20m","spec_rao_q","Raw PCA Rao's Q","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,-0.0629988574435111,-0.132811575863444,0.00396885603918784,1.72934705049272,0.189188701336375,-7054.7256141942,46655.9390361815,"raw_pca","shannon",0.0629988574435111
