scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1124_a,fixed_4000,4000,0.4818696542585231,50,73.47210417281192,73.55777777663337,1.0294609158711026,70.96436735952618,75.48787169175989,squared_euclidean_pc1_pc3,4000,4000,0.014011588853501908,0.1455877589157941,73.17953461766561,73.76467372795824,73.47210417281192,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (48.2%)","4,000
48.2%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_1,73,0.00994550408719346,50,501.2867655088827,466.85519240694384,181.61061243553485,222.768106891134,977.9632735026055,squared_euclidean_pc1_pc3,73,73,0.36228886324411996,25.683619117721726,449.67360053004995,552.8999304877154,526.8195978349801,-25.532832326097378,percent,0.01,1% of pixels,1%,1% of pixels = 73 pixels (1.0%),"1%
73 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_2,147,0.02002724795640327,50,523.506769181614,493.945057126992,143.42125815240848,256.13464717135065,935.5295640175715,squared_euclidean_pc1_pc3,147,147,0.2739625666667417,20.28282884117489,482.7468986034582,564.2666397597698,526.8195978349801,-3.3128286533660685,percent,0.02,2% of pixels,2%,2% of pixels = 147 pixels (2.0%),"2%
147 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,pct_3,220,0.02997275204359673,50,547.3520992618479,539.5979119138087,131.14609201221484,285.7511594707383,853.6593993941775,squared_euclidean_pc1_pc3,220,220,0.2396009665242479,18.546858197590403,510.0807923014228,584.623406222273,526.8195978349801,20.53250142686784,percent,0.03,3% of pixels,3%,3% of pixels = 220 pixels (3.0%),"3%
220 px",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_1250,1250,0.17029972752043596,50,519.3313304311982,518.8351667575948,43.521773228903925,430.60726903973244,642.3555878891211,squared_euclidean_pc1_pc3,1250,1250,0.08380348089680631,6.1549081958842216,506.9625793339455,531.7000815284509,526.8195978349801,-7.488267403781833,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (17.0%)","1,250
17.0%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_2000,2000,0.2724795640326976,50,524.1845431777226,522.944420068717,33.00779071784196,442.66998767193394,584.2262404025255,squared_euclidean_pc1_pc3,2000,2000,0.06296979021499076,4.668006529714485,514.8038328488508,533.5652535065944,526.8195978349801,-2.635054657257456,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (27.2%)","2,000
27.2%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_3000,3000,0.4087193460490463,50,517.0891113584515,519.919605058702,22.846111919231287,468.3017447507438,571.017926038382,squared_euclidean_pc1_pc3,3000,3000,0.04418215626163925,3.2309281323670507,510.5963181907025,523.5819045262006,526.8195978349801,-9.73048647652854,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (40.9%)","3,000
40.9%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,112_b,fixed_4000,4000,0.5449591280653951,50,526.8195978349801,523.7381679806997,20.330270539947982,473.25441848323453,567.4949064221299,squared_euclidean_pc1_pc3,4000,4000,0.03859057374383441,2.8751344324308623,521.0417988761494,532.5973967938107,526.8195978349801,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (54.5%)","4,000
54.5%",7340,bootstrap_mean,Original random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_1,72,0.009946125155408206,50,316.87809483220354,290.596454104427,163.53434428922168,114.09032659179508,886.9716603083345,squared_euclidean_pc1_pc3,72,72,0.5160796752953782,23.12724876076084,270.40214841965064,363.35404124475644,339.54060144372914,-22.6625066115256,percent,0.01,1% of pixels,1%,1% of pixels = 72 pixels (1.0%),"1%
72 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_2,145,0.02003039093797486,50,360.2585499781703,338.436440611602,115.36044566171914,154.97637016898076,623.5842095952943,squared_euclidean_pc1_pc3,145,145,0.3202157052725309,16.314430681620767,327.47347407252374,393.0436258838169,339.54060144372914,20.717948534441177,percent,0.02,2% of pixels,2%,2% of pixels = 145 pixels (2.0%),"2%
145 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,pct_3,217,0.029976516093383063,50,329.2771991766551,316.0344903072196,78.27870943886131,176.75599308804624,537.0001412664374,squared_euclidean_pc1_pc3,217,217,0.2377289093644935,11.070281253350048,307.0306361018668,351.5237622514434,339.54060144372914,-10.26340226707407,percent,0.03,3% of pixels,3%,3% of pixels = 217 pixels (3.0%),"3%
217 px",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_1250,1250,0.17267578394805913,50,338.70377377822155,337.5441243069579,37.18211745880278,244.16438897026737,420.9500127884322,squared_euclidean_pc1_pc3,1250,1250,0.10977768875746009,5.258345478798833,328.1367329157569,349.2708146406862,339.54060144372914,-0.8368276655075988,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (17.3%)","1,250
17.3%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_2000,2000,0.2762812543168946,50,333.35397208345853,337.9890055731733,26.028538458200877,279.02505957272024,394.1126408865152,squared_euclidean_pc1_pc3,2000,2000,0.07808078090542257,3.6809912096337367,325.95674330048814,340.7512008664289,339.54060144372914,-6.186629360270615,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (27.6%)","2,000
27.6%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_3000,3000,0.4144218814753419,50,339.3484062516846,336.92365925931597,19.853849592278,285.1954520942277,384.2270891171991,squared_euclidean_pc1_pc3,3000,3000,0.05850579883835668,2.807758335871509,333.706004628074,344.99080787529516,339.54060144372914,-0.19219519204455082,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (41.4%)","3,000
41.4%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,114_b,fixed_4000,4000,0.5525625086337892,50,339.54060144372914,338.24719035299205,15.907616566425254,295.6872456112238,373.33971040193364,squared_euclidean_pc1_pc3,4000,4000,0.04685041052170477,2.249676709326952,335.0197068371193,344.061496050339,339.54060144372914,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (55.3%)","4,000
55.3%",7239,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
